rcept_no,rcept_dt,stock_code,corp_name,report_nm,event_category,body_format,parsed_effective_date,parsed_suspension_start,parsed_suspension_end,parsed_resumption_date,parsed_resumption_time,date_label_used,raw_text_window,parser_confidence,manual_review_required,parse_status,correction_flag,notes,source_period,parser_version,cached_body_at_run,prior_priority_bucket,is_period_change,correction_pass3_confidence
20120918900015,20120918,071660,에스에스씨피,주권매매거래정지(풍문 또는 보도 관련),suspension_related,html_inline,2012-09-18,2012-09-18,,,,정지기간,"피(주) 보통주 2.정지사유 풍문 또는 보도 관련 3.정지기간 가.정지일시 2012-09-18 09:00:01 나.만료일시 조회결과 공시후 30분 경과시점까지 단, 1) 공시시점이 정규시장 매매거래개시전인 경우에는 정규시장 매매거래개시점부터",high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120919900225,20120919,024660,하림홀딩스,주권매매거래정지,suspension_related,html_inline,2012-09-19,2012-09-19,,,,정지기간, 1.대상종목 하림홀딩스 보통주 2.정지사유 합병 3.정지기간 가.정지일시 2012-09-19 16:42:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120919900029,20120919,048550,SM C&C,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-09-19,2012-09-19,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-09-19 10:30:00 나.만료일시 우회상장여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120920900274,20120920,029480,광무,주권매매거래정지(자본감소),suspension_related,html_inline,2012-09-20,2012-09-20,,,,정지기간,상종목 케이디씨(주) 보통주 2.정지사유 자본감소 3.정지기간 가.정지일시 2012-09-20 16:43:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120920900278,20120920,066430,아이로보틱스,주권매매거래정지(관리종목지정사유발생),suspension_related,html_inline,2012-09-20,2012-09-20,,,,정지기간,템싸이언스 보통주 2.정지사유 관리종목지정사유발생 3.정지기간 가.정지일시 2012-09-20 16:42:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120920900180,20120920,054800,아이디스홀딩스,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-09-20,2012-09-20,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-09-20 15:53:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120920900085,20120920,081150,티플랙스,주권매매거래정지( 무상증자),suspension_related,html_inline,2012-09-20,2012-09-20,,,,정지기간,상종목 (주)티플랙스 보통주 2.정지사유 무상증자 3.정지기간 가.정지일시 2012-09-20 13:32:00 나.만료일시 매매거래 정지시점부터 30분 경과시점까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 ,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120926900446,20120926,058820,CMG제약,주권매매거래정지(상장폐지실질심사 관련),suspension_related,html_inline,2012-09-27,2012-09-27,,,,정지기간, (주)스카이뉴팜 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-09-27 - 나.만료일시 상장폐지 실질심사 대상여부에 관한 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120926900316,20120926,035210,티브로드도봉강북방송,주권매매거래정지(자진상장폐지 신청),suspension_related,html_inline,2012-09-26,2012-09-26,,,,정지기간,브로드도봉강북방송 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-09-26 16:58:00 나.만료일시 상장폐지 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 자진상장폐지 신청,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20120926900314,20120926,043890,티브로드한빛방송,주권매매거래정지(자진상장폐지 신청),suspension_related,html_inline,2012-09-26,2012-09-26,,,,정지기간,티브로드 한빛방송 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-09-26 16:58:00 나.만료일시 상장폐지결정일 까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 자진상장폐지 신청,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121004900056,20121004,119500,포메탈,주권매매거래정지(무상증자),suspension_related,html_inline,2012-10-04,2012-10-04,,,,정지기간,대상종목 (주)포메탈 보통주 2.정지사유 무상증자 3.정지기간 가.정지일시 2012-10-04 11:54:00 나.만료일시 매매거래 정지시점부터 30분 경과시점까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 ,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121005900219,20121005,036800,나이스정보통신,주권매매거래정지(투자자 보호),suspension_related,html_inline,2012-10-05,2012-10-05,,,,정지기간,이스정보통신(주) 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-10-05 14:55:00 나.만료일시 상장폐지 실질심사 대상여부에 관한 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121009900382,20121009,036920,지앤에스티,주권매매거래정지(주식병합을 위한 구주권제출),suspension_related,html_inline,2012-10-12,2012-10-12,,,,정지기간, (주)지앤에스티 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-10-12 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 코스닥시장업무규정시행세칙 제,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121009900083,20121009,038990,넥스콘테크놀러지,주권매매거래정지,suspension_related,html_inline,2012-10-09,2012-10-09,,,,정지기간,콘테크놀러지(주) 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-10-09 12:05:00 나.만료일시 상장폐지 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 자진상장폐지 신청,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121010900635,20121010,121950,미래에셋제1호기업인수목적,주권매매거래정지(상장폐지 사유발생),suspension_related,html_inline,2012-10-11,2012-10-11,,,,정지기간,수목적(주) 보통주 2.정지사유 상장폐지 사유발생 3.정지기간 가.정지일시 2012-10-11 - 나.만료일시 2012-10-11 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 * 상장폐지 내역 -상장폐지사유: ,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121011900330,20121011,036170,에이치엠넥스,주권매매거래정지(구주권 제출),suspension_related,html_inline,2012-10-16,2012-10-16,,,,정지기간,종목 (주)씨티엘 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-10-16 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 구주권 제출사유 : 자본감소,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
