rcept_no,rcept_dt,stock_code,corp_name,event_category,report_nm,source_period,prior_priority_bucket,prior_acquisition_status,prior_parse_status,prior_body_status,correction_flag,correction_pass3_confidence,is_period_change,manual_review_required,remaining_target_reason
20210503900673,2021-05-03,103230,에스앤더블류,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210503900374,2021-05-03,106520,노블엠앤비,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210503900143,2021-05-03,900080,에스앤씨엔진그룹리미티드,suspension_related,주권매매거래정지기간변경(사업보고서 미제출),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210504900521,2021-05-04,101680,한국정밀기계,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210506600445,2021-05-06,240340,인터코스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210507900403,2021-05-07,043590,웰킵스하이텍,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210507900415,2021-05-07,900100,파이온엑스,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210511900469,2021-05-11,099520,DGI,suspension_related,주권매매거래정지기간변경(회생절차 개시신청 취하),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210514901476,2021-05-14,086250,화신테크,suspension_related,주권매매거래정지기간변경(파산신청 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210517602378,2021-05-17,224760,엔에스컴퍼니,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210517902344,2021-05-17,087730,이엠네트웍스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
