date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_gold_sleeve_net_value,gold_sleeve_factor
2011-10-05,1.1531995557957897,0.0,1.1531995557957897,1.1531995557957897,0,1.0,1.1531995557957897,1.1531995557957897
2011-10-06,1.1523420350934837,0.0,1.1523420350934837,1.1523420350934837,0,1.0,1.1523420350934837,1.1523420350934837
2011-10-07,1.1514851520446967,0.0,1.1514851520446967,1.1514851520446967,0,1.0,1.1514851520446967,1.1514851520446967
2011-10-10,1.1506289061752686,0.0,1.1506289061752686,1.1506289061752686,0,1.0,1.1506289061752686,1.1506289061752686
2011-10-11,1.149773297011392,0.0,1.149773297011392,1.149773297011392,0,1.0,1.149773297011392,1.149773297011392
2011-10-12,1.1489183240796121,0.0,1.1489183240796121,1.1489183240796121,0,1.0,1.1489183240796121,1.1489183240796121
2011-10-13,1.1480639869068259,0.0,1.1480639869068259,1.1480639869068259,0,1.0,1.1480639869068259,1.1480639869068259
2011-10-14,1.1472102850202819,0.0,1.1472102850202819,1.1472102850202819,0,1.0,1.1472102850202819,1.1472102850202819
2011-10-17,1.1463572179475805,0.0,1.1463572179475805,1.1463572179475805,0,1.0,1.1463572179475805,1.1463572179475805
2011-10-18,1.1455047852166733,0.0,1.1455047852166733,1.1455047852166733,0,1.0,1.1455047852166733,1.1455047852166733
2011-10-19,1.144652986355863,0.0,1.144652986355863,1.144652986355863,0,1.0,1.144652986355863,1.144652986355863
2011-10-20,1.1438018208938028,0.0,1.1438018208938028,1.1438018208938028,0,1.0,1.1438018208938028,1.1438018208938028
2011-10-21,1.1429512883594966,0.0,1.1429512883594966,1.1429512883594966,0,1.0,1.1429512883594966,1.1429512883594966
2011-10-24,1.1421013882822986,0.0,1.1421013882822986,1.1421013882822986,0,1.0,1.1421013882822986,1.1421013882822986
2011-10-25,1.1412521201919126,0.0,1.1412521201919126,1.1412521201919126,0,1.0,1.1412521201919126,1.1412521201919126
2011-10-26,1.1404034836183927,0.0,1.1404034836183927,1.1404034836183927,0,1.0,1.1404034836183927,1.1404034836183927
2011-10-27,1.139555478092142,0.0,1.139555478092142,1.139555478092142,0,1.0,1.139555478092142,1.139555478092142
2011-10-28,1.1387081031439128,0.0,1.1387081031439128,1.1387081031439128,0,1.0,1.1387081031439128,1.1387081031439128
2011-10-31,1.1378613583048067,0.0,1.1378613583048067,1.1378613583048067,0,1.0,1.1378613583048067,1.1378613583048067
2011-11-01,1.1370152431062737,0.0,1.1370152431062737,1.1370152431062737,0,1.0,1.1370152431062737,1.1370152431062737
2011-11-02,1.136169757080112,0.0,1.136169757080112,1.136169757080112,0,1.0,1.136169757080112,1.136169757080112
2011-11-03,1.1353248997584684,0.0,1.1353248997584684,1.1353248997584684,0,1.0,1.1353248997584684,1.1353248997584684
2011-11-04,1.1344806706738373,0.0,1.1344806706738373,1.1344806706738373,0,1.0,1.1344806706738373,1.1344806706738373
2011-11-07,1.133637069359061,0.0,1.133637069359061,1.133637069359061,0,1.0,1.133637069359061,1.133637069359061
2011-11-08,1.1327940953473288,0.0,1.1327940953473288,1.1327940953473288,0,1.0,1.1327940953473288,1.1327940953473288
