entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
2021-03-08,2021-03-05,2021-04-05,069960,90400.0,89000.0,2.878570760796088e-06,0.2602227967759663,0.00016914481790437813,0.0006789109139337572,holding_period
2021-03-08,2021-03-05,2021-04-05,004170,296000.0,285500.0,8.791310701890755e-07,0.2602227967759663,0.00016914481790437813,0.0006651285894282999,holding_period
2021-03-08,2021-03-05,2021-04-05,010060,135500.0,115000.0,1.92046344484108e-06,0.2602227967759663,0.00016914481790437813,0.0005852612348153191,holding_period
2021-03-08,2021-03-05,2021-04-05,000080,37250.0,36250.0,6.985846893314532e-06,0.2602227967759663,0.00016914481790437813,0.0006710779171890273,holding_period
2021-03-08,2021-03-05,2021-04-05,068290,40550.0,46450.0,6.417331609764891e-06,0.2602227967759663,0.00016914481790437813,0.0007899253911749849,holding_period
2021-04-05,2021-04-02,2021-05-03,051600,33150.0,33150.0,7.693055743147661e-06,0.25502479788534493,0.00016576611862547422,0.000675815714396164,holding_period
2021-04-05,2021-04-02,2021-05-03,001380,4140.0,4000.0,6.160019272592873e-05,0.25502479788534493,0.00016576611862547422,0.0006529620428948446,holding_period
2021-04-05,2021-04-02,2021-05-03,004090,308500.0,19050.0,8.266606090286708e-07,0.25502479788534493,0.00016576611862547422,4.173189419528987e-05,holding_period
2021-04-05,2021-04-02,2021-05-03,025540,80300.0,76300.0,3.1759003472645695e-06,0.25502479788534493,0.00016576611862547422,0.0006421511707151597,holding_period
2021-04-05,2021-04-02,2021-05-03,272210,21050.0,17100.0,1.2115192298591208e-05,0.25502479788534493,0.00016576611862547422,0.0005489999390106606,holding_period
2021-05-03,2021-04-30,2021-06-02,004170,304500.0,317500.0,6.326922475132432e-07,0.19265478936778258,0.00012522561308905868,0.000532331439751455,holding_period
2021-05-03,2021-04-30,2021-06-02,008770,88100.0,101500.0,2.1867739996343084e-06,0.19265478936778258,0.00012522561308905868,0.0005881875365516381,holding_period
2021-05-03,2021-04-30,2021-06-02,004560,26750.0,20700.0,7.2020482006647694e-06,0.19265478936778258,0.00012522561308905868,0.0003950683540474659,holding_period
2021-05-03,2021-04-30,2021-06-02,010950,86700.0,102500.0,2.2220852291555084e-06,0.19265478936778258,0.00012522561308905868,0.0006035739003693649,holding_period
2021-05-03,2021-04-30,2021-06-02,028050,17200.0,19900.0,1.1200859846964103e-05,0.19265478936778258,0.00012522561308905868,0.0005906773440296519,holding_period
2021-06-02,2021-06-01,2021-06-30,035150,11200.0,11000.0,1.8200796921516572e-05,0.2038489255209856,0.00013250180158864064,0.0005305532302622081,holding_period
2021-06-02,2021-06-01,2021-06-30,010690,7790.0,10050.0,2.616802638266824e-05,0.2038489255209856,0.00013250180158864064,0.0006969199626364119,holding_period
2021-06-02,2021-06-01,2021-06-30,004830,29900.0,22950.0,6.8176898167553716e-06,0.2038489255209856,0.00013250180158864064,0.00041463485043051983,holding_period
2021-06-02,2021-06-01,2021-06-30,008060,10050.0,8510.0,2.0283475176217474e-05,0.2038489255209856,0.00013250180158864064,0.0004574227904364684,holding_period
2021-06-02,2021-06-01,2021-06-30,000080,39900.0,37700.0,5.108995627092371e-06,0.2038489255209856,0.00013250180158864064,0.0005104142081246633,holding_period
2021-06-30,2021-06-29,2021-07-28,000990,61000.0,61800.0,3.2184015325186675e-06,0.19632249348363873,0.00012760962076436517,0.0005270776189805822,holding_period
2021-06-30,2021-06-29,2021-07-28,058430,79500.0,70900.0,2.469465326838223e-06,0.19632249348363873,0.00012760962076436517,0.00046397549293299953,holding_period
2021-06-30,2021-06-29,2021-07-28,069620,177000.0,164000.0,1.1091666298510662e-06,0.19632249348363873,0.00012760962076436517,0.0004820438173332733,holding_period
2021-06-30,2021-06-29,2021-07-28,015020,6900.0,4085.0,2.8452535287483875e-05,0.19632249348363873,0.00012760962076436517,0.0003080058076208348,holding_period
2021-06-30,2021-06-29,2021-07-28,011790,158500.0,159500.0,1.2386277191396765e-06,0.19632249348363873,0.00012760962076436517,0.0005235369711873627,holding_period
2021-07-28,2021-07-27,2021-08-26,005110,1780.0,1385.0,9.738569367621707e-05,0.17334653474366638,0.00011267524758338314,0.00035742984221513567,holding_period
2021-07-28,2021-07-27,2021-08-26,014580,6930.0,6000.0,2.5013929977441036e-05,0.17334653474366638,0.00011267524758338314,0.00039772148664131245,holding_period
2021-07-28,2021-07-27,2021-08-26,005390,4010.0,3500.0,4.3228562280216054e-05,0.17334653474366638,0.00011267524758338314,0.0004009449151490038,holding_period
2021-07-28,2021-07-27,2021-08-26,047050,26600.0,21850.0,6.516787020438585e-06,0.17334653474366638,0.00011267524758338314,0.00037733826045094516,holding_period
2021-07-28,2021-07-27,2021-08-26,093370,12800.0,14300.0,1.3542698026848935e-05,0.17334653474366638,0.00011267524758338314,0.0005132005417274404,holding_period
2021-08-26,2021-08-25,2021-09-28,003530,5080.0,4445.0,3.03033504127317e-05,0.15394102009667704,0.00010006166306284008,0.00035695074034916986,holding_period
2021-08-26,2021-08-25,2021-09-28,006110,22750.0,32350.0,6.766638246007782e-06,0.15394102009667704,0.00010006166306284008,0.0005800869802346321,holding_period
2021-08-26,2021-08-25,2021-09-28,009900,29700.0,27600.0,5.1831993298544455e-06,0.15394102009667704,0.00010006166306284008,0.0003790991989855541,holding_period
2021-08-26,2021-08-25,2021-09-28,353200,18900.0,17100.0,8.145027518342701e-06,0.15394102009667704,0.00010006166306284008,0.0003690919219936995,holding_period
2021-08-26,2021-08-25,2021-09-28,020560,20900.0,27000.0,7.3655990476878965e-06,0.15394102009667704,0.00010006166306284008,0.0005270086118620691,holding_period
2021-09-28,2021-09-27,2021-10-28,336370,72100.0,80600.0,2.308166547654427e-06,0.1664188080858842,0.00010817222525582473,0.0004930012929135091,holding_period
2021-09-28,2021-09-27,2021-10-28,003490,34250.0,30800.0,4.85894330177764e-06,0.1664188080858842,0.00010817222525582473,0.00039658695229109097,holding_period
2021-09-28,2021-09-27,2021-10-28,092220,2465.0,3440.0,6.751270104904024e-05,0.1664188080858842,0.00010817222525582473,0.0006154457827630508,holding_period
2021-09-28,2021-09-27,2021-10-28,020560,27750.0,23350.0,5.997074165257088e-06,0.1664188080858842,0.00010817222525582473,0.0003710839566606954,holding_period
2021-09-28,2021-09-27,2021-10-28,036460,43900.0,45200.0,3.790861232024697e-06,0.1664188080858842,0.00010817222525582473,0.0004540693583719182,holding_period
2021-10-28,2021-10-27,2021-11-25,336260,54600.0,49650.0,3.2104209890893277e-06,0.17528898600427728,0.00011393784090278023,0.00042240311558695555,holding_period
2021-10-28,2021-10-27,2021-11-25,017960,13100.0,10350.0,1.338083862628071e-05,0.17528898600427728,0.00011393784090278023,0.00036700295142231415,holding_period
2021-10-28,2021-10-27,2021-11-25,192080,66700.0,59500.0,2.6280207796743223e-06,0.17528898600427728,0.00011393784090278023,0.00041437317643514877,holding_period
2021-10-28,2021-10-27,2021-11-25,011790,176000.0,199000.0,9.959601477515755e-07,0.17528898600427728,0.00011393784090278023,0.0005252195839167933,holding_period
2021-10-28,2021-10-27,2021-11-25,003530,5720.0,5550.0,3.06449276231254e-05,0.17528898600427728,0.00011393784090278023,0.00045071027301711683,holding_period
2021-11-25,2021-11-24,2021-12-23,000990,74000.0,70900.0,2.215627939694405e-06,0.16395646753738596,0.00010657170389930089,0.00041628325544948333,holding_period
2021-11-25,2021-11-24,2021-12-23,017370,4420.0,4135.0,3.7094223424747955e-05,0.16395646753738596,0.00010657170389930089,0.0004064692267325319,holding_period
2021-11-25,2021-11-24,2021-12-23,055490,88700.0,77600.0,1.8484381909513637e-06,0.16395646753738596,0.00010657170389930089,0.0003801128295872384,holding_period
2021-11-25,2021-11-24,2021-12-23,034220,22250.0,23050.0,7.368830001680268e-06,0.16395646753738596,0.00010657170389930089,0.00045010655857763497,holding_period
