variant_id,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final
XETF001_V18,2012-04-03,2026-05-18,3551,2.2153093004458855,0.08621957593459206,0.5662622088992956,-0.4676579617401524,0.184364606161669,0.17293454616646037,3.205663372544548
XETF001_V19,2012-04-03,2026-05-18,3551,2.074408861315405,0.08277828435926415,0.720770561294308,-0.16214884872366542,0.5105079993527131,0.12072625221985821,3.0651856347314586
XETF001_V20,2012-04-03,2026-05-18,3551,1.853189002890037,0.07706773626160968,0.659169272206331,-0.2552718624588345,0.3019045480346967,0.12471407439968844,2.844629435881367
XETF001_V21,2012-04-03,2026-05-18,3551,3.880046781407348,0.11879085212641671,0.6022058412236659,-0.5177941950232017,0.22941711836127066,0.2314054742805378,4.865406641063125
XETF001_V22,2012-04-03,2026-05-18,3551,6.318658891766078,0.15136337233988129,0.7117705981846141,-0.3542758686308073,0.4272471984187493,0.23882632629339748,7.29670291509078
XETF001_V23,2012-04-03,2026-05-18,3551,2.3510390601978006,0.08940454683088217,0.5786373309323434,-0.4126021128058991,0.2166846558852714,0.17479119392349657,3.3409859430172073
XETF001_V24,2012-04-03,2026-05-18,3551,1.2111852435230617,0.057800354853504654,0.39554484140814244,-0.41224234723556774,0.14020964910835756,0.18648262913201635,2.2045516877924927
XETF001_V25,2012-04-03,2026-05-18,3551,2.8016996730376595,0.09918192942090354,0.6870944541950998,-0.259402026209002,0.3823483219093747,0.15559745342871983,3.7902945740185467
XETF001_V26,2012-04-03,2026-05-18,3551,1.26087583450931,0.059466330585222105,0.4298546743370145,-0.3623731314133667,0.16410248285595877,0.16735369006844178,2.254093207005782
XETF001_V27,2012-04-03,2026-05-18,3551,2.8016996730376595,0.09918192942090354,0.6870944541950998,-0.259402026209002,0.3823483219093747,0.15559745342871983,3.7902945740185467
XETF001_V28,2012-04-03,2026-05-18,3551,1.26087583450931,0.059466330585222105,0.4298546743370145,-0.3623731314133667,0.16410248285595877,0.16735369006844178,2.254093207005782
XETF001_V29,2012-04-03,2026-05-18,3551,1.8028637557928926,0.07571132241470768,0.6685163817732932,-0.17323730109763946,0.437038224071821,0.12026027650976699,2.794455164525514
XETF001_V30,2012-04-03,2026-05-18,3551,2.063994196906927,0.08251813872704905,0.7241128056824542,-0.19461178679224922,0.4240140851033772,0.1196589938354132,3.054802214316206
XETF001_V31,2012-04-03,2026-05-18,3551,5.098398148721409,0.13658771832201033,0.6548467367125923,-0.3887316543544935,0.3513676254351357,0.24036387746832566,6.080102954275245
XETF001_V32,2012-04-03,2026-05-18,3551,4.646444290069202,0.1304072728486383,0.6371179205799061,-0.3870639702571492,0.3369140061318575,0.23732270813927306,5.629504957198995
XETF001_V33,2012-04-03,2026-05-18,3551,3.463241526707715,0.1117400672665374,0.6871298292229459,-0.30709305736158043,0.3638638666291024,0.177491944589734,4.449851802127592
XETF001_V34,2012-04-03,2026-05-18,3551,1.399996550456672,0.06395583294790153,0.4246491609046343,-0.2678191586497767,0.23880230701320238,0.18809477547289624,2.392796560805302
XETF001_V35,2012-04-03,2026-05-18,3551,3.253912362498604,0.10796484750838897,0.7206430638914217,-0.3430853569224972,0.31468800789646695,0.16049331412367127,4.241150625411108
XETF001_V36,2012-04-03,2026-05-18,3551,1.5610502024679072,0.06886052197139203,0.4720722316742505,-0.36408758348526216,0.18913175042174823,0.17331388535306672,2.5533670518605036
XETF001_V37,2012-04-03,2026-05-18,3551,3.253912362498604,0.10796484750838897,0.7206430638914217,-0.3430853569224972,0.31468800789646695,0.16049331412367127,4.241150625411108
XETF001_V38,2012-04-03,2026-05-18,3551,1.5610502024679072,0.06886052197139203,0.4720722316742505,-0.36408758348526216,0.18913175042174823,0.17331388535306672,2.5533670518605036
XETF001_V39,2012-04-03,2026-05-18,3551,1.99948711164806,0.08088828481017352,0.7024438779241562,-0.17582482934621946,0.46005040989344637,0.12152437046521958,2.990488650313116
XETF001_V40,2012-04-03,2026-05-18,3551,2.583709699215971,0.09459535016139187,0.8021154585570747,-0.20200455691581531,0.4682832486834153,0.12228350355155013,3.572958570118323
