date,ticker,market,official_limit_status,proxy_limit_status,upper_or_lower,source,source_confidence,close_at_limit_flag,lock_evidence_flag,tradable_state,requires_manual_review
2025-07-22,000040,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-12-12,000050,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2023-01-03,000180,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2022-07-21,000230,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2025-07-07,000230,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-09-29,000230,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-05,000230,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2023-12-18,000240,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2025-12-18,000390,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-09,000390,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-10,000390,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-06,000390,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-20,000400,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-20,000540,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-19,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-20,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-21,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-24,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-25,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-27,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-12-03,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-12-23,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-01-14,000650,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-28,000760,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2021-12-29,000860,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2019-03-13,001140,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2020-05-25,001140,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
