execution_date,signal_date,종목코드,fnv_5,inv_5,combined_flow_5,signal_value,signal
2018-02-26,2018-02-23,000990,0.04196498887168695,0.060450142007397935,0.1024151308790849,0.1024151308790849,True
2018-02-26,2018-02-23,000270,0.013059182118614536,0.0790070843353188,0.09206626645393334,0.09206626645393334,True
2018-02-26,2018-02-23,016580,0.0507835545010238,0.006109793267273366,0.056893347768297166,0.056893347768297166,True
2018-02-26,2018-02-23,009420,0.003405254780425107,0.023753838049406575,0.027159092829831685,0.027159092829831685,True
2018-02-28,2018-02-27,047810,0.10108245649897805,0.16234977280746174,0.2634322293064398,0.2634322293064398,True
2018-02-28,2018-02-27,000660,0.11226415336693799,0.14508146936842703,0.257345622735365,0.257345622735365,True
2018-02-28,2018-02-27,251270,0.19300916939029988,0.040749148371816396,0.23375831776211628,0.23375831776211628,True
2018-03-02,2018-02-28,011070,0.06808080906377359,0.16004011922659422,0.2281209282903678,0.2281209282903678,True
2018-03-02,2018-02-28,051910,0.12812177098269542,0.015099749815465482,0.14322152079816092,0.14322152079816092,True
2018-03-02,2018-02-28,005380,0.034675786426478276,0.08795316310458987,0.12262894953106813,0.12262894953106813,True
2018-03-02,2018-02-28,068270,0.0044169436144976945,0.07043309674311087,0.07485004035760856,0.07485004035760856,True
2018-03-05,2018-03-02,086280,0.13291072899275314,0.10472493983220937,0.2376356688249625,0.2376356688249625,True
2018-03-05,2018-03-02,018260,0.05529235761898429,0.02193766445755885,0.07723002207654314,0.07723002207654314,True
2018-03-05,2018-03-02,004020,0.05023423266461466,0.015536308138607666,0.06577054080322232,0.06577054080322232,True
2018-03-05,2018-03-02,000270,0.012095974051650717,0.03737358648714788,0.04946956053879859,0.04946956053879859,True
2018-03-07,2018-03-06,066570,0.1346577720655613,0.15002349285674166,0.28468126492230295,0.28468126492230295,True
2018-03-07,2018-03-06,004430,0.07745930910907947,0.13700003751866566,0.21445934662774513,0.21445934662774513,True
