quarter,quarter_end_date,dominant_sector_code,dominant_sector_name,dominant_mcap_weight,dominant_n_stocks,warning_gt_50pct,hard_fail_gt_70pct
2018Q4,2018-12-28,01,반도체/IT하드웨어,0.32671042423786345,12,False,False
2019Q1,2019-03-29,01,반도체/IT하드웨어,0.3531748353016628,14,False,False
2019Q2,2019-06-28,01,반도체/IT하드웨어,0.38574150034594806,15,False,False
2019Q3,2019-09-30,01,반도체/IT하드웨어,0.3926960194335519,14,False,False
2019Q4,2019-12-30,01,반도체/IT하드웨어,0.4213281930487024,14,False,False
2020Q1,2020-03-31,01,반도체/IT하드웨어,0.4373633773506153,12,False,False
2020Q2,2020-06-30,01,반도체/IT하드웨어,0.4265692017597835,11,False,False
2020Q3,2020-09-29,01,반도체/IT하드웨어,0.41214651039312133,11,False,False
2020Q4,2020-12-30,01,반도체/IT하드웨어,0.45223274753036813,15,False,False
2021Q1,2021-03-31,01,반도체/IT하드웨어,0.44113932744453344,11,False,False
2021Q2,2021-06-30,01,반도체/IT하드웨어,0.4178103336827698,11,False,False
2021Q3,2021-09-30,01,반도체/IT하드웨어,0.4016118811262755,13,False,False
2021Q4,2021-12-30,01,반도체/IT하드웨어,0.41745838208667785,16,False,False
2022Q1,2022-03-31,01,반도체/IT하드웨어,0.3870072788798005,13,False,False
2022Q2,2022-06-30,01,반도체/IT하드웨어,0.36967754616980586,11,False,False
2022Q3,2022-09-30,01,반도체/IT하드웨어,0.3574678643909395,11,False,False
2022Q4,2022-12-29,01,반도체/IT하드웨어,0.3561292489952518,6,False,False
2023Q1,2023-03-31,01,반도체/IT하드웨어,0.3885410904322693,19,False,False
2023Q2,2023-06-30,01,반도체/IT하드웨어,0.4224677840366997,15,False,False
2023Q3,2023-09-27,01,반도체/IT하드웨어,0.39577647707009944,11,False,False
2023Q4,2023-12-28,01,반도체/IT하드웨어,0.4001521164963186,9,False,False
2024Q1,2024-03-29,01,반도체/IT하드웨어,0.42715379242031054,18,False,False
2024Q2,2024-06-28,01,반도체/IT하드웨어,0.4479726812470309,16,False,False
2024Q3,2024-09-30,01,반도체/IT하드웨어,0.3652907666933324,13,False,False
2024Q4,2024-12-30,01,반도체/IT하드웨어,0.35385804826140044,14,False,False
2025Q1,2025-03-31,01,반도체/IT하드웨어,0.35870636443864423,14,False,False
2025Q2,2025-06-30,01,반도체/IT하드웨어,0.3423205402843824,13,False,False
2025Q3,2025-09-30,01,반도체/IT하드웨어,0.40123838411347795,18,False,False
2025Q4,2025-12-30,01,반도체/IT하드웨어,0.4852451958461041,18,False,False
2026Q1,2026-03-31,01,반도체/IT하드웨어,0.5304668362098802,18,True,False
2026Q2,2026-05-06,01,반도체/IT하드웨어,0.6003490689292081,23,True,False
