quarter,quarter_end_date,final_sector_code,final_sector_name,n_stocks,mcap_weight
2025Q1,2025-03-31,12,건설/부동산,1,0.0025783664275900375
2025Q2,2025-06-30,11,에너지/유틸리티,2,0.0150600171073055
2025Q3,2025-09-30,04,철강금속,2,0.01185300596866279
2025Q3,2025-09-30,09,소비재/유통,2,0.015323224659191077
2025Q3,2025-09-30,11,에너지/유틸리티,1,0.01061901934301144
2025Q3,2025-09-30,12,건설/부동산,1,0.002779585399895496
2025Q4,2025-12-30,11,에너지/유틸리티,1,0.0109884453133866
2025Q4,2025-12-30,12,건설/부동산,2,0.0028743270969102076
2026Q1,2026-03-31,09,소비재/유통,2,0.01599367924923766
2026Q1,2026-03-31,11,에너지/유틸리티,1,0.00796515684559545
2026Q2,2026-05-06,04,철강금속,2,0.014830475854018163
2026Q2,2026-05-06,07,헬스케어,2,0.02758409672863994
2026Q2,2026-05-06,11,에너지/유틸리티,1,0.005602106597857711
