date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_usdkrw_sleeve_net_value,usdkrw_sleeve_factor
2010-03-10,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-11,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-12,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-15,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-16,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-17,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-18,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-19,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-22,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-23,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-24,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-25,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-26,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-29,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-30,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-31,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-04-01,1.001230891139932,0.0,1.001230891139932,1.001230891139932,0,1.0,1.001230891139932,1.001230891139932
2010-04-02,1.0024632973728622,0.0,1.0024632973728622,1.0024632973728622,0,1.0,1.0024632973728622,1.0024632973728622
2010-04-05,1.0036972205637054,0.0,1.0036972205637054,1.0036972205637054,0,1.0,1.0036972205637054,1.0036972205637054
2010-04-06,1.0049326625796715,0.0,1.0049326625796715,1.0049326625796715,0,1.0,1.0049326625796715,1.0049326625796715
2010-04-07,1.006169625290269,0.0,1.006169625290269,1.006169625290269,0,1.0,1.006169625290269,1.006169625290269
2010-04-08,1.0074081105673074,0.0,1.0074081105673074,1.0074081105673074,0,1.0,1.0074081105673074,1.0074081105673074
2010-04-09,1.0086481202849003,0.0,1.0086481202849003,1.0086481202849003,0,1.0,1.0086481202849003,1.0086481202849003
2010-04-12,1.009889656319468,0.0,1.009889656319468,1.009889656319468,0,1.0,1.009889656319468,1.009889656319468
2010-04-13,1.0111327205497405,0.0,1.0111327205497405,1.0111327205497405,0,1.0,1.0111327205497405,1.0111327205497405
2010-04-14,1.0123773148567603,0.0,1.0123773148567603,1.0123773148567603,0,1.0,1.0123773148567603,1.0123773148567603
2010-04-15,1.0136234411238856,0.0,1.0136234411238856,1.0136234411238856,0,1.0,1.0136234411238856,1.0136234411238856
2010-04-16,1.0148711012367924,0.0,1.0148711012367924,1.0148711012367924,0,1.0,1.0148711012367924,1.0148711012367924
2010-04-19,1.0161202970834777,0.0,1.0161202970834777,1.0161202970834777,0,1.0,1.0161202970834777,1.0161202970834777
2010-04-20,1.0173710305542627,0.0,1.0173710305542627,1.0173710305542627,0,1.0,1.0173710305542627,1.0173710305542627
2010-04-21,1.0186233035417953,0.0,1.0186233035417953,1.0186233035417953,0,1.0,1.0186233035417953,1.0186233035417953
2010-04-22,1.019877117941053,0.0,1.019877117941053,1.019877117941053,0,1.0,1.019877117941053,1.019877117941053
2010-04-23,1.021132475649346,0.0,1.021132475649346,1.021132475649346,0,1.0,1.021132475649346,1.021132475649346
2010-04-26,1.0223893785663196,0.0,1.0223893785663196,1.0223893785663196,0,1.0,1.0223893785663196,1.0223893785663196
2010-04-27,1.0236478285939574,0.0,1.0236478285939574,1.0236478285939574,0,1.0,1.0236478285939574,1.0236478285939574
2010-04-28,1.0249078276365842,0.0,1.0249078276365842,1.0249078276365842,0,1.0,1.0249078276365842,1.0249078276365842
2010-04-29,1.026169377600869,0.0,1.026169377600869,1.026169377600869,0,1.0,1.026169377600869,1.026169377600869
2010-04-30,1.0274324803958272,0.0,1.0274324803958272,1.0274324803958272,0,1.0,1.0274324803958272,1.0274324803958272
2010-05-03,1.0286971379328247,0.0,1.0286971379328247,1.0286971379328247,0,1.0,1.0286971379328247,1.0286971379328247
2010-05-04,1.0299633521255795,0.0,1.0299633521255795,1.0299633521255795,0,1.0,1.0299633521255795,1.0299633521255795
2010-05-06,1.0312311248901656,0.0,1.0312311248901656,1.0312311248901656,0,1.0,1.0312311248901656,1.0312311248901656
2010-05-07,1.0325004581450148,0.0,1.0325004581450148,1.0325004581450148,0,1.0,1.0325004581450148,1.0325004581450148
2010-05-10,1.0337713538109212,0.0,1.0337713538109212,1.0337713538109212,0,1.0,1.0337713538109212,1.0337713538109212
2010-05-11,1.0350438138110425,0.0,1.0350438138110425,1.0350438138110425,0,1.0,1.0350438138110425,1.0350438138110425
2010-05-12,1.0363178400709039,0.0,1.0363178400709039,1.0363178400709039,0,1.0,1.0363178400709039,1.0363178400709039
2010-05-13,1.0375934345184006,0.0,1.0375934345184006,1.0375934345184006,0,1.0,1.0375934345184006,1.0375934345184006
2010-05-14,1.0388705990838007,0.0,1.0388705990838007,1.0388705990838007,0,1.0,1.0388705990838007,1.0388705990838007
2010-05-17,1.0401493356997487,0.0,1.0401493356997487,1.0401493356997487,0,1.0,1.0401493356997487,1.0401493356997487
2010-05-18,1.0414296463012676,0.0,1.0414296463012676,1.0414296463012676,0,1.0,1.0414296463012676,1.0414296463012676
2010-05-19,1.0427115328257621,0.0,1.0427115328257621,1.0427115328257621,0,1.0,1.0427115328257621,1.0427115328257621
2010-05-20,1.0439949972130222,0.0,1.0439949972130222,1.0439949972130222,0,1.0,1.0439949972130222,1.0439949972130222
2010-05-24,1.045280041405225,0.0,1.045280041405225,1.045280041405225,0,1.0,1.045280041405225,1.045280041405225
2010-05-25,1.0465666673469383,0.0,1.0465666673469383,1.0465666673469383,0,1.0,1.0465666673469383,1.0465666673469383
2010-05-26,1.0478548769851237,0.0,1.0478548769851237,1.0478548769851237,0,1.0,1.0478548769851237,1.0478548769851237
2010-05-27,1.049144672269139,0.0,1.049144672269139,1.049144672269139,0,1.0,1.049144672269139,1.049144672269139
2010-05-28,1.050436055150742,0.0,1.050436055150742,1.050436055150742,0,1.0,1.050436055150742,1.050436055150742
2010-05-31,1.051729027584092,0.0,1.051729027584092,1.051729027584092,0,1.0,1.051729027584092,1.051729027584092
2010-06-01,1.0530235915257544,0.0,1.0530235915257544,1.0530235915257544,0,1.0,1.0530235915257544,1.0530235915257544
2010-06-03,1.0543197489347027,0.0,1.0543197489347027,1.0543197489347027,0,1.0,1.0543197489347027,1.0543197489347027
2010-06-04,1.0556175017723217,0.0,1.0556175017723217,1.0556175017723217,0,1.0,1.0556175017723217,1.0556175017723217
2010-06-07,1.0569168520024104,0.0,1.0569168520024104,1.0569168520024104,0,1.0,1.0569168520024104,1.0569168520024104
2010-06-08,1.058217801591185,0.0,1.058217801591185,1.058217801591185,0,1.0,1.058217801591185,1.058217801591185
2010-06-09,1.0595203525072818,0.0,1.0595203525072818,1.0595203525072818,0,1.0,1.0595203525072818,1.0595203525072818
2010-06-10,1.0608245067217605,0.0,1.0608245067217605,1.0608245067217605,0,1.0,1.0608245067217605,1.0608245067217605
2010-06-11,1.062130266208107,0.0,1.062130266208107,1.062130266208107,0,1.0,1.062130266208107,1.062130266208107
2010-06-14,1.063437632942236,0.0,1.063437632942236,1.063437632942236,0,1.0,1.063437632942236,1.063437632942236
2010-06-15,1.0647466089024946,0.0,1.0647466089024946,1.0647466089024946,0,1.0,1.0647466089024946,1.0647466089024946
2010-06-16,1.0660571960696652,0.0,1.0660571960696652,1.0660571960696652,0,1.0,1.0660571960696652,1.0660571960696652
2010-06-17,1.067369396426968,0.0,1.067369396426968,1.067369396426968,0,1.0,1.067369396426968,1.067369396426968
2010-06-18,1.0686832119600644,0.0,1.0686832119600644,1.0686832119600644,0,1.0,1.0686832119600644,1.0686832119600644
2010-06-21,1.06999864465706,0.0,1.06999864465706,1.06999864465706,0,1.0,1.06999864465706,1.06999864465706
2010-06-22,1.0713156965085076,0.0,1.0713156965085076,1.0713156965085076,0,1.0,1.0713156965085076,1.0713156965085076
2010-06-23,1.0726343695074099,0.0,1.0726343695074099,1.0726343695074099,0,1.0,1.0726343695074099,1.0726343695074099
2010-06-24,1.073954665649223,0.0,1.073954665649223,1.073954665649223,0,1.0,1.073954665649223,1.073954665649223
2010-06-25,1.075276586931859,0.0,1.075276586931859,1.075276586931859,0,1.0,1.075276586931859,1.075276586931859
2010-06-28,1.0766001353556898,0.0,1.0766001353556898,1.0766001353556898,0,1.0,1.0766001353556898,1.0766001353556898
2010-06-29,1.0779253129235487,0.0,1.0779253129235487,1.0779253129235487,0,1.0,1.0779253129235487,1.0779253129235487
2010-06-30,1.0792521216407345,0.0,1.0792521216407345,1.0792521216407345,0,1.0,1.0792521216407345,1.0792521216407345
2010-07-01,1.078080461424412,0.0,1.078080461424412,1.078080461424412,0,1.0,1.078080461424412,1.078080461424412
2010-07-02,1.076910073188598,0.0,1.076910073188598,1.076910073188598,0,1.0,1.076910073188598,1.076910073188598
2010-07-05,1.0757409555524022,0.0,1.0757409555524022,1.0757409555524022,0,1.0,1.0757409555524022,1.0757409555524022
2010-07-06,1.074573107136433,0.0,1.074573107136433,1.074573107136433,0,1.0,1.074573107136433,1.074573107136433
2010-07-07,1.0734065265627968,0.0,1.0734065265627968,1.0734065265627968,0,1.0,1.0734065265627968,1.0734065265627968
2010-07-08,1.0722412124550955,0.0,1.0722412124550955,1.0722412124550955,0,1.0,1.0722412124550955,1.0722412124550955
2010-07-09,1.0710771634384255,0.0,1.0710771634384255,1.0710771634384255,0,1.0,1.0710771634384255,1.0710771634384255
2010-07-12,1.0699143781393756,0.0,1.0699143781393756,1.0699143781393756,0,1.0,1.0699143781393756,1.0699143781393756
2010-07-13,1.0687528551860257,0.0,1.0687528551860257,1.0687528551860257,0,1.0,1.0687528551860257,1.0687528551860257
2010-07-14,1.067592593207945,0.0,1.067592593207945,1.067592593207945,0,1.0,1.067592593207945,1.067592593207945
2010-07-15,1.066433590836191,0.0,1.066433590836191,1.066433590836191,0,1.0,1.066433590836191,1.066433590836191
2010-07-16,1.0652758467033066,0.0,1.0652758467033066,1.0652758467033066,0,1.0,1.0652758467033066,1.0652758467033066
2010-07-19,1.0641193594433196,0.0,1.0641193594433196,1.0641193594433196,0,1.0,1.0641193594433196,1.0641193594433196
2010-07-20,1.0629641276917408,0.0,1.0629641276917408,1.0629641276917408,0,1.0,1.0629641276917408,1.0629641276917408
2010-07-21,1.0618101500855621,0.0,1.0618101500855621,1.0618101500855621,0,1.0,1.0618101500855621,1.0618101500855621
2010-07-22,1.0606574252632552,0.0,1.0606574252632552,1.0606574252632552,0,1.0,1.0606574252632552,1.0606574252632552
2010-07-23,1.05950595186477,0.0,1.05950595186477,1.05950595186477,0,1.0,1.05950595186477,1.05950595186477
2010-07-26,1.058355728531533,0.0,1.058355728531533,1.058355728531533,0,1.0,1.058355728531533,1.058355728531533
2010-07-27,1.0572067539064454,0.0,1.0572067539064454,1.0572067539064454,0,1.0,1.0572067539064454,1.0572067539064454
2010-07-28,1.0560590266338814,0.0,1.0560590266338814,1.0560590266338814,0,1.0,1.0560590266338814,1.0560590266338814
2010-07-29,1.0549125453596875,0.0,1.0549125453596875,1.0549125453596875,0,1.0,1.0549125453596875,1.0549125453596875
2010-07-30,1.05376730873118,0.0,1.05376730873118,1.05376730873118,0,1.0,1.05376730873118,1.05376730873118
2010-08-02,1.0526233153971438,0.0,1.0526233153971438,1.0526233153971438,0,1.0,1.0526233153971438,1.0526233153971438
2010-08-03,1.0514805640078306,0.0,1.0514805640078306,1.0514805640078306,0,1.0,1.0514805640078306,1.0514805640078306
2010-08-04,1.0503390532149575,0.0,1.0503390532149575,1.0503390532149575,0,1.0,1.0503390532149575,1.0503390532149575
2010-08-05,1.049198781671705,0.0,1.049198781671705,1.049198781671705,0,1.0,1.049198781671705,1.049198781671705
2010-08-06,1.0480597480327163,0.0,1.0480597480327163,1.0480597480327163,0,1.0,1.0480597480327163,1.0480597480327163
2010-08-09,1.0469219509540948,0.0,1.0469219509540948,1.0469219509540948,0,1.0,1.0469219509540948,1.0469219509540948
2010-08-10,1.045785389093403,0.0,1.045785389093403,1.045785389093403,0,1.0,1.045785389093403,1.045785389093403
2010-08-11,1.0446500611096607,0.0,1.0446500611096607,1.0446500611096607,0,1.0,1.0446500611096607,1.0446500611096607
2010-08-12,1.0435159656633435,0.0,1.0435159656633435,1.0435159656633435,0,1.0,1.0435159656633435,1.0435159656633435
2010-08-13,1.0423831014163811,0.0,1.0423831014163811,1.0423831014163811,0,1.0,1.0423831014163811,1.0423831014163811
2010-08-16,1.0412514670321562,0.0,1.0412514670321562,1.0412514670321562,0,1.0,1.0412514670321562,1.0412514670321562
2010-08-17,1.0401210611755023,0.0,1.0401210611755023,1.0401210611755023,0,1.0,1.0401210611755023,1.0401210611755023
2010-08-18,1.0389918825127022,0.0,1.0389918825127022,1.0389918825127022,0,1.0,1.0389918825127022,1.0389918825127022
2010-08-19,1.037863929711487,0.0,1.037863929711487,1.037863929711487,0,1.0,1.037863929711487,1.037863929711487
2010-08-20,1.036737201441034,0.0,1.036737201441034,1.036737201441034,0,1.0,1.036737201441034,1.036737201441034
2010-08-23,1.0356116963719653,0.0,1.0356116963719653,1.0356116963719653,0,1.0,1.0356116963719653,1.0356116963719653
2010-08-24,1.034487413176346,0.0,1.034487413176346,1.034487413176346,0,1.0,1.034487413176346,1.034487413176346
2010-08-25,1.0333643505276828,0.0,1.0333643505276828,1.0333643505276828,0,1.0,1.0333643505276828,1.0333643505276828
2010-08-26,1.0322425071009231,0.0,1.0322425071009231,1.0322425071009231,0,1.0,1.0322425071009231,1.0322425071009231
2010-08-27,1.031121881572452,0.0,1.031121881572452,1.031121881572452,0,1.0,1.031121881572452,1.031121881572452
2010-08-30,1.0300024726200923,0.0,1.0300024726200923,1.0300024726200923,0,1.0,1.0300024726200923,1.0300024726200923
2010-08-31,1.0288842789231014,0.0,1.0288842789231014,1.0288842789231014,0,1.0,1.0288842789231014,1.0288842789231014
2010-09-01,1.0277672991621711,0.0,1.0277672991621711,1.0277672991621711,0,1.0,1.0277672991621711,1.0277672991621711
2010-09-02,1.0266515320194254,0.0,1.0266515320194254,1.0266515320194254,0,1.0,1.0266515320194254,1.0266515320194254
2010-09-03,1.0255369761784185,0.0,1.0255369761784185,1.0255369761784185,0,1.0,1.0255369761784185,1.0255369761784185
2010-09-06,1.0244236303241345,0.0,1.0244236303241345,1.0244236303241345,0,1.0,1.0244236303241345,1.0244236303241345
2010-09-07,1.0233114931429848,0.0,1.0233114931429848,1.0233114931429848,0,1.0,1.0233114931429848,1.0233114931429848
2010-09-08,1.0222005633228066,0.0,1.0222005633228066,1.0222005633228066,0,1.0,1.0222005633228066,1.0222005633228066
2010-09-09,1.0210908395528622,0.0,1.0210908395528622,1.0210908395528622,0,1.0,1.0210908395528622,1.0210908395528622
2010-09-10,1.0199823205238363,0.0,1.0199823205238363,1.0199823205238363,0,1.0,1.0199823205238363,1.0199823205238363
2010-09-13,1.0188750049278352,0.0,1.0188750049278352,1.0188750049278352,0,1.0,1.0188750049278352,1.0188750049278352
2010-09-14,1.0177688914583853,0.0,1.0177688914583853,1.0177688914583853,0,1.0,1.0177688914583853,1.0177688914583853
2010-09-15,1.016663978810431,0.0,1.016663978810431,1.016663978810431,0,1.0,1.016663978810431,1.016663978810431
2010-09-16,1.0155602656803338,0.0,1.0155602656803338,1.0155602656803338,0,1.0,1.0155602656803338,1.0155602656803338
2010-09-17,1.01445775076587,0.0,1.01445775076587,1.01445775076587,0,1.0,1.01445775076587,1.01445775076587
2010-09-20,1.0133564327662303,0.0,1.0133564327662303,1.0133564327662303,0,1.0,1.0133564327662303,1.0133564327662303
2010-09-24,1.012256310382017,0.0,1.012256310382017,1.012256310382017,0,1.0,1.012256310382017,1.012256310382017
2010-09-27,1.0111573823152435,0.0,1.0111573823152435,1.0111573823152435,0,1.0,1.0111573823152435,1.0111573823152435
2010-09-28,1.010059647269332,0.0,1.010059647269332,1.010059647269332,0,1.0,1.010059647269332,1.010059647269332
2010-09-29,1.0089631039491123,0.0,1.0089631039491123,1.0089631039491123,0,1.0,1.0089631039491123,1.0089631039491123
2010-09-30,1.0078677510608203,0.0,1.0078677510608203,1.0078677510608203,0,1.0,1.0078677510608203,1.0078677510608203
2010-10-01,1.0077380156252584,0.0,1.0077380156252584,1.0077380156252584,0,1.0,1.0077380156252584,1.0077380156252584
2010-10-04,1.0076082968895894,0.0,1.0076082968895894,1.0076082968895894,0,1.0,1.0076082968895894,1.0076082968895894
2010-10-05,1.0074785948516634,0.0,1.0074785948516634,1.0074785948516634,0,1.0,1.0074785948516634,1.0074785948516634
2010-10-06,1.0073489095093309,0.0,1.0073489095093309,1.0073489095093309,0,1.0,1.0073489095093309,1.0073489095093309
2010-10-07,1.0072192408604428,0.0,1.0072192408604428,1.0072192408604428,0,1.0,1.0072192408604428,1.0072192408604428
2010-10-08,1.0070895889028504,0.0,1.0070895889028504,1.0070895889028504,0,1.0,1.0070895889028504,1.0070895889028504
2010-10-11,1.0069599536344052,0.0,1.0069599536344052,1.0069599536344052,0,1.0,1.0069599536344052,1.0069599536344052
2010-10-12,1.0068303350529588,0.0,1.0068303350529588,1.0068303350529588,0,1.0,1.0068303350529588,1.0068303350529588
2010-10-13,1.0067007331563633,0.0,1.0067007331563633,1.0067007331563633,0,1.0,1.0067007331563633,1.0067007331563633
2010-10-14,1.006571147942471,0.0,1.006571147942471,1.006571147942471,0,1.0,1.006571147942471,1.006571147942471
2010-10-15,1.0064415794091344,0.0,1.0064415794091344,1.0064415794091344,0,1.0,1.0064415794091344,1.0064415794091344
2010-10-18,1.0063120275542063,0.0,1.0063120275542063,1.0063120275542063,0,1.0,1.0063120275542063,1.0063120275542063
2010-10-19,1.00618249237554,0.0,1.00618249237554,1.00618249237554,0,1.0,1.00618249237554,1.00618249237554
2010-10-20,1.0060529738709887,0.0,1.0060529738709887,1.0060529738709887,0,1.0,1.0060529738709887,1.0060529738709887
2010-10-21,1.005923472038406,0.0,1.005923472038406,1.005923472038406,0,1.0,1.005923472038406,1.005923472038406
2010-10-22,1.005793986875646,0.0,1.005793986875646,1.005793986875646,0,1.0,1.005793986875646,1.005793986875646
2010-10-25,1.0056645183805628,0.0,1.0056645183805628,1.0056645183805628,0,1.0,1.0056645183805628,1.0056645183805628
2010-10-26,1.005535066551011,0.0,1.005535066551011,1.005535066551011,0,1.0,1.005535066551011,1.005535066551011
2010-10-27,1.0054056313848452,0.0,1.0054056313848452,1.0054056313848452,0,1.0,1.0054056313848452,1.0054056313848452
2010-10-28,1.0052762128799206,0.0,1.0052762128799206,1.0052762128799206,0,1.0,1.0052762128799206,1.0052762128799206
2010-10-29,1.0051468110340926,0.0,1.0051468110340926,1.0051468110340926,0,1.0,1.0051468110340926,1.0051468110340926
2010-11-01,1.0050174258452167,0.0,1.0050174258452167,1.0050174258452167,0,1.0,1.0050174258452167,1.0050174258452167
2010-11-02,1.0048880573111487,0.0,1.0048880573111487,1.0048880573111487,0,1.0,1.0048880573111487,1.0048880573111487
2010-11-03,1.0047587054297449,0.0,1.0047587054297449,1.0047587054297449,0,1.0,1.0047587054297449,1.0047587054297449
2010-11-04,1.0046293701988616,0.0,1.0046293701988616,1.0046293701988616,0,1.0,1.0046293701988616,1.0046293701988616
2010-11-05,1.0045000516163554,0.0,1.0045000516163554,1.0045000516163554,0,1.0,1.0045000516163554,1.0045000516163554
2010-11-08,1.0043707496800833,0.0,1.0043707496800833,1.0043707496800833,0,1.0,1.0043707496800833,1.0043707496800833
2010-11-09,1.0042414643879027,0.0,1.0042414643879027,1.0042414643879027,0,1.0,1.0042414643879027,1.0042414643879027
2010-11-10,1.0041121957376713,0.0,1.0041121957376713,1.0041121957376713,0,1.0,1.0041121957376713,1.0041121957376713
2010-11-11,1.0039829437272465,0.0,1.0039829437272465,1.0039829437272465,0,1.0,1.0039829437272465,1.0039829437272465
2010-11-12,1.0038537083544865,0.0,1.0038537083544865,1.0038537083544865,0,1.0,1.0038537083544865,1.0038537083544865
2010-11-15,1.00372448961725,0.0,1.00372448961725,1.00372448961725,0,1.0,1.00372448961725,1.00372448961725
2010-11-16,1.003595287513395,0.0,1.003595287513395,1.003595287513395,0,1.0,1.003595287513395,1.003595287513395
2010-11-17,1.0034661020407811,0.0,1.0034661020407811,1.0034661020407811,0,1.0,1.0034661020407811,1.0034661020407811
2010-11-18,1.003336933197267,0.0,1.003336933197267,1.003336933197267,0,1.0,1.003336933197267,1.003336933197267
2010-11-19,1.0032077809807123,0.0,1.0032077809807123,1.0032077809807123,0,1.0,1.0032077809807123,1.0032077809807123
2010-11-22,1.0030786453889766,0.0,1.0030786453889766,1.0030786453889766,0,1.0,1.0030786453889766,1.0030786453889766
2010-11-23,1.0029495264199202,0.0,1.0029495264199202,1.0029495264199202,0,1.0,1.0029495264199202,1.0029495264199202
2010-11-24,1.0028204240714031,0.0,1.0028204240714031,1.0028204240714031,0,1.0,1.0028204240714031,1.0028204240714031
2010-11-25,1.002691338341286,0.0,1.002691338341286,1.002691338341286,0,1.0,1.002691338341286,1.002691338341286
2010-11-26,1.0025622692274299,0.0,1.0025622692274299,1.0025622692274299,0,1.0,1.0025622692274299,1.0025622692274299
2010-11-29,1.0024332167276955,0.0,1.0024332167276955,1.0024332167276955,0,1.0,1.0024332167276955,1.0024332167276955
2010-11-30,1.0023041808399444,0.0,1.0023041808399444,1.0023041808399444,0,1.0,1.0023041808399444,1.0023041808399444
2010-12-01,1.0021751615620385,0.0,1.0021751615620385,1.0021751615620385,0,1.0,1.0021751615620385,1.0021751615620385
2010-12-02,1.0020461588918392,0.0,1.0020461588918392,1.0020461588918392,0,1.0,1.0020461588918392,1.0020461588918392
2010-12-03,1.0019171728272092,0.0,1.0019171728272092,1.0019171728272092,0,1.0,1.0019171728272092,1.0019171728272092
2010-12-06,1.0017882033660108,0.0,1.0017882033660108,1.0017882033660108,0,1.0,1.0017882033660108,1.0017882033660108
2010-12-07,1.0016592505061068,0.0,1.0016592505061068,1.0016592505061068,0,1.0,1.0016592505061068,1.0016592505061068
2010-12-08,1.0015303142453602,0.0,1.0015303142453602,1.0015303142453602,0,1.0,1.0015303142453602,1.0015303142453602
2010-12-09,1.0014013945816342,0.0,1.0014013945816342,1.0014013945816342,0,1.0,1.0014013945816342,1.0014013945816342
2010-12-10,1.0012724915127926,0.0,1.0012724915127926,1.0012724915127926,0,1.0,1.0012724915127926,1.0012724915127926
2010-12-13,1.0011436050366993,0.0,1.0011436050366993,1.0011436050366993,0,1.0,1.0011436050366993,1.0011436050366993
2010-12-14,1.0010147351512182,0.0,1.0010147351512182,1.0010147351512182,0,1.0,1.0010147351512182,1.0010147351512182
2010-12-15,1.000885881854214,0.0,1.000885881854214,1.000885881854214,0,1.0,1.000885881854214,1.000885881854214
2010-12-16,1.000757045143551,0.0,1.000757045143551,1.000757045143551,0,1.0,1.000757045143551,1.000757045143551
2010-12-17,1.0006282250170944,0.0,1.0006282250170944,1.0006282250170944,0,1.0,1.0006282250170944,1.0006282250170944
2010-12-20,1.0004994214727094,0.0,1.0004994214727094,1.0004994214727094,0,1.0,1.0004994214727094,1.0004994214727094
2010-12-21,1.0003706345082615,0.0,1.0003706345082615,1.0003706345082615,0,1.0,1.0003706345082615,1.0003706345082615
2010-12-22,1.0002418641216164,0.0,1.0002418641216164,1.0002418641216164,0,1.0,1.0002418641216164,1.0002418641216164
2010-12-23,1.0001131103106404,0.0,1.0001131103106404,1.0001131103106404,0,1.0,1.0001131103106404,1.0001131103106404
2010-12-24,0.9999843730731997,0.0,0.9999843730731997,0.9999843730731997,0,1.0,0.9999843730731997,0.9999843730731997
2010-12-27,0.9998556524071608,0.0,0.9998556524071608,0.9998556524071608,0,1.0,0.9998556524071608,0.9998556524071608
2010-12-28,0.9997269483103908,0.0,0.9997269483103908,0.9997269483103908,0,1.0,0.9997269483103908,0.9997269483103908
2010-12-29,0.9995982607807566,0.0,0.9995982607807566,0.9995982607807566,0,1.0,0.9995982607807566,0.9995982607807566
2010-12-30,0.999469589816126,0.0,0.999469589816126,0.999469589816126,0,1.0,0.999469589816126,0.999469589816126
2011-01-03,0.9989709553343086,0.0,0.9989709553343086,0.9989709553343086,0,1.0,0.9989709553343086,0.9989709553343086
