scenario,label,date,tax_year,component,original_lot_id,replacement_lot_id,original_buy_date,qty,buy_price_krw,sell_price_krw,unrealized_return,realized_loss_krw,sell_commission_krw,buy_commission_krw,total_tlh_commission_krw,same_etf_immediate_repurchase
T003-B,Year-end TLH: all loss lots,2017-12-29,2017,IEF,72,78,2017-07-03,9.319225707506352,99176.58206512452,92532.26442565919,-0.06699482378917154,-61919.8957545432,2155.8226435234465,2155.8226435234465,4311.645287046893,True
T003-B,Year-end TLH: all loss lots,2017-12-29,2017,IEF,67,79,2016-10-03,23.57052333832577,98876.04147430419,92532.26442565919,-0.06415888979833018,-149526.1449782224,5452.584745482828,5452.584745482828,10905.169490965656,True
T003-B,Year-end TLH: all loss lots,2017-12-29,2017,IEF,71,80,2017-04-03,26.84336809412581,95913.83200836183,92532.26442565919,-0.035256307791016406,-90772.66335765026,6209.694086402383,6209.694086402383,12419.388172804765,True
T003-B,Year-end TLH: all loss lots,2020-12-31,2020,IEF,99,102,2020-07-01,131.8301277760528,126206.67888793944,112995.69514511107,-0.10467737412342959,-1741605.6748644214,37240.592322809745,37240.592322809745,74481.18464561949,True
T003-B,Year-end TLH: all loss lots,2020-12-31,2020,IEF,101,103,2020-10-01,35.498614667903105,122642.43879280088,112995.69514511107,-0.07865746753444436,-342446.03554938274,10027.976602720368,10027.976602720368,20055.953205440735,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,SPY,116,120,2022-07-01,5.90262802174967,469988.76453674317,462001.5321734619,-0.016994517669276732,-47145.66156372973,6817.557974745894,6817.557974745894,13635.115949491788,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,QQQ,117,121,2022-07-01,21.588682782094807,357539.03783203126,329202.64234863286,-0.0792539904319779,-611745.4532790722,17767.62854173011,17767.62854173011,35535.25708346022,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,IEF,119,122,2022-10-03,3.9204435539193887,123168.68097602844,107534.37292053223,-0.12693411938493537,-61293.42223616008,1053.9560978526606,1053.9560978526606,2107.912195705321,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,IEF,102,123,2020-12-31,86.89905002196929,112995.69514511107,107534.37292053223,-0.048332126436899325,-474583.71317976876,23361.587128756073,23361.587128756073,46723.174257512146,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,IEF,103,124,2020-12-31,35.498614667903105,112995.69514511107,107534.37292053223,-0.048332126436899325,-193869.37322757943,9543.30316965142,9543.30316965142,19086.60633930284,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,IEF,106,125,2021-01-04,95.48315151361965,112556.7249142456,107534.37292053223,-0.04462063015372719,-479549.9963704632,25669.302056233144,25669.302056233144,51338.60411246629,True
T003-B,Year-end TLH: all loss lots,2022-12-30,2022,IEF,108,126,2021-04-01,51.23674423502137,111473.03174240113,107534.37292053223,-0.03533284024220851,-201804.0546851074,13774.277904506795,13774.277904506795,27548.55580901359,True
T003-B,Year-end TLH: all loss lots,2023-12-29,2023,IEF,130,134,2023-04-03,23.158459232895137,117284.98677520752,114176.55158332826,-0.026503265911066665,-71986.56966923259,6610.38253798764,6610.38253798764,13220.76507597528,True
T003-B,Year-end TLH: all loss lots,2026-05-18,2026,IEF,153,154,2026-04-01,34.44741172506666,143163.06909347535,138168.0653034973,-0.03489030950235261,-172064.95212164207,11898.830581913671,11898.830581913671,23797.661163827343,True
T003-C,Quarter-end TLH: all loss lots,2010-03-31,2010,IEF,4,5,2010-01-04,424.20994466817376,70719.69994354247,70579.82208251953,-0.0019779193228280922,-59337.579684841614,74851.65605078789,74851.65605078789,149703.31210157578,True
T003-C,Quarter-end TLH: all loss lots,2010-06-30,2010,SPY,1,8,2010-01-04,292.09272191254377,97431.01327514648,95127.1860408783,-0.02364572795483666,-672931.1676736427,69464.8967464027,69464.8967464027,138929.7934928054,True
T003-C,Quarter-end TLH: all loss lots,2010-06-30,2010,QQQ,2,9,2010-01-04,447.35667436843653,46294.09205245971,45481.12407188415,-0.01756094448627088,-363686.65215830563,50865.711028340855,50865.711028340855,101731.42205668171,True
T003-C,Quarter-end TLH: all loss lots,2010-12-31,2010,IEF,14,15,2010-10-01,19.797457661932697,79344.90038108826,75911.85599517822,-0.04326736021371702,-67965.55088158963,3757.1543877581817,3757.1543877581817,7514.308775516363,True
T003-C,Quarter-end TLH: all loss lots,2011-03-31,2011,IEF,15,18,2010-12-31,19.797457661932697,75911.85599517822,73389.80299186707,-0.03322344013656253,-49930.23755420284,3632.328793872675,3632.328793872675,7264.65758774535,True
T003-C,Quarter-end TLH: all loss lots,2011-03-31,2011,IEF,17,19,2011-01-03,39.690939275817165,75255.5152633667,73389.80299186707,-0.024791701511448383,-74051.87247423899,7282.275535035952,7282.275535035952,14564.551070071904,True
T003-C,Quarter-end TLH: all loss lots,2011-09-30,2011,SPY,21,23,2011-07-01,2.9281082309948694,109830.0147239685,103422.3502357483,-0.0583416519093104,-18762.33512941112,757.0795874853219,757.0795874853219,1514.1591749706438,True
T003-C,Quarter-end TLH: all loss lots,2012-03-30,2012,IEF,28,29,2012-01-02,24.749252219628033,89958.27805328369,86242.17173919678,-0.041309220168551875,-91970.85244228916,5336.073150854645,5336.073150854645,10672.14630170929,True
T003-C,Quarter-end TLH: all loss lots,2012-12-31,2012,SPY,32,36,2012-07-02,1.753814220233484,122743.543359375,120556.10239776611,-0.017821230361619866,-3836.3650643908886,528.5825168028156,528.5825168028156,1057.1650336056312,True
T003-C,Quarter-end TLH: all loss lots,2012-12-31,2012,QQQ,33,37,2012-07-02,10.145971203804004,65319.738951873784,61995.359988861084,-0.0508939413469186,-33729.053229258665,1572.5078430411188,1572.5078430411188,3145.0156860822376,True
T003-C,Quarter-end TLH: all loss lots,2012-12-31,2012,IEF,35,38,2012-10-01,14.555026854988714,90030.81743766785,85586.37469116211,-0.04936579354711301,-64688.98353085081,3114.2799551274775,3114.2799551274775,6228.559910254955,True
T003-C,Quarter-end TLH: all loss lots,2012-12-31,2012,IEF,31,39,2012-04-02,42.46171491291571,86017.09293937683,85586.37469116211,-0.005007356485742687,-18289.03546348383,9085.360606415275,9085.360606415275,18170.72121283055,True
T003-C,Quarter-end TLH: all loss lots,2013-06-28,2013,IEF,43,44,2013-04-01,5.272532329915424,90041.2527433777,88183.28267211914,-0.020634653724264318,-9796.207268726032,1162.3730221170467,1162.3730221170467,2324.7460442340935,True
T003-C,Quarter-end TLH: all loss lots,2013-09-30,2013,IEF,44,47,2013-06-28,5.272532329915424,88183.28267211914,82956.59575340271,-0.05927072297988911,-27557.875757278387,1093.4783327238508,1093.4783327238508,2186.9566654477017,True
T003-C,Quarter-end TLH: all loss lots,2013-09-30,2013,IEF,46,48,2013-07-01,23.32566690749822,87739.30280036926,82956.59575340271,-0.05451042912716675,-111559.83149368616,4837.544800809633,4837.544800809633,9675.089601619266,True
T003-C,Quarter-end TLH: all loss lots,2013-09-30,2013,IEF,38,49,2012-12-31,14.555026854988714,85586.37469116211,82956.59575340271,-0.03072660744480582,-38276.503061771786,3018.5886974730483,3018.5886974730483,6037.177394946097,True
T003-C,Quarter-end TLH: all loss lots,2013-09-30,2013,IEF,39,50,2012-12-31,42.46171491291571,85586.37469116211,82956.59575340271,-0.03072660744480582,-111664.92353913002,8806.198297567451,8806.198297567451,17612.396595134902,True
T003-C,Quarter-end TLH: all loss lots,2013-09-30,2013,IEF,41,51,2013-01-02,8.893474142459047,85201.02545394897,82956.59575340271,-0.02634275454535895,-19960.777506375245,1844.4308481982875,1844.4308481982875,3688.861696396575,True
T003-C,Quarter-end TLH: all loss lots,2013-12-31,2013,IEF,47,53,2013-09-30,5.272532329915424,82956.59575340271,79769.9584980011,-0.038413307904705096,-16801.647952817955,1051.474212841806,1051.474212841806,2102.948425683612,True
T003-C,Quarter-end TLH: all loss lots,2013-12-31,2013,IEF,48,54,2013-09-30,23.32566690749822,82956.59575340271,79769.9584980011,-0.038413307904705096,-74330.43917452235,4651.718702873327,4651.718702873327,9303.437405746654,True
T003-C,Quarter-end TLH: all loss lots,2013-12-31,2013,IEF,49,55,2013-09-30,14.555026854988714,82956.59575340271,79769.9584980011,-0.038413307904705096,-46381.590829478,2902.6347203993532,2902.6347203993532,5805.2694407987065,True
T003-C,Quarter-end TLH: all loss lots,2013-12-31,2013,IEF,50,56,2013-09-30,42.46171491291571,82956.59575340271,79769.9584980011,-0.038413307904705096,-135310.08266973944,8467.923090893102,8467.923090893102,16935.846181786204,True
T003-C,Quarter-end TLH: all loss lots,2013-12-31,2013,IEF,51,57,2013-09-30,8.893474142459047,82956.59575340271,79769.9584980011,-0.038413307904705096,-28340.276032310907,1773.58015811751,1773.58015811751,3547.16031623502,True
T003-C,Quarter-end TLH: all loss lots,2013-12-31,2013,IEF,52,58,2013-10-01,25.406566230770604,82738.7194168091,79769.9584980011,-0.0358811562438186,-75426.02090701871,5066.701834513218,5066.701834513218,10133.403669026437,True
T003-C,Quarter-end TLH: all loss lots,2016-03-31,2016,IEF,75,76,2016-01-04,19.407375122949066,100140.08045822143,99887.8195046997,-0.00251908079529628,-4895.722953869117,4846.400958352839,4846.400958352839,9692.801916705677,True
T003-C,Quarter-end TLH: all loss lots,2016-06-30,2016,QQQ,77,78,2016-04-01,6.672452423432123,117950.27772407532,115945.6349739075,-0.016995659432505472,-13375.883376472948,1934.1043326700633,1934.1043326700633,3868.2086653401266,True
T003-C,Quarter-end TLH: all loss lots,2016-09-30,2016,IEF,76,81,2016-03-31,4.055733994786401,99887.8195046997,98495.75549499512,-0.013936273878108696,-5645.841327077545,998.6814597580528,998.6814597580528,1997.3629195161056,True
T003-C,Quarter-end TLH: all loss lots,2017-03-31,2017,IEF,85,86,2017-01-02,19.936708353665935,101751.07502105713,95429.48573516846,-0.062127985228464966,-126031.68192442163,4756.374563605943,4756.374563605943,9512.749127211886,True
T003-C,Quarter-end TLH: all loss lots,2017-03-31,2017,IEF,83,87,2016-10-03,23.458259485222417,98876.04147430419,95429.48573516846,-0.034857339429708256,-80850.19885892847,5596.524097292283,5596.524097292283,11193.048194584566,True
T003-C,Quarter-end TLH: all loss lots,2017-03-31,2017,IEF,81,88,2016-09-30,4.055733994786401,98495.75549499512,95429.48573516846,-0.031130983710079385,-12435.97450211449,967.5915235027667,967.5915235027667,1935.1830470055334,True
T003-C,Quarter-end TLH: all loss lots,2017-12-29,2017,IEF,93,94,2017-10-02,15.928834253313218,99529.20384475708,92532.26442565919,-0.07030036560938968,-111453.088287284,3684.8277578001907,3684.8277578001907,7369.6555156003815,True
T003-C,Quarter-end TLH: all loss lots,2017-12-29,2017,IEF,91,95,2017-07-03,9.39444634294037,99176.58206512452,92532.26442565919,-0.06699482378917154,-62419.68554940924,2173.223482844063,2173.223482844063,4346.446965688126,True
T003-C,Quarter-end TLH: all loss lots,2017-12-29,2017,IEF,90,96,2017-04-03,26.65130607533145,95913.83200836183,92532.26442565919,-0.035256307791016406,-90123.19266102683,6165.264252629368,6165.264252629368,12330.528505258735,True
T003-C,Quarter-end TLH: all loss lots,2017-12-29,2017,IEF,86,97,2017-03-31,19.936708353665935,95429.48573516846,92532.26442565919,-0.0303598126636615,-57761.056283712496,4611.971922896662,4611.971922896662,9223.943845793325,True
T003-C,Quarter-end TLH: all loss lots,2017-12-29,2017,IEF,87,98,2017-03-31,23.458259485222417,95429.48573516846,92532.26442565919,-0.0303598126636615,-67963.76926458444,5426.614674130821,5426.614674130821,10853.229348261642,True
T003-C,Quarter-end TLH: all loss lots,2017-12-29,2017,IEF,88,99,2017-03-31,4.055733994786401,95429.48573516846,92532.26442565919,-0.0303598126636615,-11750.358955396334,938.2156261142758,938.2156261142758,1876.4312522285516,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,94,101,2017-12-29,15.928834253313218,92532.26442565919,90130.3381349945,-0.02595771653890966,-38259.88577267329,3589.178043368507,3589.178043368507,7178.356086737014,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,95,102,2017-12-29,9.39444634294037,92532.26442565919,90130.3381349945,-0.02595771653890966,-22564.767657347234,2116.811563700695,2116.811563700695,4233.62312740139,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,96,103,2017-12-29,26.65130607533145,92532.26442565919,90130.3381349945,-0.02595771653890966,-64014.47274289021,6005.228070772143,6005.228070772143,12010.456141544286,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,97,104,2017-12-29,19.936708353665935,92532.26442565919,90130.3381349945,-0.02595771653890966,-47886.50394398458,4492.255663036701,4492.255663036701,8984.511326073402,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,98,105,2017-12-29,23.458259485222417,92532.26442565919,90130.3381349945,-0.02595771653890966,-56345.01019079008,5285.752148653846,5285.752148653846,10571.504297307692,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,99,106,2017-12-29,4.055733994786401,92532.26442565919,90130.3381349945,-0.02595771653890966,-9741.574110019988,913.8616908392258,913.8616908392258,1827.7233816784517,True
T003-C,Quarter-end TLH: all loss lots,2018-03-30,2018,IEF,100,107,2018-01-02,37.706540138295395,91531.70174171448,90130.3381349945,-0.015310144791958247,-52840.57308513348,8496.258031413265,8496.258031413265,16992.51606282653,True
T003-C,Quarter-end TLH: all loss lots,2018-09-28,2018,IEF,111,112,2018-07-02,21.044956338447353,94979.5661869049,93545.7439453125,-0.015096112765675018,-30174.726471406982,4921.665242441693,4921.665242441693,9843.330484883387,True
T003-C,Quarter-end TLH: all loss lots,2020-09-30,2020,IEF,126,127,2020-07-01,131.10393567533626,126206.67888793944,122880.77698028565,-0.02635282012774387,-436038.8297635213,40275.38370239677,40275.38370239677,80550.76740479354,True
T003-C,Quarter-end TLH: all loss lots,2020-12-31,2020,IEF,127,130,2020-09-30,131.10393567533626,122880.77698028565,112995.69514511107,-0.0804444932567483,-1295973.1330641636,37035.45086973637,37035.45086973637,74070.90173947274,True
T003-C,Quarter-end TLH: all loss lots,2020-12-31,2020,IEF,129,131,2020-10-01,35.349363993274345,122642.43879280088,112995.69514511107,-0.07865746753444436,-341006.25255199434,9985.814893393985,9985.814893393985,19971.62978678797,True
T003-C,Quarter-end TLH: all loss lots,2021-03-31,2021,IEF,130,135,2020-12-31,131.10393567533626,112995.69514511107,110499.83698974608,-0.022088081781874602,-327216.82705573447,36217.40880209703,36217.40880209703,72434.81760419406,True
T003-C,Quarter-end TLH: all loss lots,2021-03-31,2021,IEF,131,136,2020-12-31,35.349363993274345,112995.69514511107,110499.83698974608,-0.022088081781874602,-88226.99840957914,9765.247397370038,9765.247397370038,19530.494794740076,True
T003-C,Quarter-end TLH: all loss lots,2021-03-31,2021,IEF,134,137,2021-01-04,94.75139728761137,112556.7249142456,110499.83698974608,-0.01827423395684813,-194893.0049103443,26175.034887079313,26175.034887079313,52350.06977415863,True
T003-C,Quarter-end TLH: all loss lots,2022-03-31,2022,IEF,144,145,2022-01-03,56.94974291398458,118709.01721229554,114085.0337688446,-0.03895225107610445,-263334.66834305215,16242.783358672374,16242.783358672374,32485.566717344747,True
T003-C,Quarter-end TLH: all loss lots,2022-06-30,2022,QQQ,146,148,2022-04-01,3.335816612052357,428793.72139801027,355679.21204833983,-0.17051208005400076,-243896.59487068802,2966.201560281362,2966.201560281362,5932.403120562724,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,SPY,149,153,2022-07-01,5.857609875496181,469988.76453674317,462001.5321734619,-0.016994517669276732,-46786.09116903894,6765.561843384094,6765.561843384094,13531.123686768187,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,QQQ,150,154,2022-07-01,18.135628448328326,357539.03783203126,329202.64234863286,-0.0792539904319779,-513898.34005180234,14925.742014606805,14925.742014606805,29851.48402921361,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,QQQ,148,155,2022-06-30,3.335816612052357,355679.21204833983,329202.64234863286,-0.07443946343456409,-88320.98103444462,2745.399107695251,2745.399107695251,5490.798215390502,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,IEF,152,156,2022-10-03,3.77196438039703,123168.68097602844,107534.37292053223,-0.12693411938493537,-58972.053097486045,1014.0395608114463,1014.0395608114463,2028.0791216228927,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,IEF,139,157,2021-04-01,6.313292274306519,111473.03174240113,107534.37292053223,-0.03533284024220851,-24865.90431123414,1697.239814453981,1697.239814453981,3394.479628907962,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,IEF,135,158,2021-03-31,131.10393567533626,110499.83698974608,107534.37292053223,-0.02683681849674613,-388784.0105777334,35245.4487756527,35245.4487756527,70490.8975513054,True
