rcept_no,body_inspectable,n_tables,n_candidate_tables,label_cell_found,n_label_cells,label_text_matched,value_cell_content_class,value_cell_text_sample,value_cell_with_date_found,n_distinct_candidate_dates,any_date_in_body,structure_class
20140530801640,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140403800446,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140919800118,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140917800300,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20140814801496,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20150311800005,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20150922800445,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20150821800117,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20150721800360,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20151113800478,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20151111800225,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20151102800002,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160329801661,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160328801000,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160325800036,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160229800843,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160216800017,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160128800663,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160118800004,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160615800007,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160928800464,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160830800195,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160722800132,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20160714800467,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170329800895,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170316800464,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170316800463,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170316800453,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170316800461,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170206800861,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170202800150,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170814802418,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20170814802417,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20171011800012,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230925800473,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230717800369,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230706800002,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20220516800004,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20190325800031,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20190321801662,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210526800582,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210526800583,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210526800297,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210526800293,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250910800517,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250702800680,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250702800678,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180328801835,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180327801328,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180319800082,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180306800796,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180116800113,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20240618800440,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20181114801858,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20200330800003,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20200330800002,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20200327803671,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20200217800590,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250624800425,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250509800789,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250507800390,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250407800677,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250321801675,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250321800060,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250319801045,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20250319801051,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230512800419,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230510800579,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230406800364,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20230405800960,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180905800265,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180814800205,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20180813800268,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20260323802265,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20260323801874,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20260323801371,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20260323800757,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20260316800025,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20260407800520,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210330802269,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210323800235,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210322800146,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210305800582,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20210305800572,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20240328800038,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20240327801541,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20220714800004,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20190814800189,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20190724800281,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20241126800652,True,2,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
20201221800384,True,1,1,True,1,해제일,empty_or_dash,-,False,0,True,label_in_table_value_empty_or_dash
