rcept_no,prior_parse_status,prior_taxonomy_class,prior_feasibility_bucket,body_format,body_locally_available,provenance
20120426800011,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120420800201,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120926800335,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120831800102,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120816800423,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20120801800028,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20121218800591,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130327800013,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130321800009,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130319800680,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130318800158,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130315801361,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130315801356,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130315801324,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130308801153,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130222800147,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130205800450,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130125800113,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130605800237,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130529800380,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
