candidate,method,sleeve,sleeve_type,q_weight,baseline_net_cagr,net_cagr,baseline_net_sharpe,net_sharpe,baseline_net_mdd,net_mdd,delta_net_cagr_vs_baseline,delta_net_sharpe_vs_baseline,delta_net_mdd_vs_baseline
Q008-B-COWZ-20,Method B,COWZ,etf_proxy,0.2,0.12179128663765693,0.11518843442599991,1.1254997678716274,1.1029918646626202,-0.16475735041820638,-0.17603219505725443,-0.006602852211657018,-0.022507903209007196,-0.011274844639048043
Q008-B-MTUM-10,Method B,MTUM,etf_proxy,0.1,0.12179128663765693,0.12075506556645954,1.1254997678716274,1.1169524899360361,-0.16475735041820638,-0.16512032022840817,-0.0010362210711973852,-0.008547277935591291,-0.0003629698102017853
Q008-B-MTUM-20,Method B,MTUM,etf_proxy,0.2,0.12179128663765693,0.11968613209215606,1.1254997678716274,1.1033300051668615,-0.16475735041820638,-0.1654467980667398,-0.0021051545455008647,-0.022169762704765894,-0.0006894476485334033
Q008-B-Q002-10,Method B,Q002,direct_q_diagnostic,0.1,0.12179128663765693,0.12199037420167969,1.1254997678716274,1.1606250071851503,-0.16475735041820638,-0.1644436148782189,0.00019908756402275962,0.03512523931352285,0.0003137355399874808
Q008-B-Q002-20,Method B,Q002,direct_q_diagnostic,0.2,0.12179128663765693,0.12203702345777989,1.1254997678716274,1.189042640775091,-0.16475735041820638,-0.16412583413165804,0.00024573682012296594,0.0635428729034635,0.0006315162865483392
Q008-B-Q006-10,Method B,Q006,direct_q_diagnostic,0.1,0.12179128663765693,0.12151488287698031,1.1254997678716274,1.1700074680411825,-0.16475735041820638,-0.16463186713201472,-0.00027640376067661343,0.044507700169555076,0.00012548328619166327
Q008-B-Q006-20,Method B,Q006,direct_q_diagnostic,0.2,0.12179128663765693,0.1211214442395494,1.1254997678716274,1.208997103075084,-0.16475735041820638,-0.16450841594667664,-0.000669842398107523,0.08349733520345648,0.00024893447152973813
Q008-B-SCHD-10,Method B,SCHD,etf_proxy,0.1,0.12179128663765693,0.11776531333940898,1.1254997678716274,1.1250292219206444,-0.16475735041820638,-0.16433741075439734,-0.004025973298247942,-0.00047054595098305896,0.0004199396638090436
Q008-B-SCHD-20,Method B,SCHD,etf_proxy,0.2,0.12179128663765693,0.11373641808528867,1.1254997678716274,1.1162485672500315,-0.16475735041820638,-0.16392114636563204,-0.008054868552368255,-0.0092512006215959,0.0008362040525743408
Q008-C-COWZ-10,Method C,COWZ,etf_proxy,0.1,0.12179128663765693,0.1156868778245248,1.1254997678716274,1.1069217683554426,-0.16475735041820638,-0.17282426145680574,-0.006104408813132123,-0.018577999516184773,-0.008066911038599356
Q008-C-COWZ-15,Method C,COWZ,etf_proxy,0.15,0.12179128663765693,0.1126168681195836,1.1254997678716274,1.0908476830123137,-0.16475735041820638,-0.17687418707868618,-0.009174418518073324,-0.0346520848593137,-0.012116836660479802
Q008-C-MTUM-10,Method C,MTUM,etf_proxy,0.1,0.12179128663765693,0.1179571381108171,1.1254997678716274,1.1076436361097908,-0.16475735041820638,-0.16752271879588077,-0.003834148526839831,-0.017856131761836647,-0.002765368377674382
Q008-C-MTUM-15,Method C,MTUM,etf_proxy,0.15,0.12179128663765693,0.11601588970530341,1.1254997678716274,1.0956034512571755,-0.16475735041820638,-0.16890173859548396,-0.005775396932353516,-0.029896316614451912,-0.00414438817727758
Q008-C-Q002-10,Method C,Q002,direct_q_diagnostic,0.1,0.12179128663765693,0.11918876140350165,1.1254997678716274,1.152143479937468,-0.16475735041820638,-0.1668672461794518,-0.002602525234155273,0.026643712065840486,-0.0021098957612454283
Q008-C-Q002-15,Method C,Q002,direct_q_diagnostic,0.15,0.12179128663765693,0.11782657596490154,1.1254997678716274,1.1624309693036237,-0.16475735041820638,-0.16793133814510286,-0.003964710672755389,0.03693120143199624,-0.0031739877268964767
Q008-C-Q006-10,Method C,Q006,direct_q_diagnostic,0.1,0.12179128663765693,0.11870313720584247,1.1254997678716274,1.1605824725700578,-0.16475735041820638,-0.16706115193083992,-0.0030881494318144576,0.035082704698430334,-0.002303801512633541
Q008-C-Q006-15,Method C,Q006,direct_q_diagnostic,0.15,0.12179128663765693,0.11711198416653934,1.1254997678716274,1.1748452931147844,-0.16475735041820638,-0.1682290626580234,-0.004679302471117586,0.04934552524315694,-0.0034717122398170153
Q008-C-SCHD-10,Method C,SCHD,etf_proxy,0.1,0.12179128663765693,0.1149596710692613,1.1254997678716274,1.1127616491956827,-0.16475735041820638,-0.16676195953354844,-0.0068316155683956215,-0.012738118675944765,-0.0020046091153420598
Q008-C-SCHD-15,Method C,SCHD,etf_proxy,0.15,0.12179128663765693,0.1115317172930641,1.1254997678716274,1.0996936727728257,-0.16475735041820638,-0.16777710960307124,-0.010259569344592823,-0.025806095098801718,-0.0030197591848648564
