variant,comparator,stress_window,measurement_type,total_return,comparator_total_return,delta_return_vs_comparator_pp,daily_max_drawdown,comparator_daily_max_drawdown,delta_mdd_vs_comparator_pp,proxy_excluded_sleeves
K001-D,N001-B,rate_shock_2022,exact,-0.12492230837388607,-0.12632411053208126,0.14018021581951867,-0.12830398359413986,-0.13049714018065406,0.21931565865142,
K001-E,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2777363581975607,0.2841366743265439,-0.6400316128983174,-0.10802498741098188,-0.10890239353547271,0.08774061244908316,H001
K001-E,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19773414202822948,0.24381291693307006,-4.607877490484058,-0.1713262819577952,-0.1714163485257817,0.009006656798649093,H001
K001-E,N001-B,covid_2020_02_2020_03,exact,-0.07607735118842662,-0.06576479304718141,-1.031255814124521,-0.1643358582495984,-0.15326423293053493,-1.1071625319063472,
K001-E,N001-B,rate_shock_2022,exact,-0.13743572164505924,-0.12632411053208126,-1.1111611112977982,-0.1414350587881088,-0.13049714018065406,-1.0937918607454744,
K001-F,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2714861609154904,0.2841366743265439,-1.26505134110535,-0.10716309347431852,-0.10890239353547271,0.1739300061154192,H001
K001-F,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19506168869585028,0.24381291693307006,-4.875122823721978,-0.1734345268055233,-0.1714163485257817,-0.20181782797416004,H001
K001-F,N001-B,covid_2020_02_2020_03,exact,-0.07690308068139518,-0.06576479304718141,-1.1138287634213762,-0.16513579981620996,-0.15326423293053493,-1.1871566885675033,
K001-F,N001-B,rate_shock_2022,exact,-0.12838210566501362,-0.12632411053208126,-0.20579951329323665,-0.1322663794441169,-0.13049714018065406,-0.17692392634628407,
K001-A,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.27085308264906605,0.2563351559856295,1.4517926663436542,-0.10806628602052948,-0.09591616010801618,-1.2150125912513299,H001
K001-A,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.2025150380534575,0.18636661607503324,1.6148421978424254,-0.16864148476828045,-0.14938006307464247,-1.9261421693637981,H001
K001-A,N002-B,covid_2020_02_2020_03,exact,-0.07723330965301989,-0.06786183231664111,-0.9371477336378775,-0.1623415347896695,-0.1488173493893029,-1.3524185400366595,
K001-A,N002-B,rate_shock_2022,exact,-0.1372237919004824,-0.1299334791133927,-0.7290312787089692,-0.14085971510527906,-0.1337023814613728,-0.715733364390625,
K001-B,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.25798552205032044,0.2563351559856295,0.16503660646909335,-0.10722212616948756,-0.09591616010801618,-1.1305966061471384,H001
K001-B,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.2044742044224337,0.18636661607503324,1.810758834740045,-0.1681326290995936,-0.14938006307464247,-1.8752566024951123,H001
K001-B,N002-B,covid_2020_02_2020_03,exact,-0.07921507731456001,-0.06786183231664111,-1.1353244997918899,-0.16202588778383187,-0.1488173493893029,-1.3208538394528957,
K001-B,N002-B,rate_shock_2022,exact,-0.12796468673503203,-0.1299334791133927,0.1968792378360673,-0.1311167218224828,-0.1337023814613728,0.25856596388900144,
K001-C,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.27974745783856214,0.2563351559856295,2.3412301852932638,-0.10485097768244833,-0.09591616010801618,-0.8934817574432152,H001
K001-C,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.1876566035709355,0.18636661607503324,0.12899874959022561,-0.17070694072977288,-0.14938006307464247,-2.1326877655130416,H001
K001-C,N002-B,covid_2020_02_2020_03,exact,-0.08047949265370224,-0.06786183231664111,-1.2617660337061132,-0.1675083840473427,-0.1488173493893029,-1.8691034658039785,
K001-C,N002-B,rate_shock_2022,exact,-0.13571317050206277,-0.1299334791133927,-0.5779691388670072,-0.13929528013899983,-0.1337023814613728,-0.5592898677627023,
K001-D,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.27542387387751055,0.2563351559856295,1.9088717891881046,-0.10183591385369306,-0.09591616010801618,-0.5919753745676881,H001
K001-D,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.1751780355953172,0.18636661607503324,-1.1188580479716048,-0.17222053042144192,-0.14938006307464247,-2.2840467346799453,H001
K001-D,N002-B,covid_2020_02_2020_03,exact,-0.08567787011922023,-0.06786183231664111,-1.781603780257912,-0.1744850725865955,-0.1488173493893029,-2.5667723197292602,
K001-D,N002-B,rate_shock_2022,exact,-0.12492230837388607,-0.1299334791133927,0.5011170739506632,-0.12830398359413986,-0.1337023814613728,0.5398397867232951,
K001-E,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2777363581975607,0.2563351559856295,2.1401202211931203,-0.10802498741098188,-0.09591616010801618,-1.2108827302965697,H001
K001-E,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19773414202822948,0.18636661607503324,1.1367525953196234,-0.1713262819577952,-0.14938006307464247,-2.1946218883152735,H001
K001-E,N002-B,covid_2020_02_2020_03,exact,-0.07607735118842662,-0.06786183231664111,-0.821551887178551,-0.1643358582495984,-0.1488173493893029,-1.5518508860295488,
K001-E,N002-B,rate_shock_2022,exact,-0.13743572164505924,-0.1299334791133927,-0.7502242531666536,-0.1414350587881088,-0.1337023814613728,-0.7732677326735993,
K001-F,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2714861609154904,0.2563351559856295,1.5151004929860878,-0.10716309347431852,-0.09591616010801618,-1.1246933366302336,H001
K001-F,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19506168869585028,0.18636661607503324,0.8695072620817035,-0.1734345268055233,-0.14938006307464247,-2.4054463730880826,H001
K001-F,N002-B,covid_2020_02_2020_03,exact,-0.07690308068139518,-0.06786183231664111,-0.9041248364754062,-0.16513579981620996,-0.1488173493893029,-1.631845042690705,
K001-F,N002-B,rate_shock_2022,exact,-0.12838210566501362,-0.1299334791133927,0.15513734483790786,-0.1322663794441169,-0.1337023814613728,0.14360020172559107,
