audit_type,experiment,ticker,quarter,event_count,event_types,sample_rcept_no
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2026Q1,8,buyback_announcement|dividend,20260121000306 | 20260130000357
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2025Q1,8,buyback_announcement|dividend,20250205000299 | 20250304000411
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2025Q2,8,buyback_announcement|dividend,20250414002206 | 20250424000368 | 20250430001042 | 20250630000522
r001_r003_same_ticker_quarter_overlap,R001_R003,175330,2026Q1,8,buyback_announcement|dividend,20260203000406 | 20260205000460
r001_r003_same_ticker_quarter_overlap,R001_R003,003850,2022Q1,7,buyback_announcement|dividend,20220224000048 | 20220224001882 | 20220224002442 | 20220224002691 | 20220224003011
r001_r003_same_ticker_quarter_overlap,R001_R003,316140,2025Q1,7,buyback_announcement|dividend,20250207000515
r001_r003_same_ticker_quarter_overlap,R001_R003,000320,2024Q1,6,buyback_announcement|dividend,20240219001406 | 20240219001498
r001_r003_same_ticker_quarter_overlap,R001_R003,000320,2025Q1,6,buyback_announcement|dividend,20250224003463 | 20250224003524
r001_r003_same_ticker_quarter_overlap,R001_R003,003550,2025Q3,6,buyback_announcement|dividend,20250721800565
r001_r003_same_ticker_quarter_overlap,R001_R003,003850,2023Q1,6,buyback_announcement|dividend,20230331003815 | 20230331003844 | 20230331003868 | 20230331003895 | 20230331003953
r001_r003_same_ticker_quarter_overlap,R001_R003,005440,2025Q3,6,buyback_announcement|dividend,20250805800448
r001_r003_same_ticker_quarter_overlap,R001_R003,009240,2022Q1,6,buyback_announcement|dividend,20220120000275 | 20220208000527 | 20220324000842
r001_r003_same_ticker_quarter_overlap,R001_R003,033780,2025Q3,6,buyback_announcement|dividend,20250807000253 | 20250912000347 | 20250923000289
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2020Q1,6,buyback_announcement|dividend,20200131800368
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2024Q4,6,buyback_announcement|dividend,20241025000162 | 20241028000193
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2025Q1,6,buyback_announcement|dividend,20250205000137 | 20250325000127 | 20250327000909
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2023Q1,6,buyback_announcement|dividend,20230207000294 | 20230329001436
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2026Q1,6,buyback_announcement|dividend,20260109000437 | 20260205000367
r001_r003_same_ticker_quarter_overlap,R001_R003,316140,2024Q1,6,buyback_announcement|dividend,20240313001515 | 20240318000613
r001_r003_same_ticker_quarter_overlap,R001_R003,316140,2026Q1,6,buyback_announcement|dividend,20260206001097
r001_r003_same_ticker_quarter_overlap,R001_R003,005930,2026Q1,5,buyback_announcement|dividend,20260107000715 | 20260127000392 | 20260129000003 | 20260312000961 | 20260318001062
r001_r003_same_ticker_quarter_overlap,R001_R003,057050,2026Q1,5,buyback_announcement|dividend,20260211800413
r001_r003_same_ticker_quarter_overlap,R001_R003,000270,2024Q1,4,buyback_announcement|dividend,20240125000291 | 20240315000565
r001_r003_same_ticker_quarter_overlap,R001_R003,000320,2021Q1,4,buyback_announcement|dividend,20210222001956 | 20210222001973
r001_r003_same_ticker_quarter_overlap,R001_R003,000320,2022Q1,4,buyback_announcement|dividend,20220221001904 | 20220221001925
r001_r003_same_ticker_quarter_overlap,R001_R003,000320,2023Q1,4,buyback_announcement|dividend,20230222002075 | 20230222002127
r001_r003_same_ticker_quarter_overlap,R001_R003,000880,2026Q1,4,buyback_announcement|dividend,20260114000081 | 20260320000412
r001_r003_same_ticker_quarter_overlap,R001_R003,001630,2022Q1,4,buyback_announcement|dividend,20220210800977
r001_r003_same_ticker_quarter_overlap,R001_R003,002790,2019Q1,4,buyback_announcement|dividend,20190220000351 | 20190220800158
r001_r003_same_ticker_quarter_overlap,R001_R003,002900,2023Q3,4,buyback_announcement|dividend,20230810000379 | 20230911000387
r001_r003_same_ticker_quarter_overlap,R001_R003,003540,2026Q1,4,buyback_announcement|dividend,20260309001597 | 20260330001737
r001_r003_same_ticker_quarter_overlap,R001_R003,003850,2018Q1,4,buyback_announcement|dividend,20180103000227 | 20180123000268 | 20180212000534 | 20180328001229
r001_r003_same_ticker_quarter_overlap,R001_R003,004990,2023Q1,4,buyback_announcement|dividend,20230208800939
r001_r003_same_ticker_quarter_overlap,R001_R003,005490,2024Q3,4,buyback_announcement|dividend,20240712000097 | 20240801000207
r001_r003_same_ticker_quarter_overlap,R001_R003,005810,2025Q1,4,buyback_announcement|dividend,20250220001982
r001_r003_same_ticker_quarter_overlap,R001_R003,005810,2026Q1,4,buyback_announcement|dividend,20260320001168
r001_r003_same_ticker_quarter_overlap,R001_R003,006120,2021Q1,4,buyback_announcement|dividend,20210319801105
r001_r003_same_ticker_quarter_overlap,R001_R003,006260,2024Q1,4,buyback_announcement|dividend,20240226005402
r001_r003_same_ticker_quarter_overlap,R001_R003,007340,2024Q3,4,buyback_announcement|dividend,20240722000087
r001_r003_same_ticker_quarter_overlap,R001_R003,008490,2018Q1,4,buyback_announcement|dividend,20180104000195 | 20180111000048 | 20180313000439 | 20180314000574
r001_r003_same_ticker_quarter_overlap,R001_R003,028100,2024Q1,4,buyback_announcement|dividend,20240312000825 | 20240325000854
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2020Q3,4,buyback_announcement|dividend,20200828800002
r001_r003_same_ticker_quarter_overlap,R001_R003,034830,2026Q1,4,buyback_announcement|dividend,20260115000365 | 20260115000371 | 20260115000378 | 20260115000385
r001_r003_same_ticker_quarter_overlap,R001_R003,035150,2023Q3,4,buyback_announcement|dividend,20230703000080 | 20230829000263
r001_r003_same_ticker_quarter_overlap,R001_R003,057050,2025Q1,4,buyback_announcement|dividend,20250124000346 | 20250321001131
r001_r003_same_ticker_quarter_overlap,R001_R003,068270,2023Q4,4,buyback_announcement|dividend,20231023000067 | 20231109000017 | 20231109000119 | 20231215000037
r001_r003_same_ticker_quarter_overlap,R001_R003,078520,2026Q1,4,buyback_announcement|dividend,20260211001074 | 20260211001124
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2025Q1,4,buyback_announcement|dividend,20250204000177
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2025Q4,4,buyback_announcement|dividend,20251017000294 | 20251028000206
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2026Q2,4,buyback_announcement|dividend,20260420000380 | 20260424000404
r001_r003_same_ticker_quarter_overlap,R001_R003,090430,2026Q1,4,buyback_announcement|dividend,20260309001389 | 20260330001501
r001_r003_same_ticker_quarter_overlap,R001_R003,094280,2021Q2,4,buyback_announcement|dividend,20210604000385 | 20210604000395
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2024Q1,4,buyback_announcement|dividend,20240207000618
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2026Q2,4,buyback_announcement|dividend,20260409001480 | 20260423000431
r001_r003_same_ticker_quarter_overlap,R001_R003,139130,2023Q4,4,buyback_announcement|dividend,20231115000038
r001_r003_same_ticker_quarter_overlap,R001_R003,139130,2025Q4,4,buyback_announcement|dividend,20251201000787
r001_r003_same_ticker_quarter_overlap,R001_R003,139480,2025Q1,4,buyback_announcement|dividend,20250120000327 | 20250124000370
r001_r003_same_ticker_quarter_overlap,R001_R003,139480,2026Q1,4,buyback_announcement|dividend,20260120000101 | 20260128000192
r001_r003_same_ticker_quarter_overlap,R001_R003,175330,2024Q1,4,buyback_announcement|dividend,20240126000543
r001_r003_same_ticker_quarter_overlap,R001_R003,175330,2025Q3,4,buyback_announcement|dividend,20250715000268 | 20250724000340
r001_r003_same_ticker_quarter_overlap,R001_R003,241560,2023Q1,4,buyback_announcement|dividend,20230302000628 | 20230328000722
r001_r003_same_ticker_quarter_overlap,R001_R003,281820,2025Q1,4,buyback_announcement|dividend,20250131000515 | 20250324000328
r001_r003_same_ticker_quarter_overlap,R001_R003,293480,2020Q1,4,buyback_announcement|dividend,20200108000191 | 20200128000066 | 20200205000100 | 20200218001181
r001_r003_same_ticker_quarter_overlap,R001_R003,402340,2025Q1,4,buyback_announcement|dividend,20250225001201 | 20250327000754
r001_r003_same_ticker_quarter_overlap,R001_R003,402340,2026Q1,4,buyback_announcement|dividend,20260219002328 | 20260325000832
r001_r003_same_ticker_quarter_overlap,R001_R003,000210,2023Q1,3,buyback_announcement|dividend,20230323800685
r001_r003_same_ticker_quarter_overlap,R001_R003,001530,2021Q1,3,buyback_announcement|dividend,20210304000390 | 20210308000469 | 20210318000952
r001_r003_same_ticker_quarter_overlap,R001_R003,001530,2023Q1,3,buyback_announcement|dividend,20230303000588 | 20230303000594 | 20230303000606
r001_r003_same_ticker_quarter_overlap,R001_R003,001530,2024Q1,3,buyback_announcement|dividend,20240304000425 | 20240308000646 | 20240319000622
r001_r003_same_ticker_quarter_overlap,R001_R003,003090,2020Q1,3,buyback_announcement|dividend,20200302000125
r001_r003_same_ticker_quarter_overlap,R001_R003,003550,2024Q3,3,buyback_announcement|dividend,20240829001665
r001_r003_same_ticker_quarter_overlap,R001_R003,003850,2021Q1,3,buyback_announcement|dividend,20210225003428 | 20210225003452 | 20210225003483
r001_r003_same_ticker_quarter_overlap,R001_R003,005380,2025Q1,3,buyback_announcement|dividend,20250218001439
r001_r003_same_ticker_quarter_overlap,R001_R003,005830,2020Q1,3,buyback_announcement|dividend,20200130000309 | 20200319000687 | 20200319000914
r001_r003_same_ticker_quarter_overlap,R001_R003,008930,2020Q1,3,buyback_announcement|dividend,20200326801279
r001_r003_same_ticker_quarter_overlap,R001_R003,008930,2024Q1,3,buyback_announcement|dividend,20240126000420
r001_r003_same_ticker_quarter_overlap,R001_R003,017800,2020Q1,3,buyback_announcement|dividend,20200227004092 | 20200324000944 | 20200325000442
r001_r003_same_ticker_quarter_overlap,R001_R003,024720,2023Q4,3,buyback_announcement|dividend,20231122000054
r001_r003_same_ticker_quarter_overlap,R001_R003,030200,2025Q1,3,buyback_announcement|dividend,20250213000806
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2018Q2,3,buyback_announcement|dividend,20180430800790
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2022Q3,3,buyback_announcement|dividend,20220830001411
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2023Q1,3,buyback_announcement|dividend,20230302000564
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2023Q3,3,buyback_announcement|dividend,20230727800007
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2024Q1,3,buyback_announcement|dividend,20240126800073
r001_r003_same_ticker_quarter_overlap,R001_R003,053690,2020Q1,3,buyback_announcement|dividend,20200220000804 | 20200304000660 | 20200319000140
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2020Q1,3,buyback_announcement|dividend,20200326001234
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2022Q1,3,buyback_announcement|dividend,20220324000044
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2023Q1,3,buyback_announcement|dividend,20230209000456
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2023Q3,3,buyback_announcement|dividend,20230817000200
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2024Q1,3,buyback_announcement|dividend,20240131000244
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2024Q3,3,buyback_announcement|dividend,20240807000261
r001_r003_same_ticker_quarter_overlap,R001_R003,094280,2025Q3,3,buyback_announcement|dividend,20250908000242 | 20250908000244 | 20250912000392
r001_r003_same_ticker_quarter_overlap,R001_R003,096760,2019Q1,3,buyback_announcement|dividend,20190220800596
r001_r003_same_ticker_quarter_overlap,R001_R003,096770,2018Q3,3,buyback_announcement|dividend,20180803000357
r001_r003_same_ticker_quarter_overlap,R001_R003,096770,2020Q1,3,buyback_announcement|dividend,20200131000207
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2024Q3,3,buyback_announcement|dividend,20240723000179 | 20240731000479 | 20240807000277
r001_r003_same_ticker_quarter_overlap,R001_R003,139130,2025Q1,3,buyback_announcement|dividend,20250207000625
r001_r003_same_ticker_quarter_overlap,R001_R003,139130,2026Q1,3,buyback_announcement|dividend,20260206001985
r001_r003_same_ticker_quarter_overlap,R001_R003,175330,2023Q3,3,buyback_announcement|dividend,20230726000206
r001_r003_same_ticker_quarter_overlap,R001_R003,267250,2020Q1,3,buyback_announcement|dividend,20200206000137
r001_r003_same_ticker_quarter_overlap,R001_R003,000220,2020Q1,2,buyback_announcement|dividend,20200313000816 | 20200326000932
r001_r003_same_ticker_quarter_overlap,R001_R003,000240,2020Q1,2,buyback_announcement|dividend,20200323800717
r001_r003_same_ticker_quarter_overlap,R001_R003,000270,2023Q1,2,buyback_announcement|dividend,20230127000327 | 20230316001200
r001_r003_same_ticker_quarter_overlap,R001_R003,000270,2025Q1,2,buyback_announcement|dividend,20250314001155
r001_r003_same_ticker_quarter_overlap,R001_R003,000640,2020Q1,2,buyback_announcement|dividend,20200320000722
r001_r003_same_ticker_quarter_overlap,R001_R003,001060,2019Q1,2,buyback_announcement|dividend,20190220001028 | 20190308000318
r001_r003_same_ticker_quarter_overlap,R001_R003,001060,2025Q1,2,buyback_announcement|dividend,20250319000502 | 20250324000615
r001_r003_same_ticker_quarter_overlap,R001_R003,001430,2022Q1,2,buyback_announcement|dividend,20220210000321 | 20220329000684
r001_r003_same_ticker_quarter_overlap,R001_R003,001500,2025Q1,2,buyback_announcement|dividend,20250327001273
r001_r003_same_ticker_quarter_overlap,R001_R003,001510,2020Q1,2,buyback_announcement|dividend,20200304000793 | 20200330002149
r001_r003_same_ticker_quarter_overlap,R001_R003,002310,2025Q3,2,buyback_announcement|dividend,20250707000211 | 20250709000310
r001_r003_same_ticker_quarter_overlap,R001_R003,002900,2025Q1,2,buyback_announcement|dividend,20250210000448
r001_r003_same_ticker_quarter_overlap,R001_R003,002900,2025Q3,2,buyback_announcement|dividend,20250722000004
r001_r003_same_ticker_quarter_overlap,R001_R003,003090,2024Q1,2,buyback_announcement|dividend,20240131000404
r001_r003_same_ticker_quarter_overlap,R001_R003,003610,2021Q4,2,buyback_announcement|dividend,20211111000138 | 20211130001474
r001_r003_same_ticker_quarter_overlap,R001_R003,003850,2019Q1,2,buyback_announcement|dividend,20190103000200 | 20190320000488
r001_r003_same_ticker_quarter_overlap,R001_R003,003850,2020Q1,2,buyback_announcement|dividend,20200102000360 | 20200227005421
r001_r003_same_ticker_quarter_overlap,R001_R003,004090,2018Q1,2,buyback_announcement|dividend,20180123000059 | 20180313000207
r001_r003_same_ticker_quarter_overlap,R001_R003,005380,2026Q1,2,buyback_announcement|dividend,20260129000336
r001_r003_same_ticker_quarter_overlap,R001_R003,005380,2026Q2,2,buyback_announcement|dividend,20260423000276
r001_r003_same_ticker_quarter_overlap,R001_R003,005490,2020Q2,2,buyback_announcement|dividend,20200410002632
r001_r003_same_ticker_quarter_overlap,R001_R003,005490,2021Q2,2,buyback_announcement|dividend,20210412002171
r001_r003_same_ticker_quarter_overlap,R001_R003,005810,2024Q1,2,buyback_announcement|dividend,20240119000295
r001_r003_same_ticker_quarter_overlap,R001_R003,005930,2018Q1,2,buyback_announcement|dividend,20180130000294
r001_r003_same_ticker_quarter_overlap,R001_R003,005930,2025Q1,2,buyback_announcement|dividend,20250217001961 | 20250218000019
r001_r003_same_ticker_quarter_overlap,R001_R003,005940,2024Q1,2,buyback_announcement|dividend,20240312000001
r001_r003_same_ticker_quarter_overlap,R001_R003,005940,2025Q1,2,buyback_announcement|dividend,20250306000734
r001_r003_same_ticker_quarter_overlap,R001_R003,006060,2021Q1,2,buyback_announcement|dividend,20210118000287 | 20210225002991
r001_r003_same_ticker_quarter_overlap,R001_R003,006800,2021Q1,2,buyback_announcement|dividend,20210128000357 | 20210330001240
r001_r003_same_ticker_quarter_overlap,R001_R003,006800,2024Q1,2,buyback_announcement|dividend,20240125000187
r001_r003_same_ticker_quarter_overlap,R001_R003,006800,2026Q1,2,buyback_announcement|dividend,20260126000516
r001_r003_same_ticker_quarter_overlap,R001_R003,006880,2022Q1,2,buyback_announcement|dividend,20220314000404
r001_r003_same_ticker_quarter_overlap,R001_R003,006880,2024Q2,2,buyback_announcement|dividend,20240513000709
r001_r003_same_ticker_quarter_overlap,R001_R003,007340,2025Q1,2,buyback_announcement|dividend,20250122000268
r001_r003_same_ticker_quarter_overlap,R001_R003,007690,2023Q1,2,buyback_announcement|dividend,20230209000323 | 20230331002090
r001_r003_same_ticker_quarter_overlap,R001_R003,007700,2022Q1,2,buyback_announcement|dividend,20220315800438
r001_r003_same_ticker_quarter_overlap,R001_R003,007700,2024Q1,2,buyback_announcement|dividend,20240207800681
r001_r003_same_ticker_quarter_overlap,R001_R003,008060,2019Q1,2,buyback_announcement|dividend,20190222001766 | 20190226001940
r001_r003_same_ticker_quarter_overlap,R001_R003,008930,2023Q4,2,buyback_announcement|dividend,20231024000124
r001_r003_same_ticker_quarter_overlap,R001_R003,009240,2022Q2,2,buyback_announcement|dividend,20220506000459 | 20220512000854
r001_r003_same_ticker_quarter_overlap,R001_R003,009290,2025Q1,2,buyback_announcement|dividend,20250116000260
r001_r003_same_ticker_quarter_overlap,R001_R003,009460,2018Q1,2,buyback_announcement|dividend,20180122000070 | 20180314000699
r001_r003_same_ticker_quarter_overlap,R001_R003,010060,2024Q1,2,buyback_announcement|dividend,20240329003378
r001_r003_same_ticker_quarter_overlap,R001_R003,010060,2024Q4,2,buyback_announcement|dividend,20241121000269
r001_r003_same_ticker_quarter_overlap,R001_R003,010060,2025Q1,2,buyback_announcement|dividend,20250205000494
r001_r003_same_ticker_quarter_overlap,R001_R003,010060,2026Q1,2,buyback_announcement|dividend,20260209800992 | 20260211000644
r001_r003_same_ticker_quarter_overlap,R001_R003,012330,2024Q1,2,buyback_announcement|dividend,20240216001385
r001_r003_same_ticker_quarter_overlap,R001_R003,012330,2025Q1,2,buyback_announcement|dividend,20250213001638
r001_r003_same_ticker_quarter_overlap,R001_R003,012330,2025Q3,2,buyback_announcement|dividend,20250725000051
r001_r003_same_ticker_quarter_overlap,R001_R003,012510,2018Q1,2,buyback_announcement|dividend,20180208000355 | 20180323000433
r001_r003_same_ticker_quarter_overlap,R001_R003,012610,2025Q1,2,buyback_announcement|dividend,20250110000191 | 20250228002281
r001_r003_same_ticker_quarter_overlap,R001_R003,012630,2020Q1,2,buyback_announcement|dividend,20200228005287
r001_r003_same_ticker_quarter_overlap,R001_R003,013890,2024Q1,2,buyback_announcement|dividend,20240206000302 | 20240329002855
r001_r003_same_ticker_quarter_overlap,R001_R003,016880,2020Q2,2,buyback_announcement|dividend,20200623800293
r001_r003_same_ticker_quarter_overlap,R001_R003,017370,2023Q1,2,buyback_announcement|dividend,20230203000178 | 20230227006433
r001_r003_same_ticker_quarter_overlap,R001_R003,017800,2024Q1,2,buyback_announcement|dividend,20240105000453 | 20240321001626
r001_r003_same_ticker_quarter_overlap,R001_R003,017810,2019Q1,2,buyback_announcement|dividend,20190326800821
r001_r003_same_ticker_quarter_overlap,R001_R003,017810,2021Q1,2,buyback_announcement|dividend,20210226002190
r001_r003_same_ticker_quarter_overlap,R001_R003,018880,2020Q1,2,buyback_announcement|dividend,20200320000253
r001_r003_same_ticker_quarter_overlap,R001_R003,021240,2018Q1,2,buyback_announcement|dividend,20180202000351
r001_r003_same_ticker_quarter_overlap,R001_R003,021240,2026Q1,2,buyback_announcement|dividend,20260206000002
r001_r003_same_ticker_quarter_overlap,R001_R003,024720,2023Q1,2,buyback_announcement|dividend,20230228006473
r001_r003_same_ticker_quarter_overlap,R001_R003,024720,2024Q2,2,buyback_announcement|dividend,20240607000376
r001_r003_same_ticker_quarter_overlap,R001_R003,030200,2024Q1,2,buyback_announcement|dividend,20240208000001 | 20240315000185
r001_r003_same_ticker_quarter_overlap,R001_R003,030200,2025Q3,2,buyback_announcement|dividend,20250813000724
r001_r003_same_ticker_quarter_overlap,R001_R003,030200,2026Q1,2,buyback_announcement|dividend,20260210000397
r001_r003_same_ticker_quarter_overlap,R001_R003,030210,2021Q1,2,buyback_announcement|dividend,20210308000651 | 20210325000255
r001_r003_same_ticker_quarter_overlap,R001_R003,030210,2022Q1,2,buyback_announcement|dividend,20220324000488 | 20220329000653
r001_r003_same_ticker_quarter_overlap,R001_R003,032640,2025Q3,2,buyback_announcement|dividend,20250721000270
r001_r003_same_ticker_quarter_overlap,R001_R003,032640,2026Q1,2,buyback_announcement|dividend,20260210000941
r001_r003_same_ticker_quarter_overlap,R001_R003,033780,2023Q3,2,buyback_announcement|dividend,20230803000327 | 20230926000630
r001_r003_same_ticker_quarter_overlap,R001_R003,034310,2023Q1,2,buyback_announcement|dividend,20230104000469 | 20230223001828
r001_r003_same_ticker_quarter_overlap,R001_R003,034730,2021Q2,2,buyback_announcement|dividend,20210429800247
r001_r003_same_ticker_quarter_overlap,R001_R003,035250,2026Q1,2,buyback_announcement|dividend,20260204000307
r001_r003_same_ticker_quarter_overlap,R001_R003,035420,2018Q1,2,buyback_announcement|dividend,20180125000002 | 20180202000335
r001_r003_same_ticker_quarter_overlap,R001_R003,035420,2019Q1,2,buyback_announcement|dividend,20190131000001 | 20190218000882
r001_r003_same_ticker_quarter_overlap,R001_R003,035420,2020Q1,2,buyback_announcement|dividend,20200130000001 | 20200227005117
r001_r003_same_ticker_quarter_overlap,R001_R003,039130,2025Q4,2,buyback_announcement|dividend,20251202000219
r001_r003_same_ticker_quarter_overlap,R001_R003,042700,2018Q1,2,buyback_announcement|dividend,20180319000057 | 20180327000534
r001_r003_same_ticker_quarter_overlap,R001_R003,042700,2025Q1,2,buyback_announcement|dividend,20250122000503 | 20250324000703
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2022Q4,2,buyback_announcement|dividend,20221006000204 | 20221118000482
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2023Q2,2,buyback_announcement|dividend,20230427000308 | 20230616000035
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2023Q3,2,buyback_announcement|dividend,20230727000152 | 20230831000164
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2023Q4,2,buyback_announcement|dividend,20231025000118 | 20231227000033
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2025Q2,2,buyback_announcement|dividend,20250428000556 | 20250623000361
r001_r003_same_ticker_quarter_overlap,R001_R003,064960,2025Q1,2,buyback_announcement|dividend,20250228005618
r001_r003_same_ticker_quarter_overlap,R001_R003,066570,2026Q1,2,buyback_announcement|dividend,20260129000359
r001_r003_same_ticker_quarter_overlap,R001_R003,068270,2025Q4,2,buyback_announcement|dividend,20251017000365
r001_r003_same_ticker_quarter_overlap,R001_R003,069260,2019Q1,2,buyback_announcement|dividend,20190322000698 | 20190325001043
r001_r003_same_ticker_quarter_overlap,R001_R003,069960,2021Q1,2,buyback_announcement|dividend,20210204000427 | 20210325000444
r001_r003_same_ticker_quarter_overlap,R001_R003,069960,2025Q3,2,buyback_announcement|dividend,20250725000720
r001_r003_same_ticker_quarter_overlap,R001_R003,069960,2026Q1,2,buyback_announcement|dividend,20260211000385
r001_r003_same_ticker_quarter_overlap,R001_R003,075580,2020Q1,2,buyback_announcement|dividend,20200203000317 | 20200319000567
r001_r003_same_ticker_quarter_overlap,R001_R003,079550,2020Q1,2,buyback_announcement|dividend,20200220000012 | 20200327001575
r001_r003_same_ticker_quarter_overlap,R001_R003,081660,2020Q1,2,buyback_announcement|dividend,20200227003388 | 20200323000347
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2020Q1,2,buyback_announcement|dividend,20200206000171 | 20200324000134
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2021Q1,2,buyback_announcement|dividend,20210204000164 | 20210323000501
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2022Q1,2,buyback_announcement|dividend,20220204000085 | 20220325000036
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2023Q1,2,buyback_announcement|dividend,20230207000059 | 20230327000389
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2024Q1,2,buyback_announcement|dividend,20240207000357 | 20240327000263
r001_r003_same_ticker_quarter_overlap,R001_R003,083420,2025Q3,2,buyback_announcement|dividend,20250909000171
r001_r003_same_ticker_quarter_overlap,R001_R003,084010,2022Q1,2,buyback_announcement|dividend,20220125000152 | 20220221001667
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2020Q1,2,buyback_announcement|dividend,20200120000254
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2025Q2,2,buyback_announcement|dividend,20250512000462
r001_r003_same_ticker_quarter_overlap,R001_R003,090460,2024Q4,2,buyback_announcement|dividend,20241212000169
r001_r003_same_ticker_quarter_overlap,R001_R003,094280,2021Q1,2,buyback_announcement|dividend,20210318000918
r001_r003_same_ticker_quarter_overlap,R001_R003,094280,2021Q3,2,buyback_announcement|dividend,20210917000257
r001_r003_same_ticker_quarter_overlap,R001_R003,094280,2025Q2,2,buyback_announcement|dividend,20250604000271 | 20250617000297
r001_r003_same_ticker_quarter_overlap,R001_R003,095570,2021Q1,2,buyback_announcement|dividend,20210127000296 | 20210209000782
r001_r003_same_ticker_quarter_overlap,R001_R003,095720,2021Q3,2,buyback_announcement|dividend,20210826000109 | 20210906000328
r001_r003_same_ticker_quarter_overlap,R001_R003,100840,2021Q1,2,buyback_announcement|dividend,20210302002957 | 20210319000771
r001_r003_same_ticker_quarter_overlap,R001_R003,105560,2025Q3,2,buyback_announcement|dividend,20250724000324
