portfolio,label,schedule,band_pp,gross_cagr,net_cagr,net_sharpe,net_mdd,gross_final_nav,net_final_nav,average_tracking_drift_pp,max_component_drift_pp,total_rebalance_events_count_16y,total_tax_paid_krw,capital_gains_tax_krw,dividend_withholding_krw,total_commission_paid_krw,disqualified_drift_gt_20pp
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,0.12998090856055566,0.12442009615095229,1.0962930660808796,-0.1672991337272236,7.389379965963202,6.799152218564722,9.073076213215401,11.308641253839163,5,33032867.343911216,23551916.600135382,9480950.743775833,1183799.2946381893,False
monthly_band_10pp,Monthly + 10pp,monthly,10.0,0.13278956674976805,0.12735773028337927,1.0728984417879837,-0.18611935294971038,7.695798482929739,7.095791666899116,12.952274719334442,12.190978882586823,4,31167616.07032756,21782467.050478797,9385149.019848764,1234938.5736738201,False
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,0.13473926333620057,0.12952348081921228,1.0905101276012352,-0.17808879366022634,7.9154780968263205,7.322222353864821,14.253271945730775,12.722303519351511,2,26254322.71591359,16813138.47459129,9441184.241322301,737790.5252366537,False
monthly_band_15pp,Monthly + 15pp,monthly,15.0,0.13647971181915164,0.13533051370550542,1.0871308282712888,-0.18031383719336913,8.116541673880986,7.963293123120723,19.78585678553766,17.168691943132767,3,43927693.1513477,34284210.9628395,9643482.188508201,1709183.2281781135,False
monthly_band_20pp,Monthly + 20pp,monthly,20.0,0.13796714371066865,0.13663970694909588,1.0529961515654453,-0.20907856076305742,8.292166067751705,8.114925487884747,24.27536875398952,20.385967963409282,1,21929479.678730894,12880116.63865808,9049363.040072814,616415.2299011552,True
annual_band_0pp,Annual + 0pp,annual,0.0,0.12845114055570517,0.12259825001272517,1.1214239517014544,-0.1669256131525506,7.227342107355829,6.621076265147505,5.393897137065954,9.553492141803371,16,26191516.82005229,16957526.79895064,9233990.02110165,1329040.4960426637,False
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,0.12923358930612316,0.12262043802333444,1.1145390222271456,-0.16694912660813543,7.3098000870531905,6.623218436635205,6.222333812541351,9.583791905388821,11,27513822.291976742,18247404.55575501,9266417.736221729,1270485.814839887,False
annual_band_5pp,Annual + 5pp,annual,5.0,0.1288744607974881,0.12301151705744284,1.0920682053743132,-0.17086630768951283,7.271844441816994,6.661082671000265,8.016039955871143,8.661211901013862,6,31902293.01012194,22516965.484428965,9385327.525692979,1084639.2982139043,False
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,0.12952629054369047,0.12419369295436988,1.0913475473168093,-0.1726361051629064,7.340872651552541,6.776780329826857,10.84082544354136,10.206503733369765,4,33346881.611401666,24052966.87298143,9293914.738420237,971483.5543684014,False
annual_band_10pp,Annual + 10pp,annual,10.0,0.1335788965366167,0.13053866185159624,1.0727728032956534,-0.18355757607569056,7.784036410189068,7.430679571954423,15.078563970071896,16.734336326827115,3,38570312.05287267,29113630.10430484,9456681.948567832,1046125.0004677239,False
annual_band_12p5pp,Annual + 12.5pp,annual,12.5,0.13428223845721932,0.1301552116668634,1.0669527177482483,-0.1841215655668006,7.863461353384375,7.389537483563776,16.995542505665956,14.173440862436046,2,30499003.138063204,21051604.404877003,9447398.7331862,835737.4212918365,False
annual_band_15pp,Annual + 15pp,annual,15.0,0.13798659052536366,0.13571314938917323,1.0934374118144714,-0.17559345200685705,8.294485648284498,8.007333042794633,22.511638523545972,17.799535294203174,1,20917540.493689366,11750003.150005287,9167537.34368408,598459.018956041,True
annual_band_20pp,Annual + 20pp,annual,20.0,0.13681636184104962,0.13421646506254548,1.0267470106942822,-0.20907856076305742,8.155982172855857,7.83636175681339,24.813019823917823,23.42450403000552,1,25362826.208653037,15682579.352669327,9680246.85598371,677939.7706086447,True
