portfolio,label,schedule,band_pp,stress,metric,value,start_date,end_date,peak_date,trough_date
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,2020_covid_daily_mdd,daily_mdd,-0.1757114600406351,2020-02-01,2020-04-30,2020-02-20,2020-03-20
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,2022_krw_return,calendar_year_return,-0.1542165355536822,2022-01-01,2022-12-31,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.12137442182572866,2010-01-04,2026-05-18,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,subperiod_2010_2017,cagr,0.09206438427188779,2010-01-01,2017-12-31,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,subperiod_2010_2017,sharpe,0.936740611632013,2010-01-01,2017-12-31,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,subperiod_2018_2026,cagr,0.16724406082947585,2018-01-01,2026-12-31,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,subperiod_2018_2026,sharpe,1.2278471153402688,2018-01-01,2026-12-31,,
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,subperiod_2018_2026,max_drawdown,-0.18641256963997754,2018-01-01,2026-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,2020_covid_daily_mdd,daily_mdd,-0.16976402617848174,2020-02-01,2020-04-30,2020-02-20,2020-03-19
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,2022_krw_return,calendar_year_return,-0.17392645113581962,2022-01-01,2022-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.12809740765082678,2010-01-04,2026-05-18,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,subperiod_2010_2017,cagr,0.09660895700639838,2010-01-01,2017-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,subperiod_2010_2017,sharpe,0.9793830371729435,2010-01-01,2017-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,subperiod_2018_2026,cagr,0.17053911137910704,2018-01-01,2026-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,subperiod_2018_2026,sharpe,1.1617065439393446,2018-01-01,2026-12-31,,
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,subperiod_2018_2026,max_drawdown,-0.17987463709206386,2018-01-01,2026-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,2020_covid_daily_mdd,daily_mdd,-0.20907856076305742,2020-02-01,2020-04-30,2020-02-20,2020-03-16
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,2022_krw_return,calendar_year_return,-0.16788975570797415,2022-01-01,2022-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.12759057289906672,2010-01-04,2026-05-18,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,subperiod_2010_2017,cagr,0.09660895700639838,2010-01-01,2017-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,subperiod_2010_2017,sharpe,0.9793830371729435,2010-01-01,2017-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,subperiod_2018_2026,cagr,0.17409983180539434,2018-01-01,2026-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,subperiod_2018_2026,sharpe,1.1207843024503232,2018-01-01,2026-12-31,,
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,subperiod_2018_2026,max_drawdown,-0.20907856076305742,2018-01-01,2026-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020_covid_daily_mdd,daily_mdd,-0.16943923849463938,2020-02-01,2020-04-30,2020-02-20,2020-03-19
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022_krw_return,calendar_year_return,-0.148348100485171,2022-01-01,2022-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11204477999568363,2010-01-04,2026-05-18,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,subperiod_2010_2017,cagr,0.08694420062078967,2010-01-01,2017-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,subperiod_2010_2017,sharpe,0.973854529697044,2010-01-01,2017-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,subperiod_2010_2017,max_drawdown,-0.06637030862860882,2010-01-01,2017-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,subperiod_2018_2026,cagr,0.15372112139583516,2018-01-01,2026-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,subperiod_2018_2026,sharpe,1.2460441917864322,2018-01-01,2026-12-31,,
monthly_band_0pp,Monthly + 0pp,monthly,0.0,subperiod_2018_2026,max_drawdown,-0.16943923849463938,2018-01-01,2026-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2020_covid_daily_mdd,daily_mdd,-0.16816948513925467,2020-02-01,2020-04-30,2020-02-20,2020-03-19
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2022_krw_return,calendar_year_return,-0.1517630527207524,2022-01-01,2022-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11323833415257267,2010-01-04,2026-05-18,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,subperiod_2010_2017,cagr,0.0872370136920968,2010-01-01,2017-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,subperiod_2010_2017,sharpe,0.9661666163923193,2010-01-01,2017-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,subperiod_2010_2017,max_drawdown,-0.06927849638862404,2010-01-01,2017-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,subperiod_2018_2026,cagr,0.1557399095098646,2018-01-01,2026-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,subperiod_2018_2026,sharpe,1.2527866161552845,2018-01-01,2026-12-31,,
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,subperiod_2018_2026,max_drawdown,-0.16816948513925467,2018-01-01,2026-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,2020_covid_daily_mdd,daily_mdd,-0.16423184990290352,2020-02-01,2020-04-30,2020-02-20,2020-03-19
monthly_band_5pp,Monthly + 5pp,monthly,5.0,2022_krw_return,calendar_year_return,-0.15108088336578196,2022-01-01,2022-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11464323472064097,2010-01-04,2026-05-18,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,subperiod_2010_2017,cagr,0.0875108975218768,2010-01-01,2017-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,subperiod_2010_2017,sharpe,0.9424353392741233,2010-01-01,2017-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,subperiod_2018_2026,cagr,0.15798663914738653,2018-01-01,2026-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,subperiod_2018_2026,sharpe,1.2497953518726745,2018-01-01,2026-12-31,,
monthly_band_5pp,Monthly + 5pp,monthly,5.0,subperiod_2018_2026,max_drawdown,-0.16722755475365036,2018-01-01,2026-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,2020_covid_daily_mdd,daily_mdd,-0.1672991337272236,2020-02-01,2020-04-30,2020-02-20,2020-03-19
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,2022_krw_return,calendar_year_return,-0.15684520812338365,2022-01-01,2022-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11549131260755563,2010-01-04,2026-05-18,,
