portfolio,label,schedule,band_pp,date,event_type,pre_nav_krw,pre_check_max_component_abs_drift_pp,commission_krw,capital_gains_tax_krw
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-03-01,band_trigger_rebalance,186108620.8727677,0.7776345210985192,10063.427605803274,68123.95585597072
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-04-03,band_trigger_rebalance,183510539.7242583,0.5967204880942378,5933.2998865291665,8095.468452126589
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-05-01,band_trigger_rebalance,187661247.16760987,0.7285759274529763,7749.25239313392,178759.99194150913
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-06-01,band_trigger_rebalance,190101501.38109764,0.5635882944409143,6475.778151889388,48167.27745070302
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-07-03,band_trigger_rebalance,192763588.2209332,0.5554062899478601,5766.82893593194,5331.58368857637
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-08-01,band_trigger_rebalance,191378050.9312272,0.7501747326493419,8060.79189064281,60106.94582305846
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-09-01,band_trigger_rebalance,191255272.27337107,0.5646690259447973,5570.215759354811,97383.81075518606
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-10-02,band_trigger_rebalance,198543300.46476445,0.9078882439403801,11182.924322740659,45940.38334312765
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-11-01,band_trigger_rebalance,197104050.09549132,0.7384149668894668,8700.303323530294,32905.63167336572
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2017-12-01,band_trigger_rebalance,195291355.48792422,0.46778937292918377,4756.400385094751,47571.65950255694
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-01-02,band_trigger_rebalance,193849640.5164826,0.5706138450822851,5938.915939378012,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-02-01,band_trigger_rebalance,200887632.55407885,1.4606169251028978,14685.841097465438,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-03-01,band_trigger_rebalance,196949581.15654317,0.9461796445103476,11363.386726371666,1502.5171870473866
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-04-02,band_trigger_rebalance,188311176.07752335,0.8948561466366411,10521.293514065239,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-05-01,band_trigger_rebalance,193232980.44989777,0.7789731547919787,12215.344958598838,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-06-01,band_trigger_rebalance,197934163.06511536,0.7426439645809718,9444.53968694402,230397.05407289695
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-07-02,band_trigger_rebalance,205033165.33135888,0.6672757412188007,7736.096107500587,82293.87823541608
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-08-01,band_trigger_rebalance,207448882.83661145,0.5858905185624208,8412.863087805194,249520.10994919916
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-09-03,band_trigger_rebalance,212148297.8686343,0.6077736087698432,8650.116516407468,300308.6752427386
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-10-01,band_trigger_rebalance,210785497.30921674,0.3582816873237804,4775.660977684055,125917.44105691263
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-11-01,band_trigger_rebalance,205546472.61774856,1.1535739603473871,17062.452860410307,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2018-12-03,band_trigger_rebalance,205455927.25240198,0.2565336623364889,2677.974205490947,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-01-02,band_trigger_rebalance,198205947.30717117,2.22357452123319,29250.562621811314,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-02-01,band_trigger_rebalance,206016289.63189924,1.1859207382856063,19746.477571083997,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-03-01,band_trigger_rebalance,211212656.60035184,0.6109054757448773,11430.547507335432,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-04-01,band_trigger_rebalance,217044912.5930429,0.504428101526061,5816.5124321561125,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-05-01,band_trigger_rebalance,224695643.76180917,0.6499039617712143,10154.476395060923,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-06-03,band_trigger_rebalance,221528367.8538262,2.047111767951387,26195.29637259202,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-07-01,band_trigger_rebalance,228513236.76192164,1.2974902637466312,23701.83118842615,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-08-01,band_trigger_rebalance,231408705.09142175,1.3454005387746437,15626.12440332817,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-09-02,band_trigger_rebalance,235011168.96588692,0.9851609128574301,11537.125576498005,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-10-01,band_trigger_rebalance,234503771.08169192,0.7474420748601107,8402.735985515155,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-11-01,band_trigger_rebalance,235167677.57855755,1.0014466610377637,11796.401114716436,115364.5700729994
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2019-12-02,band_trigger_rebalance,239290166.92827702,0.4453242069752561,9570.583892873172,326725.6052200812
