variant,comparator,stress_window,measurement_type,total_return,comparator_total_return,delta_return_vs_comparator_pp,daily_max_drawdown,comparator_daily_max_drawdown,delta_mdd_vs_comparator_pp,proxy_excluded_sleeves
J001-E,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19057453543356906,0.24381291693307006,-5.3238381499501,-0.16432934362371243,-0.1714163485257817,0.708700490206926,H001
J001-E,N001-B,covid_2020_02_2020_03,exact,-0.08024805255880663,-0.06576479304718141,-1.4483259511625213,-0.17081045762303393,-0.15326423293053493,-1.7546224692499002,
J001-E,N001-B,rate_shock_2022,exact,-0.14953235349435667,-0.12632411053208126,-2.3208242962275416,-0.15300175944369176,-0.13049714018065406,-2.2504619263037706,
J001-F,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28173177831466534,0.2841366743265439,-0.24048960118785434,-0.12372933001348863,-0.10890239353547271,-1.4826936478015917,H001
J001-F,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18034252659434946,0.24381291693307006,-6.3470390338720595,-0.15950774202522544,-0.1714163485257817,1.1908606500556251,H001
J001-F,N001-B,covid_2020_02_2020_03,exact,-0.08527950488008296,-0.06576479304718141,-1.9514711832901543,-0.17828798389767686,-0.15326423293053493,-2.5023750967141933,
J001-F,N001-B,rate_shock_2022,exact,-0.15272706433456695,-0.12632411053208126,-2.6402953802485696,-0.15556671014500711,-0.13049714018065406,-2.5069569964353056,
J001-A,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265432,0.2563351559856295,2.780151834091371,-0.10890239353547293,-0.09591616010801618,-1.298623342745675,H001;VWO
J001-A,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19594150856072723,0.18636661607503324,0.9574892485693987,-0.1702216452391806,-0.14938006307464247,-2.084158216453813,H001
J001-A,N002-B,covid_2020_02_2020_03,exact,-0.08060745489777488,-0.06786183231664111,-1.2745622581133764,-0.1682787264581429,-0.1488173493893029,-1.9461377068839991,
J001-A,N002-B,rate_shock_2022,exact,-0.14591471448317472,-0.1299334791133927,-1.598123536978202,-0.14977653465779672,-0.1337023814613728,-1.6074153196423913,
J001-B,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265439,0.2563351559856295,2.7801518340914377,-0.10890239353547271,-0.09591616010801618,-1.2986233427456528,H001;VWO
J001-B,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19088096355744422,0.18636661607503324,0.4514347482410974,-0.17127384857138894,-0.14938006307464247,-2.1893785496746476,H001
J001-B,N002-B,covid_2020_02_2020_03,exact,-0.08599599529745006,-0.06786183231664111,-1.8134162980808943,-0.17251188763261405,-0.1488173493893029,-2.3694538243311136,
J001-B,N002-B,rate_shock_2022,exact,-0.14541922899112836,-0.1299334791133927,-1.5485749877735655,-0.14903077514109708,-0.1337023814613728,-1.5328393679724273,
J001-C,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2812550941404499,0.2563351559856295,2.491993815482041,-0.10784271863479844,-0.09591616010801618,-1.192655852678226,H001
J001-C,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18400324666792756,0.18636661607503324,-0.23633694071056865,-0.1696031366315004,-0.14938006307464247,-2.022307355685793,H001
J001-C,N002-B,covid_2020_02_2020_03,exact,-0.07809591930520665,-0.06786183231664111,-1.0234086988565538,-0.16469416121625713,-0.1488173493893029,-1.5876811826954218,
J001-C,N002-B,rate_shock_2022,exact,-0.14555386750519617,-0.1299334791133927,-1.5620388391803464,-0.14966484890046672,-0.1337023814613728,-1.5962467439093908,
J001-D,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2782215420792271,0.2563351559856295,2.188638609359761,-0.10678428760514436,-0.09591616010801618,-1.0868127497128177,H001
J001-D,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.16801321784295897,0.18636661607503324,-1.835339823207427,-0.17003660534441323,-0.14938006307464247,-2.065654226977076,H001
J001-D,N002-B,covid_2020_02_2020_03,exact,-0.08094748890964665,-0.06786183231664111,-1.3085656593005535,-0.1653164852149327,-0.1488173493893029,-1.6499135825629785,
J001-D,N002-B,rate_shock_2022,exact,-0.14469437216111325,-0.1299334791133927,-1.4760893047720547,-0.148803773256457,-0.1337023814613728,-1.5101391795084185,
J001-E,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28314865483274754,0.2563351559856295,2.6813498847118034,-0.11644373087844762,-0.09591616010801618,-2.0527570770431436,H001
J001-E,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19057453543356906,0.18636661607503324,0.42079193585358166,-0.16432934362371243,-0.14938006307464247,-1.4949280549069965,H001
J001-E,N002-B,covid_2020_02_2020_03,exact,-0.08024805255880663,-0.06786183231664111,-1.2386220242165513,-0.17081045762303393,-0.1488173493893029,-2.199310823373102,
J001-E,N002-B,rate_shock_2022,exact,-0.14953235349435667,-0.1299334791133927,-1.959887438096397,-0.15300175944369176,-0.1337023814613728,-1.9299377982318955,
J001-F,N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28173177831466534,0.2563351559856295,2.5396622329035834,-0.12372933001348863,-0.09591616010801618,-2.7813169905472446,H001
J001-F,N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18034252659434946,0.18636661607503324,-0.6024089480683781,-0.15950774202522544,-0.14938006307464247,-1.0127678950582975,H001
J001-F,N002-B,covid_2020_02_2020_03,exact,-0.08527950488008296,-0.06786183231664111,-1.7417672563441844,-0.17828798389767686,-0.1488173493893029,-2.947063450837395,
J001-F,N002-B,rate_shock_2022,exact,-0.15272706433456695,-0.1299334791133927,-2.279358522117425,-0.15556671014500711,-0.1337023814613728,-2.1864328683634304,
J001-A,K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265432,0.25798552205032044,2.6151152276222778,-0.10890239353547293,-0.10722212616948756,-0.16802673659853662,H001;VWO
J001-A,K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19594150856072723,0.2044742044224337,-0.8532695861706463,-0.1702216452391806,-0.1681326290995936,-0.20890161395870077,H001
J001-A,K001-B,covid_2020_02_2020_03,exact,-0.08060745489777488,-0.07921507731456001,-0.13923775832148655,-0.1682787264581429,-0.16202588778383187,-0.6252838674311034,
J001-A,K001-B,rate_shock_2022,exact,-0.14591471448317472,-0.12796468673503203,-1.7950027748142694,-0.14977653465779672,-0.1311167218224828,-1.8659812835313927,
J001-B,K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265439,0.25798552205032044,2.6151152276223444,-0.10890239353547271,-0.10722212616948756,-0.16802673659851441,H001;VWO
J001-B,K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19088096355744422,0.2044742044224337,-1.3593240864989475,-0.17127384857138894,-0.1681326290995936,-0.31412194717953534,H001
J001-B,K001-B,covid_2020_02_2020_03,exact,-0.08599599529745006,-0.07921507731456001,-0.6780917982890045,-0.17251188763261405,-0.16202588778383187,-1.048599984878218,
J001-B,K001-B,rate_shock_2022,exact,-0.14541922899112836,-0.12796468673503203,-1.7454542256096328,-0.14903077514109708,-0.1311167218224828,-1.7914053318614287,
J001-C,K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2812550941404499,0.25798552205032044,2.3269572090129476,-0.10784271863479844,-0.10722212616948756,-0.06205924653108763,H001
J001-C,K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18400324666792756,0.2044742044224337,-2.0470957754506136,-0.1696031366315004,-0.1681326290995936,-0.14705075319068062,H001
J001-C,K001-B,covid_2020_02_2020_03,exact,-0.07809591930520665,-0.07921507731456001,0.11191580093533604,-0.16469416121625713,-0.16202588778383187,-0.2668273432425261,
J001-C,K001-B,rate_shock_2022,exact,-0.14555386750519617,-0.12796468673503203,-1.7589180770164137,-0.14966484890046672,-0.1311167218224828,-1.8548127077983922,
J001-D,K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2782215420792271,0.25798552205032044,2.0236020028906676,-0.10678428760514436,-0.10722212616948756,0.0437838564343207,H001
J001-D,K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.16801321784295897,0.2044742044224337,-3.646098657947472,-0.17003660534441323,-0.1681326290995936,-0.19039762448196385,H001
J001-D,K001-B,covid_2020_02_2020_03,exact,-0.08094748890964665,-0.07921507731456001,-0.1732411595086636,-0.1653164852149327,-0.16202588778383187,-0.3290597431100828,
J001-D,K001-B,rate_shock_2022,exact,-0.14469437216111325,-0.12796468673503203,-1.672968542608122,-0.148803773256457,-0.1311167218224828,-1.76870514339742,
J001-E,K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28314865483274754,0.25798552205032044,2.51631327824271,-0.11644373087844762,-0.10722212616948756,-0.9221604708960052,H001
J001-E,K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19057453543356906,0.2044742044224337,-1.3899668988864633,-0.16432934362371243,-0.1681326290995936,0.38032854758811574,H001
J001-E,K001-B,covid_2020_02_2020_03,exact,-0.08024805255880663,-0.07921507731456001,-0.10329752442466145,-0.17081045762303393,-0.16202588778383187,-0.8784569839202061,
J001-E,K001-B,rate_shock_2022,exact,-0.14953235349435667,-0.12796468673503203,-2.1567666759324644,-0.15300175944369176,-0.1311167218224828,-2.188503762120897,
J001-F,K001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28173177831466534,0.25798552205032044,2.37462562643449,-0.12372933001348863,-0.10722212616948756,-1.6507203844001062,H001
J001-F,K001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18034252659434946,0.2044742044224337,-2.413167782808423,-0.15950774202522544,-0.1681326290995936,0.8624887074368148,H001
J001-F,K001-B,covid_2020_02_2020_03,exact,-0.08527950488008296,-0.07921507731456001,-0.6064427565522945,-0.17828798389767686,-0.16202588778383187,-1.6262096113844993,
J001-F,K001-B,rate_shock_2022,exact,-0.15272706433456695,-0.12796468673503203,-2.4762377599534924,-0.15556671014500711,-0.1311167218224828,-2.444998832252432,
