year,flow_bucket,ticker,date,panel_foreign,panel_institution,panel_trading_value,year_month,krx_foreign,krx_institution,foreign_diff_pct,institution_diff_pct,foreign_sign_match,institution_sign_match,foreign_within_5pct,institution_within_5pct
2024,1억-10억,092220,2024-01-03,130608352.0,-5673776.0,2938007441.0,2024-01,129198062,-5673309,0.010915721011356965,-8.231527667539349e-05,True,True,True,True
2025,<1억,092780,2025-01-21,-115875.0,32445.0,31562455.0,2025-01,-117935,32715,0.017467248908296942,-0.008253094910591471,True,True,True,True
2020,1억-10억,093230,2020-12-22,226062091.0,6725642.0,21488993530.0,2020-12,230444969,6726038,-0.0190191958584264,-5.887567093733339e-05,True,True,True,True
2023,<1억,093240,2023-04-14,17991564.0,-274342.0,147845799.0,2023-04,17994559,-274467,-0.00016643919976032755,0.00045542815711907076,True,True,True,True
2023,1억-10억,093240,2023-05-22,-159497432.0,2317304.0,31358227656.0,2023-05,-166283939,2282526,0.04081276304141436,0.015236628191748966,True,True,True,True
2018,10억-100억,093370,2018-04-13,1134169400.0,3392650600.0,27787999240.0,2018-04,1144286150,3440606750,-0.008841101502451987,-0.0139382828333985,True,True,True,True
2021,10억-100억,093370,2021-12-10,1382450000.0,-6262047000.0,35809885500.0,2021-12,1393912650,-6287553450,-0.008223363207156489,0.00405665736328651,True,True,True,True
2022,10억-100억,093370,2022-08-18,1118781300.0,-1412223450.0,21288175350.0,2022-08,1104144600,-1409364050,0.013256144168073638,-0.002028858335076732,True,True,True,True
2025,<1억,094280,2025-04-01,-1133760.0,-295250.0,37878900.0,2025-04,-1133380,-294670,-0.0003352803119871535,-0.001968303525978213,True,True,True,True
2020,1억-10억,095570,2020-11-24,113285600.0,34730400.0,815171460.0,2020-11,113620465,34889620,-0.0029472243402629975,-0.004563534942484326,True,True,True,True
2023,1억-10억,095570,2023-03-31,353250.0,-101557020.0,697313580.0,2023-03,496080,-101032175,-0.28791727140783746,-0.005194830260756041,True,True,False,True
2020,1억-10억,095720,2020-09-16,-154222640.0,6226220.0,2965905485.0,2020-09,-155955780,6447425,0.011113021909159122,-0.034309045859393476,True,True,True,True
2019,100억-1000억,096770,2019-04-25,7975058000.0,-13120542500.0,44859121500.0,2019-04,8018654000,-13187896000,-0.005436822688695634,0.005107221045722532,True,True,True,True
2022,>1000억,096770,2022-01-12,12433616000.0,131455971000.0,352687861500.0,2022-01,11569252500,129009342500,0.07471213027807977,0.018964738929663175,True,True,False,True
2025,100억-1000억,096770,2025-04-16,-8918892100.0,-5032562100.0,30390346650.0,2025-04,-9041544350,-5062313400,0.013565409320809227,0.0058770166224793585,True,True,True,True
2025,100억-1000억,096770,2025-07-30,33302731600.0,17176714800.0,102220549700.0,2025-07,33063526000,17231455850,0.007234727475829408,-0.003176809346611302,True,True,True,True
2021,1억-10억,097230,2021-06-01,-252385640.0,2541940.0,2293332870.0,2021-06,-254796870,2637220,0.009463342308718314,-0.036128953974260775,True,True,True,True
2020,10억-100억,097950,2020-08-04,4806530000.0,478910000.0,42031923000.0,2020-08,4761627500,511428000,0.009430074066062496,-0.0635827526064275,True,True,True,False
2020,10억-100억,097950,2020-10-14,-160548000.0,-2500692500.0,15889956000.0,2020-10,-162755500,-2518563500,0.013563289719855858,0.007095711503799686,True,True,True,True
2020,10억-100억,097950,2020-12-18,7144000.0,-5529832000.0,22904658500.0,2020-12,4701000,-5535522000,0.5196766645394597,0.0010279066725775816,True,True,False,True
2023,100억-1000억,097950,2023-01-06,5271360000.0,-9698840000.0,25202477000.0,2023-01,5260487500,-9671286000,0.002066823654651779,-0.002849052339058115,True,True,True,True
2025,10억-100억,097950,2025-06-19,-2031568000.0,-4483682000.0,22788272750.0,2025-06,-1983874500,-4497760250,-0.024040583212294932,0.0031300578993733604,True,True,True,True
2025,100억-1000억,097950,2025-07-10,8010642000.0,-5795454000.0,19998941500.0,2025-07,7982549000,-5794313750,0.003519301917219675,-0.0001967877559270932,True,True,True,True
2019,<1억,099340,2019-10-15,-490600.0,0.0,96730841.0,2019-10,-495000,0,0.008888888888888889,0.0,True,True,True,True
