date,mismatch_type,ticker,tv_rank,trade_value,name
2018-01-23,in_tv_top100_not_actual,068270,2,657130424300.0,셀트리온
2018-01-24,in_actual_not_tv_top100,229640,101,14524183020.0,LS전선아시아
2018-01-24,in_tv_top100_not_actual,068270,1,472314058400.0,셀트리온
2018-01-25,in_actual_not_tv_top100,036460,101,16510984000.0,한국가스공사
2018-01-25,in_tv_top100_not_actual,068270,3,400257884100.0,셀트리온
2018-01-26,in_actual_not_tv_top100,009320,101,15851449260.0,대우부품
2018-01-26,in_tv_top100_not_actual,068270,2,465238409800.0,셀트리온
2018-01-29,in_actual_not_tv_top100,090080,101,18238972040.0,평화산업
2018-01-29,in_tv_top100_not_actual,068270,1,680302000600.0,셀트리온
2018-01-30,in_actual_not_tv_top100,267270,101,18660232500.0,현대건설기계
2018-01-30,in_tv_top100_not_actual,068270,2,593416355300.0,셀트리온
2018-01-31,in_actual_not_tv_top100,088350,101,17956158880.0,한화생명
2018-01-31,in_tv_top100_not_actual,068270,2,439383918800.0,셀트리온
2018-02-01,in_actual_not_tv_top100,003000,101,13402526400.0,부광약품
2018-02-01,in_tv_top100_not_actual,068270,2,580214594600.0,셀트리온
2018-02-02,in_actual_not_tv_top100,030200,101,15191182400.0,KT
2018-02-02,in_tv_top100_not_actual,068270,2,492302795300.0,셀트리온
2018-02-05,in_actual_not_tv_top100,010620,101,16524611500.0,현대미포조선
2018-02-05,in_tv_top100_not_actual,068270,2,403349082600.0,셀트리온
2018-02-06,in_actual_not_tv_top100,010620,101,20400123000.0,현대미포조선
2018-02-06,in_tv_top100_not_actual,068270,2,727896570000.0,셀트리온
2018-02-07,in_actual_not_tv_top100,011790,101,17574424000.0,SKC
2018-02-07,in_tv_top100_not_actual,068270,2,906241050800.0,셀트리온
2018-02-08,in_actual_not_tv_top100,007630,101,14868832100.0,암니스
2018-02-08,in_tv_top100_not_actual,068270,1,2017164537000.0,셀트리온
2019-01-02,in_actual_not_tv_top100,069620,101,10302051000.0,대웅제약
2019-01-02,in_actual_not_tv_top100,014990,102,10199152900.0,인디에프
2019-01-02,in_tv_top100_not_actual,003670,11,71898235600.0,포스코켐텍
2019-01-02,in_tv_top100_not_actual,036420,98,10524863400.0,제이콘텐트리
2019-01-03,in_actual_not_tv_top100,071050,101,10793526000.0,한국금융지주
2019-01-03,in_tv_top100_not_actual,003670,15,62692201200.0,포스코켐텍
2019-01-04,in_actual_not_tv_top100,267270,101,10594135300.0,현대건설기계
2019-01-04,in_tv_top100_not_actual,003670,22,50546495900.0,포스코켐텍
2019-01-07,in_actual_not_tv_top100,033530,102,10323642790.0,세종공업
2019-01-07,in_actual_not_tv_top100,036460,101,10345774700.0,한국가스공사
2019-01-07,in_tv_top100_not_actual,003670,22,45788682300.0,포스코켐텍
2019-01-07,in_tv_top100_not_actual,036420,44,25916759205.0,제이콘텐트리
2019-01-08,in_actual_not_tv_top100,009420,102,9843751750.0,한올바이오파마
2019-01-08,in_actual_not_tv_top100,271560,101,9872639500.0,오리온
2019-01-08,in_tv_top100_not_actual,003670,28,35602150400.0,포스코켐텍
2019-01-08,in_tv_top100_not_actual,036420,85,11200957710.0,제이콘텐트리
2019-01-09,in_actual_not_tv_top100,002100,101,10368865050.0,경농
2019-01-09,in_actual_not_tv_top100,002900,102,9563982250.0,동양물산
2019-01-09,in_actual_not_tv_top100,003230,103,9338247000.0,삼양식품
2019-01-09,in_tv_top100_not_actual,003670,44,27586583500.0,포스코켐텍
2019-01-09,in_tv_top100_not_actual,047050,99,10535102900.0,포스코대우
2019-01-09,in_tv_top100_not_actual,036420,82,14056912780.0,제이콘텐트리
2019-01-10,in_actual_not_tv_top100,005830,101,9913558560.0,DB손해보험
2019-01-10,in_tv_top100_not_actual,003670,35,37121118400.0,포스코켐텍
2019-01-11,in_actual_not_tv_top100,008420,101,11044231095.0,문배철강
2019-01-11,in_tv_top100_not_actual,003670,42,25120574600.0,포스코켐텍
2019-01-14,in_actual_not_tv_top100,267270,101,9772532400.0,현대건설기계
2019-01-14,in_actual_not_tv_top100,009240,102,9725103300.0,한샘
2019-01-14,in_tv_top100_not_actual,003670,63,16926779600.0,포스코켐텍
2019-01-14,in_tv_top100_not_actual,036420,74,12717913460.0,제이콘텐트리
2019-01-15,in_actual_not_tv_top100,039490,101,11353258100.0,키움증권
2019-01-15,in_actual_not_tv_top100,030200,102,11213776600.0,KT
2019-01-15,in_tv_top100_not_actual,003670,54,23260716600.0,포스코켐텍
2019-01-15,in_tv_top100_not_actual,036420,98,11646325020.0,제이콘텐트리
2019-01-16,in_actual_not_tv_top100,000910,101,12509740700.0,유니온
2019-01-16,in_actual_not_tv_top100,007110,102,12456242940.0,일신석재
2019-01-16,in_tv_top100_not_actual,003670,67,19494075700.0,포스코켐텍
2019-01-16,in_tv_top100_not_actual,036420,100,12511209080.0,제이콘텐트리
2019-01-17,in_actual_not_tv_top100,088980,101,11386729890.0,맥쿼리인프라
2019-01-17,in_actual_not_tv_top100,026890,102,11382330250.0,디피씨
2019-01-17,in_tv_top100_not_actual,003670,37,36316563900.0,포스코켐텍
2019-01-17,in_tv_top100_not_actual,036420,57,21395193170.0,제이콘텐트리
2019-01-18,in_actual_not_tv_top100,007070,101,12336627201.0,GS리테일
2019-01-18,in_tv_top100_not_actual,003670,21,51417721800.0,포스코켐텍
2019-01-21,in_actual_not_tv_top100,032560,101,9630705450.0,황금에스티
2019-01-21,in_actual_not_tv_top100,009420,103,9501570500.0,한올바이오파마
2019-01-21,in_actual_not_tv_top100,120110,102,9512027100.0,코오롱인더
2019-01-21,in_tv_top100_not_actual,003670,21,53643475600.0,포스코켐텍
2019-01-21,in_tv_top100_not_actual,047050,96,10175413950.0,포스코대우
2019-01-21,in_tv_top100_not_actual,036420,82,13309835865.0,제이콘텐트리
2019-01-22,in_actual_not_tv_top100,009680,101,9978940450.0,모토닉
2019-01-22,in_tv_top100_not_actual,003670,31,37729103000.0,포스코켐텍
2019-01-23,in_actual_not_tv_top100,030200,101,11711846000.0,KT
2019-01-23,in_tv_top100_not_actual,003670,58,23151752600.0,포스코켐텍
2019-01-24,in_actual_not_tv_top100,006890,101,11868178750.0,태경화학
2019-01-24,in_tv_top100_not_actual,003670,46,27448577400.0,포스코켐텍
2019-01-25,in_actual_not_tv_top100,016360,101,12144555600.0,삼성증권
2019-01-25,in_tv_top100_not_actual,003670,20,58414762500.0,포스코켐텍
2019-01-28,in_actual_not_tv_top100,006370,101,9901226000.0,대구백화점
2019-01-28,in_tv_top100_not_actual,003670,47,27202209900.0,포스코켐텍
2019-01-29,in_actual_not_tv_top100,016360,101,13177376300.0,삼성증권
2019-01-29,in_tv_top100_not_actual,003670,46,32692875400.0,포스코켐텍
2019-01-30,in_actual_not_tv_top100,272450,101,12574427600.0,진에어
2019-01-30,in_tv_top100_not_actual,003670,79,19550412700.0,포스코켐텍
2019-01-31,in_actual_not_tv_top100,007070,101,13206324150.0,GS리테일
2019-01-31,in_tv_top100_not_actual,003670,89,16214473800.0,포스코켐텍
2019-02-01,in_actual_not_tv_top100,004020,101,12611555600.0,현대제철
2019-02-01,in_tv_top100_not_actual,003670,68,22077154800.0,포스코켐텍
2019-02-07,in_actual_not_tv_top100,181710,101,11307810800.0,NHN엔터테인먼트
2019-02-07,in_tv_top100_not_actual,003670,20,60469478500.0,포스코켐텍
2019-02-08,in_actual_not_tv_top100,021240,101,11412587600.0,코웨이
2019-02-08,in_tv_top100_not_actual,003670,28,44091458200.0,포스코켐텍
2019-02-11,in_actual_not_tv_top100,001270,101,10010430750.0,부국증권
2019-02-11,in_tv_top100_not_actual,003670,44,29946208200.0,포스코켐텍
2019-02-12,in_actual_not_tv_top100,042670,101,11494144030.0,두산인프라코어
2019-02-12,in_tv_top100_not_actual,003670,21,49035610300.0,포스코켐텍
2019-02-13,in_actual_not_tv_top100,093370,101,11661235730.0,후성
2019-02-13,in_tv_top100_not_actual,003670,12,77537253900.0,포스코켐텍
2019-02-14,in_actual_not_tv_top100,000120,101,12292897000.0,CJ대한통운
2019-02-14,in_tv_top100_not_actual,003670,47,38111545400.0,포스코켐텍
2019-02-15,in_actual_not_tv_top100,010620,102,10154254300.0,현대미포조선
2019-02-15,in_actual_not_tv_top100,128940,101,10224966500.0,한미약품
2019-02-15,in_tv_top100_not_actual,003670,26,38417589000.0,포스코켐텍
2019-02-15,in_tv_top100_not_actual,036420,60,17961135105.0,제이콘텐트리
2019-02-18,in_actual_not_tv_top100,004000,102,10648223600.0,롯데정밀화학
2019-02-18,in_actual_not_tv_top100,001820,101,10740043400.0,삼화콘덴서
2019-02-18,in_tv_top100_not_actual,003670,39,26875202800.0,포스코켐텍
2019-02-18,in_tv_top100_not_actual,036420,78,13000759140.0,제이콘텐트리
2019-02-19,in_actual_not_tv_top100,042660,101,9410328600.0,대우조선해양
2019-02-19,in_tv_top100_not_actual,003670,41,26101785000.0,포스코켐텍
2019-02-20,in_actual_not_tv_top100,002150,101,12955177300.0,도화엔지니어링
2019-02-20,in_actual_not_tv_top100,004000,102,12512892000.0,롯데정밀화학
2019-02-20,in_tv_top100_not_actual,003670,46,30291888100.0,포스코켐텍
2019-02-20,in_tv_top100_not_actual,036420,62,21936370220.0,제이콘텐트리
2019-02-21,in_actual_not_tv_top100,039490,101,11135723000.0,키움증권
2019-02-21,in_tv_top100_not_actual,003670,44,29996201200.0,포스코켐텍
2019-02-22,in_actual_not_tv_top100,004980,101,9639587400.0,성신양회
2019-02-22,in_tv_top100_not_actual,003670,20,47560607100.0,포스코켐텍
2019-02-25,in_actual_not_tv_top100,000100,101,10489943000.0,유한양행
2019-02-25,in_tv_top100_not_actual,003670,38,28061599600.0,포스코켐텍
2019-02-26,in_actual_not_tv_top100,051600,101,10664166550.0,한전KPS
2019-02-26,in_tv_top100_not_actual,003670,50,22322396200.0,포스코켐텍
2019-02-27,in_actual_not_tv_top100,071050,101,9200305100.0,한국금융지주
2019-02-27,in_tv_top100_not_actual,003670,25,44949104300.0,포스코켐텍
2019-02-28,in_actual_not_tv_top100,294870,102,14397408350.0,HDC현대산업개발
2019-02-28,in_actual_not_tv_top100,006260,101,14434967100.0,LS
2019-02-28,in_tv_top100_not_actual,003670,15,86238847300.0,포스코켐텍
2019-02-28,in_tv_top100_not_actual,036420,63,26579402220.0,제이콘텐트리
2019-03-04,in_actual_not_tv_top100,016360,102,12636297150.0,삼성증권
2019-03-04,in_actual_not_tv_top100,005500,101,13215522050.0,삼진제약
2019-03-04,in_tv_top100_not_actual,003670,40,35070458800.0,포스코켐텍
2019-03-04,in_tv_top100_not_actual,036420,59,22952601780.0,제이콘텐트리
2019-03-05,in_actual_not_tv_top100,000120,101,10565232000.0,CJ대한통운
2019-03-05,in_tv_top100_not_actual,003670,15,52466539000.0,포스코켐텍
2019-03-06,in_actual_not_tv_top100,051600,101,9151482600.0,한전KPS
2019-03-06,in_actual_not_tv_top100,000120,102,9057602000.0,CJ대한통운
2019-03-06,in_tv_top100_not_actual,003670,35,31017545400.0,포스코켐텍
2019-03-06,in_tv_top100_not_actual,036420,49,21789509900.0,제이콘텐트리
2019-03-07,in_actual_not_tv_top100,071840,102,9773585000.0,롯데하이마트
2019-03-07,in_actual_not_tv_top100,003520,101,9782767860.0,영진약품
2019-03-07,in_tv_top100_not_actual,003670,25,34954392000.0,포스코켐텍
2019-03-07,in_tv_top100_not_actual,036420,55,20152243870.0,제이콘텐트리
2019-03-08,in_actual_not_tv_top100,003560,101,9613940730.0,IHQ
2019-03-08,in_actual_not_tv_top100,088350,103,9499448135.0,한화생명
2019-03-08,in_actual_not_tv_top100,035250,102,9509190700.0,강원랜드
2019-03-08,in_tv_top100_not_actual,003670,35,29952853000.0,포스코켐텍
2019-03-08,in_tv_top100_not_actual,192080,61,15652477600.0,더블유게임즈
2019-03-08,in_tv_top100_not_actual,036420,47,22647532490.0,제이콘텐트리
2019-03-11,in_actual_not_tv_top100,004800,103,9097679700.0,효성
2019-03-11,in_actual_not_tv_top100,019170,102,9179068960.0,신풍제약
2019-03-11,in_actual_not_tv_top100,002880,101,9290632280.0,대유에이텍
2019-03-11,in_tv_top100_not_actual,003670,22,35764794600.0,포스코켐텍
2019-03-11,in_tv_top100_not_actual,192080,31,29579552300.0,더블유게임즈
2019-03-11,in_tv_top100_not_actual,036420,45,21552789940.0,제이콘텐트리
2019-03-12,in_actual_not_tv_top100,001820,102,9177904600.0,삼화콘덴서
2019-03-12,in_actual_not_tv_top100,000210,101,9325485600.0,대림산업
2019-03-12,in_tv_top100_not_actual,003670,22,36407000300.0,포스코켐텍
2019-03-12,in_tv_top100_not_actual,036420,46,18724434310.0,제이콘텐트리
2019-03-13,in_actual_not_tv_top100,161890,102,8514236600.0,한국콜마
2019-03-13,in_actual_not_tv_top100,028050,101,8515402100.0,삼성엔지니어링
2019-03-13,in_tv_top100_not_actual,003670,47,23155002600.0,포스코켐텍
2019-03-13,in_tv_top100_not_actual,036420,58,15678970560.0,제이콘텐트리
2019-03-14,in_actual_not_tv_top100,267250,102,11683357000.0,현대로보틱스
2019-03-14,in_actual_not_tv_top100,010620,101,11696608200.0,현대미포조선
2019-03-14,in_tv_top100_not_actual,003670,44,28952582000.0,포스코켐텍
2019-03-14,in_tv_top100_not_actual,036420,67,18218510120.0,제이콘텐트리
2019-03-15,in_actual_not_tv_top100,018880,101,13954324250.0,한온시스템
2019-03-15,in_tv_top100_not_actual,003670,43,31382903700.0,포스코켐텍
2019-03-18,in_actual_not_tv_top100,000100,101,9475721000.0,유한양행
2019-03-18,in_tv_top100_not_actual,003670,34,26639681000.0,포스코켐텍
2019-03-19,in_actual_not_tv_top100,009830,101,8626554300.0,한화케미칼
2019-03-19,in_tv_top100_not_actual,003670,55,15710950000.0,포스코켐텍
2019-03-20,in_actual_not_tv_top100,089590,102,9505647850.0,제주항공
2019-03-20,in_actual_not_tv_top100,024110,101,9624652950.0,기업은행
2019-03-20,in_tv_top100_not_actual,003670,38,21838341900.0,포스코켐텍
2019-03-20,in_tv_top100_not_actual,036420,86,11041657110.0,제이콘텐트리
2019-03-21,in_actual_not_tv_top100,161390,101,10302763900.0,한국타이어
2019-03-21,in_actual_not_tv_top100,012450,102,10224217900.0,한화테크윈
2019-03-21,in_tv_top100_not_actual,003670,11,62398293200.0,포스코켐텍
2019-03-21,in_tv_top100_not_actual,036420,81,13590534650.0,제이콘텐트리
2019-03-22,in_actual_not_tv_top100,024110,101,8992777650.0,기업은행
2019-03-22,in_tv_top100_not_actual,003670,43,23013487100.0,포스코켐텍
2019-03-25,in_actual_not_tv_top100,097950,101,7993577000.0,CJ제일제당
2019-03-25,in_tv_top100_not_actual,003670,18,45198728700.0,포스코켐텍
2019-03-26,in_actual_not_tv_top100,011780,101,7633920800.0,금호석유
2019-03-26,in_tv_top100_not_actual,003670,49,20974081800.0,포스코켐텍
2019-03-27,in_actual_not_tv_top100,010060,101,8372512800.0,OCI
2019-03-27,in_actual_not_tv_top100,000210,102,8141024100.0,대림산업
2019-03-27,in_tv_top100_not_actual,003670,52,21081719600.0,포스코켐텍
2019-03-27,in_tv_top100_not_actual,036420,100,8498213620.0,제이콘텐트리
2019-03-28,in_actual_not_tv_top100,000100,101,8237345500.0,유한양행
2019-03-28,in_tv_top100_not_actual,003670,31,31225060200.0,포스코켐텍
2019-03-29,in_actual_not_tv_top100,267250,101,9042949000.0,현대로보틱스
2019-03-29,in_tv_top100_not_actual,003670,33,37277405300.0,포스코켐텍
2019-04-01,in_actual_not_tv_top100,009070,101,8538483160.0,KCTC
2019-04-01,in_tv_top100_not_actual,003670,36,27119922000.0,포스코켐텍
2019-04-02,in_actual_not_tv_top100,047810,101,8463752200.0,한국항공우주
2019-04-02,in_tv_top100_not_actual,003670,53,17060337600.0,포스코켐텍
2019-04-03,in_actual_not_tv_top100,097950,101,9321108000.0,CJ제일제당
2019-04-03,in_tv_top100_not_actual,003670,49,23423073300.0,포스코켐텍
2019-04-04,in_actual_not_tv_top100,086280,101,8744747000.0,현대글로비스
2019-04-04,in_tv_top100_not_actual,003670,57,15403317400.0,포스코켐텍
2019-04-05,in_actual_not_tv_top100,017900,101,8559824820.0,광전자
2019-04-05,in_tv_top100_not_actual,003670,68,13547935500.0,포스코켐텍
2019-04-08,in_actual_not_tv_top100,032350,101,8089066200.0,롯데관광개발
2019-04-08,in_tv_top100_not_actual,003670,65,14213524100.0,포스코켐텍
2019-04-09,in_actual_not_tv_top100,272450,101,8504298750.0,진에어
2019-04-09,in_actual_not_tv_top100,009240,102,8489657000.0,한샘
2019-04-09,in_tv_top100_not_actual,003670,47,23606673500.0,포스코켐텍
2019-04-09,in_tv_top100_not_actual,036420,94,9164902390.0,제이콘텐트리
2019-04-10,in_actual_not_tv_top100,033180,101,9376457040.0,필룩스
2019-04-10,in_tv_top100_not_actual,003670,63,17916284500.0,포스코켐텍
2019-04-11,in_actual_not_tv_top100,192820,101,10636324500.0,코스맥스
2019-04-11,in_tv_top100_not_actual,003670,71,17636360600.0,포스코켐텍
2019-04-12,in_actual_not_tv_top100,017180,101,10722569670.0,명문제약
2019-04-12,in_tv_top100_not_actual,003670,65,17983942700.0,포스코켐텍
2019-04-15,in_actual_not_tv_top100,120110,101,11357971500.0,코오롱인더
2019-04-15,in_tv_top100_not_actual,036420,46,28513031190.0,제이콘텐트리
2019-04-16,in_actual_not_tv_top100,033180,101,10159964200.0,필룩스
2019-04-16,in_actual_not_tv_top100,000880,102,10155603750.0,한화
2019-04-16,in_tv_top100_not_actual,003670,85,13776805700.0,포스코켐텍
2019-04-16,in_tv_top100_not_actual,036420,55,22538498480.0,제이콘텐트리
2019-04-17,in_actual_not_tv_top100,042700,101,10203319420.0,한미반도체
2019-04-17,in_actual_not_tv_top100,002320,102,9848145450.0,한진
2019-04-17,in_tv_top100_not_actual,003670,47,23309648500.0,포스코켐텍
2019-04-17,in_tv_top100_not_actual,036420,80,13721867250.0,제이콘텐트리
2019-04-18,in_actual_not_tv_top100,000100,101,11404792500.0,유한양행
2019-04-18,in_tv_top100_not_actual,003670,14,82847309400.0,포스코켐텍
2019-04-19,in_actual_not_tv_top100,010130,101,8355522000.0,고려아연
2019-04-19,in_tv_top100_not_actual,003670,40,23053928100.0,포스코켐텍
2019-04-22,in_actual_not_tv_top100,316140,101,8053180550.0,우리금융지주
2019-04-22,in_actual_not_tv_top100,010130,102,8008502000.0,고려아연
2019-04-22,in_tv_top100_not_actual,003670,38,21369239100.0,포스코켐텍
2019-04-22,in_tv_top100_not_actual,036420,31,27727266140.0,제이콘텐트리
2019-04-23,in_actual_not_tv_top100,138250,102,8423614800.0,엔에스쇼핑
2019-04-23,in_actual_not_tv_top100,181710,101,8475931200.0,NHN엔터테인먼트
2019-04-23,in_tv_top100_not_actual,003670,26,41107645600.0,포스코켐텍
2019-04-23,in_tv_top100_not_actual,036420,35,28697678880.0,제이콘텐트리
2019-04-24,in_actual_not_tv_top100,023530,101,10559134000.0,롯데쇼핑
2019-04-24,in_actual_not_tv_top100,161390,102,10232933400.0,한국타이어
2019-04-24,in_tv_top100_not_actual,003670,37,35904671600.0,포스코켐텍
2019-04-24,in_tv_top100_not_actual,036420,42,31271196130.0,제이콘텐트리
2019-04-25,in_actual_not_tv_top100,030000,101,8725541928.0,제일기획
2019-04-25,in_actual_not_tv_top100,161390,102,8594453500.0,한국타이어
2019-04-25,in_tv_top100_not_actual,003670,69,13135032900.0,포스코켐텍
2019-04-25,in_tv_top100_not_actual,036420,61,14225210800.0,제이콘텐트리
2019-04-26,in_actual_not_tv_top100,064350,101,9221685450.0,현대로템
2019-04-26,in_tv_top100_not_actual,003670,78,12107714500.0,포스코켐텍
2019-04-29,in_actual_not_tv_top100,021050,101,8631601420.0,서원
2019-04-29,in_tv_top100_not_actual,036420,83,11278901880.0,제이콘텐트리
2019-04-30,in_actual_not_tv_top100,012510,101,9476197910.0,더존비즈온
2019-04-30,in_tv_top100_not_actual,003670,62,17090289800.0,포스코켐텍
2019-05-02,in_actual_not_tv_top100,298690,101,9903260640.0,에어부산
2019-05-02,in_tv_top100_not_actual,036420,84,12083339350.0,제이콘텐트리
2019-05-03,in_actual_not_tv_top100,000990,101,10028898500.0,DB하이텍
2019-05-03,in_tv_top100_not_actual,003670,74,14736834300.0,포스코켐텍
2019-05-08,in_actual_not_tv_top100,078930,101,8679087700.0,GS
2019-05-08,in_tv_top100_not_actual,003670,93,9962286700.0,포스코켐텍
2019-05-09,in_actual_not_tv_top100,002630,101,16089794680.0,오리엔트바이오
2019-05-09,in_actual_not_tv_top100,064350,102,15839615850.0,현대로템
2019-05-09,in_tv_top100_not_actual,003670,53,36715098500.0,포스코켐텍
2019-05-09,in_tv_top100_not_actual,036420,58,34503044020.0,제이콘텐트리
2019-05-10,in_actual_not_tv_top100,003560,102,12069833500.0,IHQ
2019-05-10,in_actual_not_tv_top100,047810,101,12355427150.0,한국항공우주
2019-05-10,in_tv_top100_not_actual,003670,58,25021737100.0,포스코켐텍
2019-05-10,in_tv_top100_not_actual,036420,59,24934655640.0,제이콘텐트리
2019-05-13,in_actual_not_tv_top100,068290,101,10045452250.0,삼성출판사
2019-05-13,in_actual_not_tv_top100,161890,102,9875327800.0,한국콜마
2019-05-13,in_tv_top100_not_actual,003670,77,14547701800.0,포스코켐텍
2019-05-13,in_tv_top100_not_actual,036420,90,11810762940.0,제이콘텐트리
2019-05-14,in_actual_not_tv_top100,307950,101,11174754600.0,현대오토에버
2019-05-14,in_tv_top100_not_actual,003670,67,16917338400.0,포스코켐텍
2019-05-15,in_actual_not_tv_top100,003560,101,9509234140.0,IHQ
2019-05-15,in_tv_top100_not_actual,003670,65,17092397700.0,포스코켐텍
2019-05-16,in_actual_not_tv_top100,012800,101,11045467595.0,대창
2019-05-16,in_tv_top100_not_actual,003670,88,13055951200.0,포스코켐텍
2019-05-17,in_actual_not_tv_top100,001820,101,9579737800.0,삼화콘덴서
2019-05-17,in_tv_top100_not_actual,003670,79,13084425700.0,포스코켐텍
2019-05-20,in_actual_not_tv_top100,028100,102,8168627350.0,동아지질
2019-05-20,in_actual_not_tv_top100,161890,101,8482431900.0,한국콜마
2019-05-20,in_tv_top100_not_actual,003670,61,14194284500.0,포스코켐텍
2019-05-20,in_tv_top100_not_actual,036420,66,13043119530.0,제이콘텐트리
2019-05-21,in_actual_not_tv_top100,036460,101,9819545750.0,한국가스공사
2019-05-21,in_tv_top100_not_actual,003670,79,11897506700.0,포스코켐텍
2019-05-22,in_actual_not_tv_top100,011280,101,9939231390.0,태림포장
2019-05-22,in_tv_top100_not_actual,003670,64,14465290100.0,포스코켐텍
2019-05-23,in_actual_not_tv_top100,039130,102,9339965500.0,하나투어
2019-05-23,in_actual_not_tv_top100,029780,101,9347050600.0,삼성카드
2019-05-23,in_tv_top100_not_actual,003670,54,18725545700.0,포스코켐텍
2019-05-23,in_tv_top100_not_actual,036420,77,12081807560.0,제이콘텐트리
2019-05-24,in_actual_not_tv_top100,047050,101,8135688650.0,포스코대우
2019-05-24,in_actual_not_tv_top100,128940,102,8033612000.0,한미약품
2019-05-24,in_tv_top100_not_actual,003670,41,24555418600.0,포스코켐텍
2019-05-24,in_tv_top100_not_actual,036420,80,10629646950.0,제이콘텐트리
2019-05-27,in_actual_not_tv_top100,000210,101,7025027000.0,대림산업
2019-05-27,in_actual_not_tv_top100,018260,102,7007695000.0,삼성에스디에스
2019-05-27,in_tv_top100_not_actual,003670,45,18021947700.0,포스코켐텍
2019-05-27,in_tv_top100_not_actual,036420,93,7594596935.0,제이콘텐트리
2019-05-28,in_actual_not_tv_top100,018880,101,13424899300.0,한온시스템
2019-05-28,in_tv_top100_not_actual,003670,23,79131668100.0,포스코켐텍
2019-06-17,in_actual_not_tv_top100,009240,101,8376662200.0,한샘
2019-06-17,in_tv_top100_not_actual,036420,33,25041427830.0,제이콘텐트리
2019-06-18,in_actual_not_tv_top100,007700,101,9601919300.0,F&F
2019-06-18,in_tv_top100_not_actual,036420,72,13012350720.0,제이콘텐트리
2019-07-15,in_actual_not_tv_top100,031820,101,6826017750.0,콤텍시스템
2019-07-15,in_tv_top100_not_actual,036420,85,8886925895.0,제이콘텐트리
2019-07-16,in_actual_not_tv_top100,012800,101,9269439705.0,대창
2019-07-16,in_tv_top100_not_actual,036420,84,10963965615.0,제이콘텐트리
2019-07-17,in_actual_not_tv_top100,035250,101,7679399800.0,강원랜드
2019-07-17,in_tv_top100_not_actual,036420,71,11281737780.0,제이콘텐트리
2019-08-02,in_actual_not_tv_top100,000120,101,8691964500.0,CJ대한통운
2019-08-02,in_tv_top100_not_actual,036420,59,18034079450.0,제이콘텐트리
2019-08-05,in_actual_not_tv_top100,086280,101,11630870000.0,현대글로비스
2019-08-05,in_tv_top100_not_actual,036420,75,16626905900.0,제이콘텐트리
2019-08-08,in_actual_not_tv_top100,003350,101,12263909350.0,한국화장품제조
2019-08-08,in_tv_top100_not_actual,036420,89,14796120750.0,제이콘텐트리
2019-08-09,in_actual_not_tv_top100,006360,101,8937896400.0,GS건설
2019-08-09,in_tv_top100_not_actual,036420,93,9654403950.0,제이콘텐트리
2019-08-26,in_actual_not_tv_top100,000990,101,6909311600.0,DB하이텍
2019-08-26,in_tv_top100_not_actual,036420,84,8396227950.0,제이콘텐트리
2019-10-02,in_actual_not_tv_top100,003490,101,8056133150.0,대한항공
