signal_id,bucket_dim,bucket,regime,ic5_mean,n_dates,status
sig_borrow_ratio,cap_bucket,large,PAST,0.0032839863768435945,964,measured_with_caveat
sig_borrow_ratio,cap_bucket,large,PRESENT,-0.040443963997686766,1047,measured_with_caveat
sig_borrow_chg20,liq_bucket,low,PAST,-0.03351398838217946,446,measured_with_caveat
sig_borrow_chg20,liq_bucket,low,PRESENT,0.03784563965949443,776,measured_with_caveat
sig_borrow_chg20,liq_bucket,mid,PAST,-0.0026103658465497647,862,measured_with_caveat
sig_borrow_chg20,liq_bucket,mid,PRESENT,-0.000969860404397696,1002,measured_with_caveat
sig_borrow_chg20,liq_bucket,high,PAST,-0.029992926455156676,925,measured_with_caveat
sig_borrow_chg20,liq_bucket,high,PRESENT,-0.01205858472569884,1040,measured_with_caveat
sig_borrow_chg20,cap_bucket,small,PAST,-0.03664907730004682,38,measured_with_caveat
sig_borrow_chg20,cap_bucket,small,PRESENT,0.012249762294580361,193,measured_with_caveat
sig_borrow_chg20,cap_bucket,mid,PAST,-0.01930383249459607,904,measured_with_caveat
sig_borrow_chg20,cap_bucket,mid,PRESENT,0.009222424760584644,1031,measured_with_caveat
sig_borrow_chg20,cap_bucket,large,PAST,0.00013823559290129816,925,measured_with_caveat
sig_borrow_chg20,cap_bucket,large,PRESENT,0.0018607825176865554,1040,measured_with_caveat
sig_reversal_5,tv_estimated_slice,estimated_True,PAST,,0,measured_with_caveat
sig_reversal_5,tv_estimated_slice,estimated_True,PRESENT,,0,measured_with_caveat
sig_mom_5,tv_estimated_slice,estimated_True,PAST,,0,measured_with_caveat
sig_mom_5,tv_estimated_slice,estimated_True,PRESENT,,0,measured_with_caveat
sig_mom_20,tv_estimated_slice,estimated_True,PAST,,0,measured_with_caveat
sig_mom_20,tv_estimated_slice,estimated_True,PRESENT,,0,measured_with_caveat
sig_flow_foreign_amt_mcap,tv_estimated_slice,estimated_True,PAST,,0,measured_with_caveat
sig_flow_foreign_amt_mcap,tv_estimated_slice,estimated_True,PRESENT,,0,measured_with_caveat
sig_borrow_ratio,tv_estimated_slice,estimated_True,PAST,,0,measured_with_caveat
sig_borrow_ratio,tv_estimated_slice,estimated_True,PRESENT,,0,measured_with_caveat
sig_borrow_chg20,tv_estimated_slice,estimated_True,PAST,,0,measured_with_caveat
sig_borrow_chg20,tv_estimated_slice,estimated_True,PRESENT,,0,measured_with_caveat
