carrier,signal_date,net_value,portfolio_drawdown,drawdown_lookback_days,warning_threshold,hard_threshold,hard_scalar,exposure_scalar
E014,2021-09-30,1.7744072560801354,-0.1609175554271134,252,-0.05,-0.15,0.5,0.5
E014,2021-12-30,1.5613919305261277,-0.2616483315693374,252,-0.05,-0.15,0.5,0.5
E014,2022-03-31,1.6097029881573734,-0.238802978453121,252,-0.05,-0.15,0.5,0.5
E014,2022-06-30,1.6001160555135945,-0.2227865382840196,252,-0.05,-0.15,0.5,0.5
E014,2022-09-30,1.6001160555135945,-0.1298795087666269,252,-0.05,-0.15,0.5,0.6006024561668655
E014,2022-12-29,1.6001160555135945,-0.0589328892245253,252,-0.05,-0.15,0.5,0.9553355538773732
E014,2023-03-31,1.6001160555135945,-0.0059557152557399,252,-0.05,-0.15,0.5,1.0
E014,2023-06-30,1.6001160555135945,0.0,252,-0.05,-0.15,0.5,1.0
E014,2023-09-27,1.6001160555135945,0.0,252,-0.05,-0.15,0.5,1.0
E014,2023-12-28,1.6905344683150223,-0.0056986633641324,252,-0.05,-0.15,0.5,1.0
E014,2024-03-29,1.6263539436552887,-0.0536222536768246,252,-0.05,-0.15,0.5,0.981888731615877
E014,2024-06-28,1.829710402934508,-0.0063926229234844,252,-0.05,-0.15,0.5,1.0
E014,2024-09-30,1.8155992426630891,-0.0140555585018706,252,-0.05,-0.15,0.5,1.0
E014,2024-12-30,1.91504213974684,-0.0130763674348004,252,-0.05,-0.15,0.5,1.0
E014,2025-03-31,1.9156508224443964,-0.012762680687922,252,-0.05,-0.15,0.5,1.0
E014,2025-06-30,1.9156508224443964,-0.012762680687922,252,-0.05,-0.15,0.5,1.0
E014,2025-09-30,1.9067391285064552,-0.0283889528227136,252,-0.05,-0.15,0.5,1.0
E014,2025-12-30,2.6893415053513574,-0.0014129585029096,252,-0.05,-0.15,0.5,1.0
E014,2026-03-31,3.2590912723027934,-0.2600178640625477,252,-0.05,-0.15,0.5,0.5
