ticker,gap_start,gap_end,gap_days,name_before,name_after,name_changed
001560,2019-12-30,2022-01-03,735,제일연마,제일연마,False
001620,2018-12-28,2021-01-04,738,동국실업,케이비아이동국실업,True
001750,2020-12-30,2024-01-02,1098,한양증권,한양증권,False
001770,2019-12-30,2022-01-03,735,신화실업,SHD,True
001790,2019-12-30,2021-01-04,371,대한제당,대한제당,False
001800,2019-12-30,2025-01-02,1830,오리온홀딩스,오리온홀딩스,False
002020,2022-12-29,2024-01-02,369,코오롱,코오롱,False
002070,2023-12-28,2025-01-02,371,비비안,비비안,False
002100,2023-12-28,2025-01-02,371,경농,경농,False
002150,2020-12-30,2022-01-03,369,도화엔지니어링,도화엔지니어링,False
002240,2018-12-28,2020-01-02,370,고려제강,고려제강,False
002300,2018-12-28,2020-01-02,370,한국제지,한국제지,False
002310,2020-12-30,2025-01-02,1464,아세아제지,아세아제지,False
002320,2020-12-30,2024-01-02,1098,한진,한진,False
002390,2020-12-30,2024-01-02,1098,한독,한독,False
002420,2019-12-30,2021-01-04,371,세기상사,세기상사,False
002450,2019-12-30,2025-01-02,1830,삼익악기,삼익악기,False
002620,2018-12-28,2020-01-02,370,제일파마홀딩스,제일파마홀딩스,False
002690,2018-12-28,2021-01-04,738,동일제강,동일제강,False
002780,2022-12-29,2025-01-02,735,진흥기업,진흥기업,False
002820,2018-12-28,2024-01-02,1831,선창산업,SUN&L,True
003030,2018-12-28,2022-01-03,1102,세아제강지주,세아제강지주,False
003070,2018-12-28,2020-01-02,370,코오롱글로벌,코오롱글로벌,False
003120,2020-12-30,2022-01-03,369,일성신약,일성신약,False
003200,2020-12-30,2023-01-02,733,일신방직,일신방직,False
003220,2018-12-28,2020-01-02,370,대원제약,대원제약,False
003240,2019-12-30,2024-01-02,1464,태광산업,태광산업,False
003410,2022-12-29,2024-01-02,369,쌍용C&E,쌍용C&E,False
003470,2019-12-30,2021-01-04,371,유안타증권,유안타증권,False
003480,2022-12-29,2025-01-02,735,한진중공업홀딩스,한진중공업홀딩스,False
003540,2018-12-28,2024-01-02,1831,대신증권,대신증권,False
003620,2020-12-30,2023-01-02,733,쌍용차,쌍용차,False
003680,2020-12-30,2022-01-03,369,한성기업,한성기업,False
003720,2018-12-28,2021-01-04,738,삼영화학,삼영화학,False
003780,2022-12-29,2024-01-02,369,진양산업,진양산업,False
003920,2021-12-30,2023-01-02,368,남양유업,남양유업,False
003960,2019-12-30,2022-01-03,735,사조대림,사조대림,False
004140,2022-12-29,2024-01-02,369,동방,동방,False
004410,2023-12-28,2025-01-02,371,서울식품,서울식품,False
004440,2018-12-28,2020-01-02,370,대림씨엔에스,대림씨엔에스,False
004560,2018-12-28,2020-01-02,370,현대비앤지스틸,현대비앤지스틸,False
004710,2023-12-28,2025-01-02,371,한솔테크닉스,한솔테크닉스,False
004720,2023-12-28,2025-01-02,371,팜젠사이언스,팜젠사이언스,False
004800,2022-12-29,2024-01-02,369,효성,효성,False
004840,2020-12-30,2022-01-03,369,DRB동일,DRB동일,False
004870,2020-12-30,2024-01-02,1098,티웨이홀딩스,티웨이홀딩스,False
004910,2018-12-28,2020-01-02,370,조광페인트,조광페인트,False
004920,2018-12-28,2021-01-04,738,씨아이테크,씨아이테크,False
004960,2018-12-28,2021-01-04,738,한신공영,한신공영,False
005010,2018-12-28,2021-01-04,738,휴스틸,휴스틸,False
005030,2020-12-30,2022-01-03,369,부산주공,부산주공,False
005090,2018-12-28,2021-01-04,738,삼광글라스,SGC에너지,True
005180,2020-12-30,2023-01-02,733,빙그레,빙그레,False
005250,2018-12-28,2020-01-02,370,녹십자홀딩스,녹십자홀딩스,False
005320,2023-12-28,2025-01-02,371,국동,온타이드,True
005360,2023-12-28,2025-01-02,371,모나미,모나미,False
005430,2020-12-30,2024-01-02,1098,한국공항,한국공항,False
005440,2018-12-28,2020-01-02,370,현대그린푸드,현대그린푸드,False
005500,2020-12-30,2022-01-03,369,삼진제약,삼진제약,False
005610,2018-12-28,2025-01-02,2197,SPC삼립,SPC삼립,False
005680,2018-12-28,2024-01-02,1831,삼영전자,삼영전자,False
005810,2021-12-30,2023-01-02,368,풍산홀딩스,풍산홀딩스,False
005880,2018-12-28,2020-01-02,370,대한해운,대한해운,False
006040,2018-12-28,2022-01-03,1102,동원산업,동원산업,False
006060,2021-12-30,2023-01-02,368,화승인더,화승인더,False
006090,2020-12-30,2022-01-03,369,사조오양,사조오양,False
006110,2018-12-28,2020-01-02,370,삼아알미늄,삼아알미늄,False
006340,2019-12-30,2021-01-04,371,대원전선,대원전선,False
006380,2018-12-28,2020-01-02,370,카프로,카프로,False
006490,2022-12-29,2024-01-02,369,인스코비,인스코비,False
006880,2020-12-30,2022-01-03,369,신송홀딩스,신송홀딩스,False
006890,2023-12-28,2025-01-02,371,태경케미컬,태경케미컬,False
007160,2021-12-30,2024-01-02,733,사조산업,사조산업,False
007310,2018-12-28,2020-01-02,370,오뚜기,오뚜기,False
007340,2022-12-29,2024-01-02,369,DN오토모티브,DN오토모티브,False
007540,2020-12-30,2022-01-03,369,샘표,샘표,False
007570,2018-12-28,2020-01-02,370,일양약품,일양약품,False
007590,2018-12-28,2021-01-04,738,동방아그로,동방아그로,False
007610,2019-12-30,2021-01-04,371,선도전기,선도전기,False
007690,2021-12-30,2023-01-02,368,국도화학,국도화학,False
007980,2023-12-28,2025-01-02,371,태평양물산,TP,True
008040,2019-12-30,2021-01-04,371,사조동아원,사조동아원,False
008260,2018-12-28,2020-01-02,370,NI스틸,NI스틸,False
008420,2022-12-29,2025-01-02,735,문배철강,문배철강,False
008490,2019-12-30,2025-01-02,1830,서흥,서흥,False
008600,2021-12-30,2023-01-02,368,윌비스,윌비스,False
008730,2019-12-30,2021-01-04,371,율촌화학,율촌화학,False
009070,2022-12-29,2024-01-02,369,KCTC,KCTC,False
009160,2019-12-30,2021-01-04,371,SIMPAC,SIMPAC,False
009180,2022-12-29,2024-01-02,369,한솔로지스틱스,한솔로지스틱스,False
009240,2023-12-28,2025-01-02,371,한샘,한샘,False
009270,2022-12-29,2024-01-02,369,신원,신원,False
009310,2022-12-29,2024-01-02,369,참엔지니어링,참엔지니어링,False
009420,2021-12-30,2023-01-02,368,한올바이오파마,한올바이오파마,False
009440,2020-12-30,2022-01-03,369,KC그린홀딩스,KC그린홀딩스,False
009580,2023-12-28,2025-01-02,371,무림P&P,무림P&P,False
009810,2022-12-29,2024-01-02,369,플레이그램,플레이그램,False
009900,2023-12-28,2025-01-02,371,명신산업,명신산업,False
010050,2019-12-30,2021-01-04,371,우리종금,우리종금,False
010400,2019-12-30,2023-01-02,1099,우진아이엔에스,우진아이엔에스,False
010420,2019-12-30,2021-01-04,371,한솔PNS,한솔PNS,False
010580,2020-12-30,2022-01-03,369,지코,지코,False
010640,2023-12-28,2025-01-02,371,진양폴리,진양폴리,False
010660,2020-12-30,2022-01-03,369,화천기계,화천기계,False
010690,2018-12-28,2020-01-02,370,화신,화신,False
010770,2020-12-30,2022-01-03,369,평화홀딩스,평화홀딩스,False
010780,2020-12-30,2022-01-03,369,아이에스동서,아이에스동서,False
010960,2018-12-28,2020-01-02,370,삼호개발,삼호개발,False
011090,2022-12-29,2025-01-02,735,에넥스,에넥스,False
011230,2020-12-30,2022-01-03,369,삼화전자,삼화전자,False
011280,2022-12-29,2024-01-02,369,태림포장,태림포장,False
011300,2019-12-30,2021-01-04,371,성안,성안,False
011330,2019-12-30,2023-01-02,1099,유니켐,유니켐,False
011390,2020-12-30,2022-01-03,369,부산산업,부산산업,False
011420,2019-12-30,2021-01-04,371,갤럭시아에스엠,갤럭시아에스엠,False
011500,2018-12-28,2020-01-02,370,한농화성,한농화성,False
011690,2020-12-30,2022-01-03,369,유양디앤유,와이투솔루션,True
012030,2018-12-28,2021-01-04,738,DB,DB,False
012160,2021-12-30,2025-01-02,1099,영흥,영흥,False
012170,2019-12-30,2021-01-04,371,키위미디어그룹,키위미디어그룹,False
012200,2021-12-30,2024-01-02,733,계양전기,계양전기,False
012320,2018-12-28,2022-01-03,1102,경동인베스트,경동인베스트,False
012690,2022-12-29,2024-01-02,369,모나리자,모나리자,False
012750,2020-12-30,2023-01-02,733,에스원,에스원,False
013570,2018-12-28,2021-01-04,738,디와이,디와이,False
013580,2018-12-28,2020-01-02,370,계룡건설,계룡건설,False
013700,2023-12-28,2025-01-02,371,까뮤이앤씨,까뮤이앤씨,False
014130,2021-12-30,2023-01-02,368,한익스프레스,한익스프레스,False
014160,2022-12-29,2024-01-02,369,대영포장,대영포장,False
014280,2019-12-30,2021-01-04,371,금강공업,금강공업,False
014820,2021-12-30,2023-01-02,368,동원시스템즈,동원시스템즈,False
014910,2019-12-30,2021-01-04,371,성문전자,성문전자,False
015020,2019-12-30,2021-01-04,371,이스타코,이스타코,False
015590,2021-12-30,2023-01-02,368,큐로,큐로,False
015890,2023-12-28,2025-01-02,371,태경산업,태경산업,False
016450,2018-12-28,2020-01-02,370,한세예스24홀딩스,한세예스24홀딩스,False
016580,2018-12-28,2021-01-04,738,환인제약,환인제약,False
016590,2019-12-30,2021-01-04,371,신대양제지,신대양제지,False
016710,2020-12-30,2022-01-03,369,대성홀딩스,대성홀딩스,False
016740,2021-12-30,2023-01-02,368,두올,두올,False
017040,2019-12-30,2021-01-04,371,광명전기,광명전기,False
017180,2022-12-29,2024-01-02,369,명문제약,명문제약,False
017370,2021-12-30,2023-01-02,368,우신시스템,우신시스템,False
017550,2023-12-28,2025-01-02,371,수산중공업,수산중공업,False
017810,2021-12-30,2023-01-02,368,풀무원,풀무원,False
017900,2021-12-30,2023-01-02,368,광전자,광전자,False
017940,2019-12-30,2022-01-03,735,E1,E1,False
018250,2020-12-30,2022-01-03,369,애경산업,애경산업,False
018470,2018-12-28,2021-01-04,738,조일알미늄,조일알미늄,False
018500,2018-12-28,2020-01-02,370,동원금속,동원금속,False
019180,2019-12-30,2021-01-04,371,티에이치엔,티에이치엔,False
019680,2021-12-30,2023-01-02,368,대교,대교,False
020760,2020-12-30,2022-01-03,369,일진디스플,일진디스플,False
021050,2021-12-30,2023-01-02,368,서원,서원,False
023000,2021-12-30,2023-01-02,368,삼원강재,삼원강재,False
023150,2023-12-28,2025-01-02,371,MH에탄올,MH에탄올,False
023350,2019-12-30,2021-01-04,371,한국종합기술,한국종합기술,False
023590,2021-12-30,2023-01-02,368,다우기술,다우기술,False
024720,2020-12-30,2023-01-02,733,한국콜마홀딩스,한국콜마홀딩스,False
024890,2018-12-28,2020-01-02,370,대원화성,대원화성,False
024900,2021-12-30,2023-01-02,368,덕양산업,덕양산업,False
025540,2018-12-28,2020-01-02,370,한국단자,한국단자,False
025620,2023-12-28,2025-01-02,371,제이준코스메틱,제이준코스메틱,False
025750,2023-12-28,2025-01-02,371,한솔홈데코,한솔홈데코,False
026890,2022-12-29,2024-01-02,369,스틱인베스트먼트,스틱인베스트먼트,False
026960,2021-12-30,2024-01-02,733,동서,동서,False
027740,2020-12-30,2022-01-03,369,마니커,마니커,False
027970,2019-12-30,2021-01-04,371,세하,세하,False
028100,2021-12-30,2024-01-02,733,동아지질,동아지질,False
029460,2020-12-30,2024-01-02,1098,케이씨,케이씨,False
030210,2018-12-28,2021-01-04,738,KTB투자증권,KTB투자증권,False
030720,2020-12-30,2022-01-03,369,동원수산,동원수산,False
031440,2018-12-28,2020-01-02,370,신세계푸드,신세계푸드,False
033250,2020-12-30,2022-01-03,369,체시스,체시스,False
033270,2018-12-28,2020-01-02,370,유나이티드제약,유나이티드제약,False
033920,2022-12-29,2024-01-02,369,무학,무학,False
034120,2021-12-30,2023-01-02,368,SBS,SBS,False
034300,2019-12-30,2021-01-04,371,신세계건설,신세계건설,False
034310,2021-12-30,2023-01-02,368,NICE,NICE,False
034830,2018-12-28,2021-01-04,738,한국토지신탁,한국토지신탁,False
035510,2018-12-28,2020-01-02,370,신세계 I&C,신세계 I&C,False
036580,2019-12-30,2021-01-04,371,팜스코,팜스코,False
037560,2019-12-30,2021-01-04,371,CJ헬로,LG헬로비전,True
039570,2019-12-30,2024-01-02,1464,HDC아이콘트롤스,HDC랩스,True
044450,2021-12-30,2023-01-02,368,KSS해운,KSS해운,False
049800,2019-12-30,2023-01-02,1099,우진플라임,우진플라임,False
051630,2021-12-30,2023-01-02,368,진양화학,진양화학,False
053210,2020-12-30,2022-01-03,369,스카이라이프,스카이라이프,False
055490,2021-12-30,2023-01-02,368,테이팩스,테이팩스,False
057050,2018-12-28,2024-01-02,1831,현대홈쇼핑,현대홈쇼핑,False
058860,2021-12-30,2023-01-02,368,KTis,KTis,False
063160,2023-12-28,2025-01-02,371,종근당바이오,종근당바이오,False
064960,2021-12-30,2025-01-02,1099,SNT모티브,SNT모티브,False
067830,2022-12-29,2025-01-02,735,세이브존I&C,세이브존I&C,False
068400,2020-12-30,2022-01-03,369,SK렌터카,SK렌터카,False
069460,2023-12-28,2025-01-02,371,대호에이엘,대호에이엘,False
069640,2019-12-30,2021-01-04,371,한세엠케이,한세엠케이,False
069730,2022-12-29,2024-01-02,369,DSR제강,DSR제강,False
069960,2021-12-30,2023-01-02,368,현대백화점,현대백화점,False
070960,2020-12-30,2024-01-02,1098,용평리조트,용평리조트,False
071090,2019-12-30,2021-01-04,371,하이스틸,하이스틸,False
071840,2019-12-30,2021-01-04,371,롯데하이마트,롯데하이마트,False
073240,2019-12-30,2021-01-04,371,금호타이어,금호타이어,False
077500,2021-12-30,2023-01-02,368,유니퀘스트,유니퀘스트,False
078000,2018-12-28,2025-01-02,2197,텔코웨어,텔코웨어,False
078520,2020-12-30,2022-01-03,369,에이블씨엔씨,에이블씨엔씨,False
079430,2022-12-29,2024-01-02,369,현대리바트,현대리바트,False
079980,2018-12-28,2020-01-02,370,휴비스,휴비스,False
081660,2023-12-28,2025-01-02,371,휠라홀딩스,휠라홀딩스,False
082640,2021-12-30,2024-01-02,733,동양생명,동양생명,False
084670,2018-12-28,2025-01-02,2197,동양고속,동양고속,False
084690,2020-12-30,2022-01-03,369,대상홀딩스,대상홀딩스,False
085310,2019-12-30,2022-01-03,735,엔케이,엔케이,False
089470,2020-12-30,2024-01-02,1098,HDC현대EP,HDC현대EP,False
089860,2022-12-29,2024-01-02,369,롯데렌탈,롯데렌탈,False
090080,2023-12-28,2025-01-02,371,평화산업,평화산업,False
090370,2019-12-30,2022-01-03,735,메타랩스,메타랩스,False
091810,2021-12-30,2023-01-02,368,티웨이항공,티웨이항공,False
092780,2022-12-29,2025-01-02,735,동양피스톤,동양피스톤,False
094280,2021-12-30,2025-01-02,1099,효성ITX,효성ITX,False
096300,2019-12-30,2022-01-03,735,베트남개발1,베트남개발1,False
096760,2020-12-30,2024-01-02,1098,JW홀딩스,JW홀딩스,False
097230,2021-12-30,2024-01-02,733,한진중공업,HJ중공업,True
100250,2018-12-28,2020-01-02,370,진양홀딩스,진양홀딩스,False
100840,2019-12-30,2021-01-04,371,S&TC,S&TC,False
101140,2022-12-29,2025-01-02,735,인바이오젠,인바이오젠,False
101530,2020-12-30,2022-01-03,369,해태제과식품,해태제과식품,False
103590,2019-12-30,2021-01-04,371,일진전기,일진전기,False
108670,2018-12-28,2020-01-02,370,LG하우시스,LG하우시스,False
109070,2020-12-30,2025-01-02,1464,컨버즈,주성코퍼레이션,True
111110,2022-12-29,2024-01-02,369,호전실업,호전실업,False
111770,2022-12-29,2024-01-02,369,영원무역,영원무역,False
115390,2022-12-29,2024-01-02,369,락앤락,락앤락,False
118000,2023-12-28,2025-01-02,371,에스메디,메타케어,True
120030,2018-12-28,2020-01-02,370,조선선재,조선선재,False
120110,2023-12-28,2025-01-02,371,코오롱인더,코오롱인더,False
122900,2019-12-30,2021-01-04,371,아이마켓코리아,아이마켓코리아,False
123690,2020-12-30,2022-01-03,369,한국화장품,한국화장품,False
129260,2022-12-29,2024-01-02,369,인터지스,인터지스,False
130660,2018-12-28,2020-01-02,370,한전산업,한전산업,False
133820,2021-12-30,2025-01-02,1099,화인베스틸,화인베스틸,False
136490,2019-12-30,2021-01-04,371,선진,선진,False
138250,2019-12-30,2021-01-04,371,엔에스쇼핑,엔에스쇼핑,False
143210,2018-12-28,2020-01-02,370,핸즈코퍼레이션,핸즈코퍼레이션,False
145210,2018-12-28,2020-01-02,370,세화아이엠씨,세화아이엠씨,False
145990,2018-12-28,2020-01-02,370,삼양사,삼양사,False
161000,2021-12-30,2023-01-02,368,애경케미칼,애경케미칼,False
163560,2020-12-30,2022-01-03,369,동일고무벨트,동일고무벨트,False
170900,2019-12-30,2021-01-04,371,동아에스티,동아에스티,False
175330,2018-12-28,2021-01-04,738,JB금융지주,JB금융지주,False
183190,2018-12-28,2022-01-03,1102,아세아시멘트,아세아시멘트,False
185750,2018-12-28,2020-01-02,370,종근당,종근당,False
192080,2022-12-29,2024-01-02,369,더블유게임즈,더블유게임즈,False
192400,2019-12-30,2021-01-04,371,쿠쿠홀딩스,쿠쿠홀딩스,False
194370,2021-12-30,2023-01-02,368,제이에스코퍼레이션,제이에스코퍼레이션,False
210540,2019-12-30,2022-01-03,735,디와이파워,디와이파워,False
213500,2019-12-30,2021-01-04,371,한솔제지,한솔제지,False
214320,2019-12-30,2021-01-04,371,이노션,이노션,False
214390,2018-12-28,2020-01-02,370,경보제약,경보제약,False
214420,2020-12-30,2022-01-03,369,토니모리,토니모리,False
227840,2019-12-30,2021-01-04,371,현대코퍼레이션홀딩스,현대코퍼레이션홀딩스,False
244920,2021-12-30,2025-01-02,1099,에이플러스에셋,에이플러스에셋,False
248170,2020-12-30,2022-01-03,369,샘표식품,샘표식품,False
272550,2021-12-30,2025-01-02,1099,삼양패키징,삼양패키징,False
281820,2020-12-30,2023-01-02,733,케이씨텍,케이씨텍,False
284740,2019-12-30,2021-01-04,371,쿠쿠홈시스,쿠쿠홈시스,False
286940,2019-12-30,2022-01-03,735,롯데정보통신,롯데정보통신,False
293480,2020-12-30,2022-01-03,369,하나제약,하나제약,False
300720,2018-12-28,2021-01-04,738,한일시멘트,한일시멘트,False
306200,2018-12-28,2022-01-03,1102,세아제강,세아제강,False
317400,2020-12-30,2022-01-03,369,자이에스앤디,자이에스앤디,False
339770,2021-12-30,2024-01-02,733,교촌에프앤비,교촌에프앤비,False
363280,2021-12-30,2023-01-02,368,티와이홀딩스,티와이홀딩스,False
383800,2021-12-30,2023-01-02,368,LX홀딩스,LX홀딩스,False
460860,2023-12-28,2025-01-02,371,동국제강,동국제강,False
900140,2018-12-28,2020-01-02,370,엘브이엠씨홀딩스,엘브이엠씨홀딩스,False
