execution_date,signal_date,종목코드,fnv_5,inv_5,combined_flow_5,signal
2023-08-22,2023-08-21,030200,0.22653902158806896,0.06501951210411307,0.29155853369218204,True
2023-08-22,2023-08-21,008770,0.05238173043990909,0.0768967817802085,0.1292785122201176,True
2023-08-22,2023-08-21,001740,0.12591715015344468,0.002578420688570821,0.12849557084201552,True
2023-08-22,2023-08-21,055550,0.025606380740833844,0.1013891895385291,0.12699557027936295,True
2023-08-22,2023-08-21,105560,0.04697204687327035,0.04982738912541884,0.09679943599868919,True
2023-08-22,2023-08-21,028260,0.0010580608760719808,0.07381226197912265,0.07487032285519463,True
2023-08-22,2023-08-21,137310,0.06262306074972436,0.003917420610904884,0.06654048136062925,True
2023-08-23,2023-08-22,030200,0.22488426098359474,0.04307175743183322,0.26795601841542793,True
2023-08-23,2023-08-22,028260,0.001993598421805489,0.10772289789168372,0.10971649631348922,True
2023-08-23,2023-08-22,105560,0.051452514051253326,0.047979526340353386,0.0994320403916067,True
2023-08-23,2023-08-22,008770,0.026460139811781507,0.06098854245244751,0.08744868226422901,True
2023-08-24,2023-08-23,030200,0.16886442682942066,0.07219063828118906,0.2410550651106097,True
2023-08-24,2023-08-23,248070,0.20708644498284326,0.006434568768034951,0.2135210137508782,True
2023-08-24,2023-08-23,017800,0.04954552874137336,0.09790703791534927,0.14745256665672263,True
2023-08-24,2023-08-23,105560,0.05585838152099005,0.0852803404416404,0.14113872196263047,True
2023-08-24,2023-08-23,047810,0.07942603817764606,0.04678394482426285,0.12620998300190892,True
2023-08-24,2023-08-23,090430,0.10530388141058736,0.0013177993349293505,0.1066216807455167,True
2023-08-24,2023-08-23,008770,0.04113684124663964,0.06158390875323642,0.10272074999987606,True
2023-08-24,2023-08-23,005380,0.06563605341180725,0.016570208857786036,0.0822062622695933,True
2023-08-25,2023-08-24,030200,0.1502845400515393,0.07437234566070748,0.2246568857122468,True
2023-08-25,2023-08-24,248070,0.17691933302843932,0.008008905324336985,0.1849282383527763,True
2023-08-25,2023-08-24,028260,0.06571281139265217,0.11109731559016243,0.1768101269828146,True
2023-08-25,2023-08-24,105560,0.09175381167357827,0.05983022133867801,0.1515840330122563,True
2023-08-25,2023-08-24,042660,0.12156193961967585,0.013346663516066943,0.1349086031357428,True
2023-08-25,2023-08-24,316140,0.019333461315606225,0.10895711026076536,0.12829057157637158,True
2023-08-25,2023-08-24,017800,0.019316819455591484,0.10432729782959145,0.12364411728518293,True
2023-08-25,2023-08-24,032350,0.0556290662507402,0.05305846441559198,0.10868753066633217,True
2023-08-25,2023-08-24,009150,0.007700722847923911,0.09888592857797669,0.1065866514259006,True
2023-08-25,2023-08-24,090430,0.02745733538612659,0.06177628281890845,0.08923361820503503,True
2023-08-25,2023-08-24,003230,0.07061433172599507,0.013766018215016586,0.08438034994101166,True
2023-08-25,2023-08-24,003720,0.06442394892998818,0.011744800725684837,0.07616874965567301,True
2023-08-28,2023-08-25,028260,0.1003335549136901,0.15855888877031027,0.2588924436840004,True
2023-08-28,2023-08-25,030200,0.10096354198235971,0.06548362144107645,0.16644716342343616,True
2023-08-28,2023-08-25,248070,0.1387923736881617,0.021432969239619227,0.16022534292778093,True
2023-08-28,2023-08-25,373220,0.056123725151596644,0.10292425257926005,0.1590479777308567,True
2023-08-28,2023-08-25,042660,0.11496131034891148,0.037511362762171534,0.152472673111083,True
2023-08-28,2023-08-25,001450,0.007634689710224367,0.13579262931244004,0.1434273190226644,True
2023-08-28,2023-08-25,032350,0.05259458424126417,0.08303494906966662,0.13562953331093078,True
2023-08-28,2023-08-25,192820,0.12772387888163295,0.001513775886946622,0.12923765476857957,True
2023-08-28,2023-08-25,103590,0.08541158708893622,0.043065102954891646,0.12847669004382786,True
2023-08-28,2023-08-25,003230,0.1111872410300636,0.002506739696619889,0.11369398072668349,True
2023-08-28,2023-08-25,105560,0.023382504481954697,0.09024382248113072,0.11362632696308542,True
2023-08-28,2023-08-25,036570,0.0497195521527249,0.01181058730063713,0.06153013945336203,True
2023-08-29,2023-08-28,028260,0.1391518108010376,0.1753457088005982,0.3144975196016358,True
2023-08-29,2023-08-28,316140,0.12074383448435735,0.10507843626384328,0.22582227074820063,True
2023-08-29,2023-08-28,373220,0.14918164037143036,0.07561587286133782,0.2247975132327682,True
2023-08-29,2023-08-28,030200,0.1103371156921389,0.08299149859197101,0.1933286142841099,True
2023-08-29,2023-08-28,000720,0.08841474452209105,0.07226631149400568,0.16068105601609672,True
2023-08-29,2023-08-28,248070,0.11508537651625486,0.042508667839597176,0.15759404435585203,True
2023-08-29,2023-08-28,042660,0.1084143009772239,0.03450741747766988,0.1429217184548938,True
2023-08-29,2023-08-28,032350,0.04224335312838438,0.0889820405957232,0.13122539372410758,True
2023-08-29,2023-08-28,105560,0.03612047586102319,0.08889975935763199,0.12502023521865518,True
2023-08-29,2023-08-28,047810,0.06026735020228437,0.058220909439850185,0.11848825964213455,True
2023-08-29,2023-08-28,103590,0.06295646030865398,0.0533389242715986,0.11629538458025258,True
2023-08-30,2023-08-29,002380,0.21262428488247503,0.2150363479256372,0.42766063280811223,True
