date,V1_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2014-07-11,0.9929249523349457,1.7733440243127074,1.0
2014-07-14,0.9984025188828625,1.7782468505494675,1.0
2014-07-15,1.0245672744908565,1.7957042189507562,1.0
2014-07-16,1.0267202188232898,1.7968856817462038,1.0
2014-07-17,1.0251244166006073,1.803896994323656,1.0
2014-07-18,1.023903566299797,1.8028629915755574,1.0
2014-07-21,1.0108999423902076,1.8025204504026773,1.0
2014-07-22,1.0184097311598908,1.81218700973915,1.0
2014-07-23,0.9996538428123457,1.8122428765879937,1.0
2014-07-24,0.9985292405549843,1.8113377354838107,1.0
2014-07-25,0.9988150620780495,1.8182050349848724,1.0
2014-07-28,0.9962778763069983,1.8324486700673417,1.0
2014-07-29,1.0042603573700344,1.8453921468482515,1.0
2014-07-30,1.0345029540771415,1.8650281697193172,1.0
2014-07-31,1.022463606486382,1.8602170510416363,1.0
2014-08-01,1.0202869974099826,1.8584501823526465,1.0
2014-08-04,1.0244641959306002,1.865659434272455,1.0
2014-08-05,1.0144694446261,1.853404077594819,1.0
2014-08-06,0.995903186691829,1.849620635132321,1.0
2014-08-07,0.9918644769558109,1.8445245848872673,1.0
2014-08-08,0.9795762109975296,1.8241772580578095,1.0
2014-08-11,0.9892654293388167,1.832217029909095,1.0
2014-08-12,0.983565900206405,1.8346345716249548,1.0
2014-08-13,0.9965560091098598,1.8540874951026323,1.0
2014-08-14,0.9886153200912237,1.855452050310142,1.0
2014-08-18,0.9766446603017273,1.8469545090904593,1.0
2014-08-19,0.9826043291632243,1.8636477358051147,1.0
2014-08-20,0.9879912582955845,1.8658577097436315,1.0
2014-08-21,0.9725127912143613,1.8405780444141098,1.0
2014-08-22,0.9803694085501675,1.8522845415217475,1.0
2014-08-25,0.9828094175193256,1.856785928203229,1.0
2014-08-26,0.9828491783610969,1.8637681540714777,1.0
2014-08-27,0.9809158198565218,1.870609744622518,1.0
2014-08-28,0.9827999357992945,1.87186093586545,1.0
2014-08-29,0.9879555803434625,1.8658450582762498,1.0
2014-09-01,0.9810130794561733,1.8657001801203181,1.0
2014-09-02,0.9617445537343008,1.851654335707084,1.0
2014-09-03,0.9439441326074727,1.8521242730581446,1.0
2014-09-04,0.9459893552201822,1.8573982173328967,1.0
2014-09-05,0.93528928561082,1.85183231297803,1.0
2014-09-11,0.9248216522710899,1.83867012474305,1.0
2014-09-12,0.9383337907616888,1.8462471217688128,1.0
2014-09-15,0.9355699128745967,1.841481070642885,1.0
2014-09-16,0.940496712952423,1.8483103984929896,1.0
2014-09-17,0.9510178598951452,1.866531651126826,1.0
2014-09-18,0.9213931816644592,1.8548636697746337,1.0
2014-09-19,0.9208521892843182,1.8608210677249712,1.0
