date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2010-06-29,1.0069769180083246,0.0,1.0069769180083246,1.0069769180083246,0,1.0,1.0069769180083246,1.0069769180083246
2010-06-30,1.0070916983247655,0.0,1.0070916983247655,1.0070916983247655,0,1.0,1.0070916983247655,1.0070916983247655
2010-07-01,1.0071895149520262,0.0,1.0071895149520262,1.0071895149520262,0,1.0,1.0071895149520262,1.0071895149520262
2010-07-02,1.0072873410800032,0.0,1.0072873410800032,1.0072873410800032,0,1.0,1.0072873410800032,1.0072873410800032
2010-07-05,1.0073851767096194,0.0,1.0073851767096194,1.0073851767096194,0,1.0,1.0073851767096194,1.0073851767096194
2010-07-06,1.0074830218417974,0.0,1.0074830218417974,1.0074830218417974,0,1.0,1.0074830218417974,1.0074830218417974
2010-07-07,1.0075808764774605,0.0,1.0075808764774605,1.0075808764774605,0,1.0,1.0075808764774605,1.0075808764774605
2010-07-08,1.0076787406175316,0.0,1.0076787406175316,1.0076787406175316,0,1.0,1.0076787406175316,1.0076787406175316
2010-07-09,1.0077766142629339,0.0,1.0077766142629339,1.0077766142629339,0,1.0,1.0077766142629339,1.0077766142629339
2010-07-12,1.0078744974145906,0.0,1.0078744974145906,1.0078744974145906,0,1.0,1.0078744974145906,1.0078744974145906
2010-07-13,1.007972390073425,0.0,1.007972390073425,1.007972390073425,0,1.0,1.007972390073425,1.007972390073425
2010-07-14,1.0080702922403606,0.0,1.0080702922403606,1.0080702922403606,0,1.0,1.0080702922403606,1.0080702922403606
2010-07-15,1.008168203916321,0.0,1.008168203916321,1.008168203916321,0,1.0,1.008168203916321,1.008168203916321
2010-07-16,1.0082661251022293,0.0,1.0082661251022293,1.0082661251022293,0,1.0,1.0082661251022293,1.0082661251022293
2010-07-19,1.0083640557990097,0.0,1.0083640557990097,1.0083640557990097,0,1.0,1.0083640557990097,1.0083640557990097
2010-07-20,1.0084619960075858,0.0,1.0084619960075858,1.0084619960075858,0,1.0,1.0084619960075858,1.0084619960075858
2010-07-21,1.0085599457288814,0.0,1.0085599457288814,1.0085599457288814,0,1.0,1.0085599457288814,1.0085599457288814
2010-07-22,1.0086579049638205,0.0,1.0086579049638205,1.0086579049638205,0,1.0,1.0086579049638205,1.0086579049638205
2010-07-23,1.008755873713327,0.0,1.008755873713327,1.008755873713327,0,1.0,1.008755873713327,1.008755873713327
2010-07-26,1.0088538519783252,0.0,1.0088538519783252,1.0088538519783252,0,1.0,1.0088538519783252,1.0088538519783252
2010-07-27,1.0089518397597392,0.0,1.0089518397597392,1.0089518397597392,0,1.0,1.0089518397597392,1.0089518397597392
2010-07-28,1.0090498370584935,0.0,1.0090498370584935,1.0090498370584935,0,1.0,1.0090498370584935,1.0090498370584935
2010-07-29,1.0091478438755124,0.0,1.0091478438755124,1.0091478438755124,0,1.0,1.0091478438755124,1.0091478438755124
2010-07-30,1.0092458602117202,0.0,1.0092458602117202,1.0092458602117202,0,1.0,1.0092458602117202,1.0092458602117202
2010-08-02,1.009343886068042,0.0,1.009343886068042,1.009343886068042,0,1.0,1.009343886068042,1.009343886068042
2010-08-03,1.0094419214454018,0.0,1.0094419214454018,1.0094419214454018,0,1.0,1.0094419214454018,1.0094419214454018
2010-08-04,1.0095399663447249,0.0,1.0095399663447249,1.0095399663447249,0,1.0,1.0095399663447249,1.0095399663447249
2010-08-05,1.0096380207669358,0.0,1.0096380207669358,1.0096380207669358,0,1.0,1.0096380207669358,1.0096380207669358
2010-08-06,1.0097360847129595,0.0,1.0097360847129595,1.0097360847129595,0,1.0,1.0097360847129595,1.0097360847129595
2010-08-09,1.0098341581837211,0.0,1.0098341581837211,1.0098341581837211,0,1.0,1.0098341581837211,1.0098341581837211
2010-08-10,1.009932241180146,0.0,1.009932241180146,1.009932241180146,0,1.0,1.009932241180146,1.009932241180146
2010-08-11,1.0100303337031589,0.0,1.0100303337031589,1.0100303337031589,0,1.0,1.0100303337031589,1.0100303337031589
2010-08-12,1.0101284357536853,0.0,1.0101284357536853,1.0101284357536853,0,1.0,1.0101284357536853,1.0101284357536853
2010-08-13,1.0102265473326506,0.0,1.0102265473326506,1.0102265473326506,0,1.0,1.0102265473326506,1.0102265473326506
2010-08-16,1.0103246684409803,0.0,1.0103246684409803,1.0103246684409803,0,1.0,1.0103246684409803,1.0103246684409803
2010-08-17,1.0104227990796,0.0,1.0104227990796,1.0104227990796,0,1.0,1.0104227990796,1.0104227990796
2010-08-18,1.0105209392494352,0.0,1.0105209392494352,1.0105209392494352,0,1.0,1.0105209392494352,1.0105209392494352
2010-08-19,1.0106190889514117,0.0,1.0106190889514117,1.0106190889514117,0,1.0,1.0106190889514117,1.0106190889514117
2010-08-20,1.0107172481864555,0.0,1.0107172481864555,1.0107172481864555,0,1.0,1.0107172481864555,1.0107172481864555
2010-08-23,1.0108154169554924,0.0,1.0108154169554924,1.0108154169554924,0,1.0,1.0108154169554924,1.0108154169554924
2010-08-24,1.0109135952594483,0.0,1.0109135952594483,1.0109135952594483,0,1.0,1.0109135952594483,1.0109135952594483
2010-08-25,1.0110117830992496,0.0,1.0110117830992496,1.0110117830992496,0,1.0,1.0110117830992496,1.0110117830992496
2010-08-26,1.0111099804758221,0.0,1.0111099804758221,1.0111099804758221,0,1.0,1.0111099804758221,1.0111099804758221
2010-08-27,1.0112081873900924,0.0,1.0112081873900924,1.0112081873900924,0,1.0,1.0112081873900924,1.0112081873900924
2010-08-30,1.0113064038429869,0.0,1.0113064038429869,1.0113064038429869,0,1.0,1.0113064038429869,1.0113064038429869
2010-08-31,1.0114046298354318,0.0,1.0114046298354318,1.0114046298354318,0,1.0,1.0114046298354318,1.0114046298354318
2010-09-01,1.0115028653683538,0.0,1.0115028653683538,1.0115028653683538,0,1.0,1.0115028653683538,1.0115028653683538
2010-09-02,1.0116011104426796,0.0,1.0116011104426796,1.0116011104426796,0,1.0,1.0116011104426796,1.0116011104426796
2010-09-03,1.011699365059336,0.0,1.011699365059336,1.011699365059336,0,1.0,1.011699365059336,1.011699365059336
2010-09-06,1.0117976292192497,0.0,1.0117976292192497,1.0117976292192497,0,1.0,1.0117976292192497,1.0117976292192497
2010-09-07,1.0118959029233474,0.0,1.0118959029233474,1.0118959029233474,0,1.0,1.0118959029233474,1.0118959029233474
2010-09-08,1.0119941861725565,0.0,1.0119941861725565,1.0119941861725565,0,1.0,1.0119941861725565,1.0119941861725565
2010-09-09,1.0120924789678039,0.0,1.0120924789678039,1.0120924789678039,0,1.0,1.0120924789678039,1.0120924789678039
2010-09-10,1.0121907813100168,0.0,1.0121907813100168,1.0121907813100168,0,1.0,1.0121907813100168,1.0121907813100168
2010-09-13,1.0122890932001225,0.0,1.0122890932001225,1.0122890932001225,0,1.0,1.0122890932001225,1.0122890932001225
2010-09-14,1.0123874146390484,0.0,1.0123874146390484,1.0123874146390484,0,1.0,1.0123874146390484,1.0123874146390484
2010-09-15,1.0124857456277219,0.0,1.0124857456277219,1.0124857456277219,0,1.0,1.0124857456277219,1.0124857456277219
2010-09-16,1.0125840861670705,0.0,1.0125840861670705,1.0125840861670705,0,1.0,1.0125840861670705,1.0125840861670705
2010-09-17,1.012682436258022,0.0,1.012682436258022,1.012682436258022,0,1.0,1.012682436258022,1.012682436258022
2010-09-20,1.012780795901504,0.0,1.012780795901504,1.012780795901504,0,1.0,1.012780795901504,1.012780795901504
2010-09-24,1.0128791650984443,0.0,1.0128791650984443,1.0128791650984443,0,1.0,1.0128791650984443,1.0128791650984443
2010-09-27,1.0129775438497708,0.0,1.0129775438497708,1.0129775438497708,0,1.0,1.0129775438497708,1.0129775438497708
2010-09-28,1.0130759321564116,0.0,1.0130759321564116,1.0130759321564116,0,1.0,1.0130759321564116,1.0130759321564116
2010-09-29,1.0131743300192946,0.0,1.0131743300192946,1.0131743300192946,0,1.0,1.0131743300192946,1.0131743300192946
2010-09-30,1.0132727374393482,0.0,1.0132727374393482,1.0132727374393482,0,1.0,1.0132727374393482,1.0132727374393482
2010-10-01,1.0133762935996111,0.0,1.0133762935996111,1.0133762935996111,0,1.0,1.0133762935996111,1.0133762935996111
2010-10-04,1.0134798603432815,0.0,1.0134798603432815,1.0134798603432815,0,1.0,1.0134798603432815,1.0134798603432815
2010-10-05,1.0135834376714412,0.0,1.0135834376714412,1.0135834376714412,0,1.0,1.0135834376714412,1.0135834376714412
2010-10-06,1.0136870255851718,0.0,1.0136870255851718,1.0136870255851718,0,1.0,1.0136870255851718,1.0136870255851718
2010-10-07,1.013790624085555,0.0,1.013790624085555,1.013790624085555,0,1.0,1.013790624085555,1.013790624085555
2010-10-08,1.0138942331736729,0.0,1.0138942331736729,1.0138942331736729,0,1.0,1.0138942331736729,1.0138942331736729
2010-10-11,1.0139978528506075,0.0,1.0139978528506075,1.0139978528506075,0,1.0,1.0139978528506075,1.0139978528506075
2010-10-12,1.014101483117441,0.0,1.014101483117441,1.014101483117441,0,1.0,1.014101483117441,1.014101483117441
2010-10-13,1.0142051239752559,0.0,1.0142051239752559,1.0142051239752559,0,1.0,1.0142051239752559,1.0142051239752559
2010-10-14,1.0143087754251343,0.0,1.0143087754251343,1.0143087754251343,0,1.0,1.0143087754251343,1.0143087754251343
2010-10-15,1.014412437468159,0.0,1.014412437468159,1.014412437468159,0,1.0,1.014412437468159,1.014412437468159
2010-10-18,1.014516110105412,0.0,1.014516110105412,1.014516110105412,0,1.0,1.014516110105412,1.014516110105412
2010-10-19,1.0146197933379768,0.0,1.0146197933379768,1.0146197933379768,0,1.0,1.0146197933379768,1.0146197933379768
2010-10-20,1.014723487166936,0.0,1.014723487166936,1.014723487166936,0,1.0,1.014723487166936,1.014723487166936
2010-10-21,1.0148271915933722,0.0,1.0148271915933722,1.0148271915933722,0,1.0,1.0148271915933722,1.0148271915933722
2010-10-22,1.0149309066183687,0.0,1.0149309066183687,1.0149309066183687,0,1.0,1.0149309066183687,1.0149309066183687
2010-10-25,1.0150346322430088,0.0,1.0150346322430088,1.0150346322430088,0,1.0,1.0150346322430088,1.0150346322430088
2010-10-26,1.0151383684683757,0.0,1.0151383684683757,1.0151383684683757,0,1.0,1.0151383684683757,1.0151383684683757
2010-10-27,1.0152421152955526,0.0,1.0152421152955526,1.0152421152955526,0,1.0,1.0152421152955526,1.0152421152955526
