date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2023-11-02,0.0,1.5278435475339749,1.5278435475339749,1.5278435475339749,5,1.2142520283036542,1.5278435475339749,1.258259003831698
2023-11-03,0.0,1.5387671737225197,1.5387671737225197,1.5387671737225197,5,1.2229335685551286,1.5387671737225197,1.258259003831698
2023-11-06,0.0,1.6890844837652843,1.6890844837652843,1.6890844837652843,5,1.3423980902354922,1.6890844837652843,1.258259003831698
2023-11-07,0.0,1.613736674883609,1.613736674883609,1.613736674883609,5,1.2825154995667798,1.613736674883609,1.258259003831698
2023-11-08,0.0,1.5937561858525695,1.5937561858525695,1.5937561858525695,5,1.2666360272401809,1.5937561858525695,1.258259003831698
2023-11-09,0.0,1.5881887244372082,1.5881887244372082,1.5881887244372082,5,1.2622112932240466,1.5881887244372082,1.258259003831698
2023-11-10,0.0,1.5776700369538843,1.5776700369538843,1.5776700369538843,5,1.253851577576241,1.5776700369538843,1.258259003831698
2023-11-13,0.0,1.583696306266075,1.583696306266075,1.583696306266075,5,1.2586409486785652,1.583696306266075,1.258259003831698
2023-11-14,0.0,1.6065933155515733,1.6065933155515733,1.6065933155515733,5,1.2768383223637696,1.6065933155515733,1.258259003831698
2023-11-15,0.0,1.6414822435828749,1.6414822435828749,1.6414822435828749,5,1.304566260669839,1.6414822435828749,1.258259003831698
2023-11-16,0.0,1.6290546613576804,1.6290546613576804,1.6290546613576804,5,1.2946894529638344,1.6290546613576804,1.258259003831698
2023-11-17,0.0,1.6075653201144562,1.6075653201144562,1.6075653201144562,5,1.2776108219524258,1.6075653201144562,1.258259003831698
2023-11-20,0.0,1.6243921115605051,1.6243921115605051,1.6243921115605051,5,1.2909838964901856,1.6243921115605051,1.258259003831698
2023-11-21,0.0,1.6306823217131654,1.6306823217131654,1.6306823217131654,5,1.2959830342936944,1.6306823217131654,1.258259003831698
2023-11-22,0.0,1.6237032814973495,1.6237032814973495,1.6237032814973495,5,1.2904364495328757,1.6237032814973495,1.258259003831698
2023-11-23,0.0,1.6246491396662701,1.6246491396662701,1.6246491396662701,5,1.2911881693028437,1.6246491396662701,1.258259003831698
2023-11-24,0.0,1.6043392616906778,1.6043392616906778,1.6043392616906778,5,1.2750469154642112,1.6043392616906778,1.258259003831698
2023-11-27,0.0,1.5991070839358008,1.5991070839358008,1.5991070839358008,5,1.270888647779304,1.5991070839358008,1.258259003831698
2023-11-28,0.0,1.6251745464419116,1.6251745464419116,1.6251745464419116,5,1.2916057357768698,1.6251745464419116,1.258259003831698
2023-11-29,0.0,1.6343837957476166,1.6343837957476166,1.6343837957476166,5,1.2989247768309458,1.6343837957476166,1.258259003831698
2023-11-30,0.0,1.6477794500989258,1.6477794500989258,1.6477794500989258,5,1.3095709588256832,1.6477794500989258,1.258259003831698
