ticker,rcept_dt,official_status_category,report_nm,rcept_no,w001_tradable_state,reconciliation_class
057880,2022-04-04,delisting,기타시장안내(상장폐지관련 이의신청서 접수 및 개선기간 부여),20220404900871,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
382480,2022-04-04,resumption_related,주권매매거래정지해제(액면분할 주권 변경상장),20220404900632,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
053110,2022-04-04,suspension_related,주권매매거래정지기간변경(회생절차 개시신청),20220404900550,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
182690,2022-04-04,suspension_related,주권매매거래정지기간변경(회생절차 개시신청 사유 해소),20220404900389,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
232680,2022-04-04,suspension_related,주권매매거래정지(무상증자),20220404900277,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
225850,2022-04-01,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 사유 발생),20220401600890,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
343090,2022-04-01,suspension_related,"주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",20220401600885,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
084440,2022-04-01,suspension_related,"주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",20220401600880,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
297090,2022-04-01,suspension_related,주권매매거래정지(무상증자),20220401900581,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
270020,2022-04-01,resumption_related,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),20220401600558,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
270020,2022-04-01,delisting,기타시장안내(상장폐지 관련),20220401600548,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
134780,2019-03-29,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190329904001,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
134780,2019-03-29,delisting,기타시장안내(상장폐지 관련 안내),20190329903999,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
056730,2019-03-29,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190329903850,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065160,2019-03-29,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190329903820,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
079190,2019-03-29,other,소송등의판결ㆍ결정(직무집행정지 및 직무대행자선임 가처분),20190329902962,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
079190,2019-03-29,other,소송등의판결ㆍ결정(직무집행정지 및 직무대행자선임 가처분),20190329902950,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
079190,2019-03-29,other,소송등의판결ㆍ결정(직무집행정지 및 직무대행자선임 가처분),20190329902936,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
112240,2019-03-29,delisting,기타시장안내(상장폐지 관련 안내),20190329902483,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
002250,2019-03-29,delisting,투자유의안내(상장폐지기준 해당),20190329801058,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
140910,2019-03-29,other,부동산투자회사자산관리위탁계약변경,20190329800933,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
112240,2019-03-29,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190329900517,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
053950,2019-03-28,delisting,기타시장안내(상장폐지 관련),20190328901620,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
108860,2019-03-28,delisting,기타시장안내(상장폐지 관련),20190328901619,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
053950,2019-03-28,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190328901617,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
052770,2019-03-28,delisting,기타시장안내(상장폐지 관련),20190328901608,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
052770,2019-03-28,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190328901604,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
078160,2019-03-28,other,기타시장안내(연구개발기업 상장관리 특례적용 관련),20190328901601,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
083660,2019-03-28,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),20190328901592,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
108860,2019-03-28,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190328901597,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
220110,2019-03-28,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190328601590,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
046070,2019-03-28,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190328901583,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
145210,2019-03-28,delisting,투자유의안내(상장폐지기준 해당),20190328801582,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
007530,2019-03-28,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190328901578,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
112240,2019-03-28,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190328900502,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
104540,2019-03-28,delisting,기타시장안내(상장폐지 관련),20190328900401,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
104540,2019-03-28,suspension_related,주권매매거래정지기간변경( 상장폐지 사유 발생),20190328900081,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
104540,2019-03-27,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190327901852,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
094190,2019-03-27,delisting,기타시장안내(상장폐지 관련),20190327901848,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
094190,2019-03-27,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190327901847,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
161570,2019-03-27,suspension_related,주권매매거래정지(불성실공시법인 지정),20190327901838,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
123260,2019-03-27,delisting,기타시장안내(상장폐지 사유 발생),20190327901834,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
123260,2019-03-27,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190327901831,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
123260,2019-03-27,delisting,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,20190327901818,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
