correction_rcept_no,correction_rcept_dt,stock_code,corp_code,corp_name,correction_report_nm,event_category,pass1_link_confidence,pass2_link_confidence,pass2_cross_category,pass2_raw_pool,pass2_long_window,n_cands_730d,root_cause,notes
20210217900273,2021-02-17,069410,415707,엔텔스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20210217900264,2021-02-17,069410,415707,엔텔스,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20210120900703,2021-01-20,087730,496225,이엠네트웍스,[기재정정]주권매매거래정지기간변경(회생절차 개시신청),suspension_related,no_link,low,False,False,False,11,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20210104900051,2021-01-04,016670,125725,디모아,[기재정정]주권매매거래정지(상장적격성 실질심사 대상 (사유발생)),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20231207900088,2023-12-07,386580,1572489,한화플러스제2호기업인수목적,[기재정정]주권매매거래정지(SPAC 합병(예비심사청구대상)),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20231205900605,2023-12-05,302550,1275665,리메드,"[기재정정]주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20191230800862,2019-12-30,004920,127158,씨아이테크,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20191004900529,2019-10-04,035480,255141,글로앤웰,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),resumption_related,no_link,high,False,False,False,11,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20240328800097,2024-03-28,005110,163716,한창,[기재정정]매매거래정지및정지해제(풍문등조회공시)              ,resumption_related,no_link,medium,False,False,True,1,window_too_short,candidate at 265d (pass-1 used 180d)
20240214901016,2024-02-14,222160,1037542,NPX,[기재정정]주권매매거래정지              (상장적격성 실질심사 대상(사유대상)),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20200907900245,2020-09-07,057880,410739,푸른소나무,[기재정정]주권매매거래정지(단일판매공급계약),suspension_related,no_link,low,False,False,False,3,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20200904900564,2020-09-04,083640,475976,인콘,"[기재정정]주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",suspension_related,no_link,no_link,False,False,False,1,window_too_short,candidate at 499d (pass-1 used 180d)
20200814902049,2020-08-14,039310,264671,세중,[기재정정]주권매매거래정지(상장적격성 실질심사 대상 (사유발생)),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20200805900060,2020-08-05,044180,111218,KD,[기재정정]기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내),suspension_related,no_link,high,False,False,False,13,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20200728800110,2020-07-28,145210,453488,다이나믹디자인,[기재정정]채권은행등의관리절차해제,resumption_related,no_link,no_link,False,False,False,1,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
