date,cash,mtm_value,gross_value,net_value,n_positions
2018-06-12,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-14,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-15,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-18,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-19,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-20,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-21,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-22,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-25,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-26,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-27,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-28,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-29,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-02,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-03,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-04,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-05,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-06,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-09,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-10,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-11,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-12,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-13,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-16,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-17,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-18,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-19,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-20,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-23,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-24,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-25,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-26,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-27,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-30,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-07-31,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-01,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-02,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-03,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-06,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-07,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-08,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-09,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-10,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-13,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-14,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-16,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-17,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-20,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-21,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-22,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-23,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-24,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-27,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-28,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-29,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-30,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-08-31,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-09-03,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-09-04,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-09-05,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
