ticker,name,event_count,event_types,correction_count,cancellation_count
138930,BNK금융지주,107,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,6,0
267250,HD현대,107,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,25,0
006840,AK홀딩스,105,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,15,0
005380,현대자동차,104,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|quarterly_dividend|value_up_plan,10,0
011790,SKC,104,buyback_acquisition|buyback_disposal|cash_dividend,39,0
005490,POSCO홀딩스,102,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,10,0
002020,코오롱,100,buyback_acquisition|buyback_disposal|cash_dividend,15,0
000100,유한양행,97,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,0,0
006800,미래에셋증권,97,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,16,0
030200,케이티,94,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
012330,현대모비스,93,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,11,0
012450,한화에어로스페이스,93,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,43,0
019680,대교,93,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,1,0
035720,카카오,93,buyback_acquisition|buyback_disposal|cash_dividend,18,0
004080,신흥,92,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,7,0
017670,SK텔레콤,92,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,7,0
000150,두산,90,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,22,0
068270,셀트리온,90,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
000660,SK하이닉스,89,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
060980,HL홀딩스,89,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,14,0
081660,미스토홀딩스,87,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,12,0
078930,GS,84,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,32,0
023450,동남합성,83,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
139130,iM금융지주,81,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,14,0
268280,미원에스씨,81,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,2,0
316140,우리금융지주,81,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|quarterly_dividend|value_up_plan,9,0
094280,효성 ITX,80,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,3,0
100250,진양홀딩스,79,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,14,0
058650,세아홀딩스,78,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,15,0
000640,동아쏘시오홀딩스,76,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,11,0
009830,한화솔루션,76,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,26,0
003540,대신증권,75,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,2,0
005440,현대지에프홀딩스,75,buyback_acquisition|buyback_retirement|cash_dividend|value_up_plan,11,0
090430,아모레퍼시픽,74,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,6,0
194370,제이에스코퍼레이션,74,buyback_acquisition|buyback_disposal|cash_dividend,6,0
180640,한진칼,72,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,30,0
005930,삼성전자,71,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,3,0
241560,두산밥캣,71,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
000880,한화,70,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,34,0
001740,SK네트웍스,70,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,13,0
033780,케이티앤지,69,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,10,0
000320,노루홀딩스,68,buyback_acquisition|cash_dividend,5,0
017370,우신시스템,68,buyback_acquisition|cash_dividend,0,0
018670,SK가스,68,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,22,0
001630,종근당홀딩스,66,buyback_acquisition|buyback_disposal|cash_dividend,3,0
002030,아세아,66,buyback_acquisition|buyback_retirement|cash_dividend,3,0
008060,대덕,66,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
010060,OCI홀딩스,66,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,17,0
139480,이마트,66,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,9,0
003670,포스코퓨처엠,65,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,26,0
012610,경인양행,65,buyback_acquisition|buyback_disposal|cash_dividend,0,0
000270,기아,64,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,10,0
001940,KISCO홀딩스,63,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,1,0
051910,LG화학,63,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,24,0
071050,한국금융지주,62,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,3,0
003090,대웅,61,buyback_acquisition|buyback_disposal|cash_dividend,6,0
010130,고려아연,61,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,15,0
015360,INVENI,61,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,15,0
016450,한세예스24홀딩스,61,buyback_acquisition|buyback_disposal|cash_dividend,10,0
097950,CJ제일제당,61,buyback_acquisition|buyback_disposal|cash_dividend,11,0
021240,코웨이,59,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,4,0
035150,백산,59,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,6,0
122900,아이마켓코리아,59,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,6,0
001720,신영증권,58,buyback_acquisition|buyback_disposal|cash_dividend,1,0
018880,한온시스템,58,buyback_acquisition|buyback_disposal|cash_dividend,6,0
095570,AJ네트웍스,58,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,13,0
017800,현대엘리베이터,57,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,10,0
181710,NHN,57,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,6,0
013570,디와이,56,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,6,0
034830,한국토지신탁,56,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,11,0
042700,한미반도체,56,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,2,0
352820,하이브,56,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,19,0
001570,금양,55,buyback_acquisition|buyback_disposal|cash_dividend,25,0
096760,JW홀딩스,55,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,5,0
383800,LX홀딩스,54,buyback_acquisition|cash_dividend,12,0
002380,케이씨씨,53,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,5,0
009540,HD한국조선해양,53,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,16,0
024720,콜마홀딩스,53,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,2,0
272210,한화시스템,53,buyback_acquisition|cash_dividend|value_up_plan,21,0
003850,보령,52,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,1,0
064960,SNT모티브,52,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,2,0
