date,signal_plus_gate_value,signal_only_value,gate_only_value,cash_value
2019-11-25,0.6493657961927206,0.5946556483886523,0.4660025915855529,1.0
2019-11-26,0.6513451502232837,0.5964682385708788,0.4637827105905291,1.0
2019-11-27,0.6436703570207913,0.5894400594536513,0.46731909958022455,1.0
2019-11-28,0.640666336413985,0.586689132576268,0.46696001602019965,1.0
2019-11-29,0.6352869769146419,0.5817629930569486,0.45894479246464037,1.0
2019-12-02,0.6330243040009075,0.579690954097462,0.4539968501917925,1.0
2019-12-03,0.6297223120541514,0.576667160460962,0.45225929315805524,1.0
2019-12-04,0.6167385006506229,0.5647772567514826,0.45144431858917783,1.0
2019-12-05,0.6171356726449422,0.56514096634505,0.4486815532084577,1.0
2019-12-06,0.6090212858194736,0.5577102300983696,0.4543280481001234,1.0
2019-12-09,0.6091517067718917,0.5578296628687446,0.45372491930634673,1.0
2019-12-10,0.6119555044087122,0.5603972358938424,0.45484434688464415,1.0
2019-12-11,0.6145312405780057,0.5627559620091643,0.4541927669057103,1.0
2019-12-12,0.6213692847928022,0.569017889631818,0.46159759481942675,1.0
2019-12-13,0.6203986094283801,0.5681289952804256,0.4712810927159319,1.0
2019-12-16,0.614914626926644,0.5631070474206175,0.47394899340750196,1.0
2019-12-17,0.6113617975597428,0.5598535498338318,0.4848299280116556,1.0
2019-12-18,0.6080150410595712,0.5567887631321939,0.48394026102748855,1.0
2019-12-19,0.610445224553251,0.5590141996267786,0.48496870914205603,1.0
2019-12-20,0.6151765086773691,0.5633468651985115,0.48953415241485077,1.0
2019-12-23,0.6205921375709238,0.5683062183552534,0.49395851710373795,1.0
2019-12-24,0.618197738202205,0.5661135511136172,0.4894373540098953,1.0
2019-12-26,0.616749012011586,0.5647868825128105,0.48989992160138507,1.0
2019-12-27,0.6199467392679358,0.5677151959321532,0.4970295530541141,1.0
2019-12-30,0.6250863348348783,0.5724217720289069,0.49631085005814835,1.0
2020-01-02,0.6192864192988107,0.5671105090180928,0.4811211464898736,1.0
2020-01-03,0.6165474570398538,0.5646023088824963,0.4778374580933048,1.0
2020-01-06,0.6150201275808365,0.5632036594693177,0.47485132982529765,1.0
2020-01-07,0.6325913362831959,0.5792944646294583,0.47964508332457945,1.0
2020-01-08,0.6155498031246369,0.5636887089680607,0.4775826136314628,1.0
2020-01-09,0.629732048713851,0.5766760767908936,0.48570610342891185,1.0
2020-01-10,0.6428348405851282,0.5886749366659279,0.49371273299304397,1.0
2020-01-13,0.6564180381560524,0.6011137272618239,0.4983292035204345,1.0
2020-01-14,0.6619327835755605,0.6061638462124437,0.4992294992357593,1.0
2020-01-15,0.6568906214354514,0.601546494614347,0.4948678859447576,1.0
2020-01-16,0.6606419449472201,0.6049817628843333,0.5074657686710419,1.0
2020-01-17,0.6625417404370952,0.6067214974461104,0.5081285126450907,1.0
2020-01-20,0.6556185611720551,0.6003816075427182,0.5088754243440141,1.0
2020-01-21,0.6494661053011831,0.5947475063063433,0.5028081297356978,1.0
2020-01-22,0.6491753090217378,0.5944812100968391,0.5199747230397034,1.0
2020-01-23,0.6439164866350321,0.589665452238081,0.5200994410445704,1.0
2020-01-28,0.6169752159595296,0.5649940284021155,0.5145456302910977,1.0
2020-01-29,0.6137940469331806,0.5620808781543706,0.5168867199752396,1.0
2020-01-30,0.6034433194466806,0.5526022166648727,0.5077203461723595,1.0
2020-01-31,0.5951867735164755,0.5450412984543435,0.5012244983150568,1.0
2020-02-03,0.5934197209581504,0.5434231230114714,0.50557830575098,1.0
2020-02-04,0.6039182656395423,0.5530371478514715,0.516052946315711,1.0
2020-02-05,0.5998369617502725,0.5492997005993226,0.5178219221611924,1.0
2020-02-06,0.6040034523066194,0.5531151574002393,0.5363032397844792,1.0
2020-02-07,0.5945329778762211,0.5444425861836008,0.5348907787715318,1.0
2020-02-10,0.5940468732626336,0.5439974366917716,0.5369953545798722,1.0
2020-02-11,0.6140144298898692,0.5622826934806103,0.540669800683439,1.0
2020-02-12,0.6202501164456176,0.5679930130783043,0.5455454746006607,1.0
2020-02-13,0.6121423511346729,0.560568340472541,0.5453198543659393,1.0
2020-02-14,0.5967813872370601,0.546501563318204,0.5513866674797521,1.0
2020-02-17,0.5981286022716609,0.5477352732466315,0.5507199796378299,1.0
2020-02-18,0.596519193500386,0.5462614598396958,0.5416826760256191,1.0
2020-02-19,0.6022801299961901,0.5515370278591842,0.5404371528992358,1.0
2020-02-20,0.5961852986425861,0.5459556961787069,0.5434805125096943,1.0
2020-02-21,0.5988150799288079,0.5483639140200156,0.535056320327264,1.0
2020-02-24,0.5677506078292165,0.519916675334038,0.5095301555579265,1.0
2020-02-25,0.5828911983132223,0.5337816459011966,0.5186846880084307,1.0
2020-02-26,0.5915786126996289,0.5417371311842493,0.5097989990745343,1.0
2020-02-27,0.5824618480548145,0.5333884691157788,0.5022770095907029,1.0
2020-02-28,0.5505191366951485,0.5041369842873065,0.4809340714009879,1.0
2020-03-02,0.5506721679469581,0.5026659882748965,0.4825539665333805,1.0
2020-03-03,0.5528129330868399,0.4993669793024521,0.4825539665333805,1.0
2020-03-04,0.5528129330868399,0.5174078375943071,0.4825539665333805,1.0
2020-03-05,0.5531909801867001,0.5230968700692757,0.481796166401429,1.0
2020-03-06,0.5422586150458819,0.5124854492203027,0.47399844335324764,1.0
2020-03-09,0.5105637745798365,0.4871096758910213,0.45264040759283397,1.0
2020-03-10,0.5109386081826262,0.4850941592331549,0.44909756874135104,1.0
2020-03-11,0.5102648610299839,0.4732480254785443,0.44909756874135104,1.0
2020-03-12,0.4968955740506821,0.4591388982294899,0.44909756874135104,1.0
2020-03-13,0.47914265803233214,0.43235579974671157,0.44909756874135104,1.0
2020-03-16,0.480806274160594,0.4127989067334741,0.44909756874135104,1.0
2020-03-17,0.480806274160594,0.40818596860785344,0.44909756874135104,1.0
2020-03-18,0.480806274160594,0.37771951309388874,0.44909756874135104,1.0
2020-03-19,0.480806274160594,0.3237794616258041,0.44909756874135104,1.0
2020-03-20,0.480806274160594,0.346081634223724,0.44909756874135104,1.0
2020-03-23,0.480806274160594,0.3296997681566717,0.44909756874135104,1.0
2020-03-24,0.480806274160594,0.3528312832080708,0.44909756874135104,1.0
