portfolio,candidate,period,component,target_weight,return_contribution,component_total_return_krw,component_total_return_usd,fx_contribution_estimate
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,FX_estimate_total,,-0.14166822616033525,,,-0.14166822616033525
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,rebalance_effect,,-0.11388446775089212,,,
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,total,1.0,0.9973421083041383,0.9973421083041383,,-0.14166822616033525
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,QQQ,0.21,0.7818469568489428,5.565093020156376,3.7105555105240633,0.3894528770227857
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,SPY,0.29,0.8424296531060268,3.358271079318224,2.1271267270712815,0.35703186215161337
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,H001,0.2,0.7234372313190106,2.5482855102379607,,0.0
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,IEF,0.3,0.219479456965775,0.5095105048235857,0.0830970718707853,0.12792402988584012
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,FX_estimate_total,,0.8744087690602391,,,0.8744087690602391
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,rebalance_effect,,-0.23788510249003814,,,
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2018_2026,total,1.0,2.567193298239754,2.567193298239754,,0.8744087690602391
