ticker,sector_code,sector_name,n_rows,start_date,end_date,foreign_net_buy_amount_missing_pct,foreign_net_buy_shares_missing_pct,institution_net_buy_amount_missing_pct,institution_net_buy_shares_missing_pct,traded_value_missing_pct,traded_value_zero_pct,market_cap_missing_pct,market_cap_zero_pct,daily_return_missing_pct,panel_rows,krx_close_missing_pct,krx_close_zero_pct,open_missing_pct,open_zero_pct,panel_traded_value_missing_pct,panel_traded_value_zero_pct,panel_market_cap_missing_pct,panel_market_cap_zero_pct
012410,1.0,반도체/IT하드웨어,9,2012-12-27,2013-03-13,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,852,0.0,0.0,0.0,7.159624,0.0,7.159624,0.0,0.0
013240,1.0,반도체/IT하드웨어,1,2010-03-26,2010-03-26,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,0.0,14.018692,0.0,14.018692,0.0,0.0
014820,1.0,반도체/IT하드웨어,26,2014-09-25,2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2962,0.0,0.0,0.0,0.675219,0.0,0.675219,0.0,0.0
014910,1.0,반도체/IT하드웨어,159,2010-08-03,2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3281,0.0,0.0,0.0,0.030479,0.0,0.030479,0.0,0.0
015260,1.0,반도체/IT하드웨어,189,2010-04-06,2022-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2718,0.0,0.0,0.0,0.404709,0.0,0.404709,0.0,0.0
015540,1.0,반도체/IT하드웨어,63,2015-10-02,2021-03-17,71.428571,71.428571,71.428571,71.428571,0.0,0.0,0.0,0.0,0.0,1983,0.0,0.0,0.0,10.438729,0.0,10.438729,0.0,0.0
017040,1.0,반도체/IT하드웨어,320,2010-01-12,2026-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527,0.0,0.0,0.0,0.510349,0.0,0.510349,0.0,0.0
017300,1.0,반도체/IT하드웨어,29,2010-01-12,2010-03-17,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,12.676056,0.0,12.676056,0.0,0.0
017900,1.0,반도체/IT하드웨어,67,2010-10-12,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3286,0.0,0.0,0.0,0.060864,0.0,0.060864,0.0,0.0
019180,1.0,반도체/IT하드웨어,25,2012-05-16,2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019490,1.0,반도체/IT하드웨어,22,2016-01-08,2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055,0.0,0.0,0.0,5.40146,0.0,5.40146,0.0,0.0
020150,1.0,반도체/IT하드웨어,1448,2011-03-04,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020760,1.0,반도체/IT하드웨어,183,2010-02-18,2025-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283,0.0,0.0,0.0,4.690832,0.0,4.690832,0.0,0.0
025540,1.0,반도체/IT하드웨어,15,2011-11-02,2024-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026890,1.0,반도체/IT하드웨어,445,2011-03-03,2024-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
029530,1.0,반도체/IT하드웨어,6,2013-09-10,2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
033180,1.0,반도체/IT하드웨어,568,2012-07-16,2023-02-03,4.577465,4.577465,4.577465,4.577465,0.0,0.0,0.0,0.0,0.0,3207,0.0,0.0,0.0,5.612722,0.0,5.612722,0.0,0.0
033240,1.0,반도체/IT하드웨어,186,2011-10-05,2026-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
034220,1.0,반도체/IT하드웨어,3535,2010-01-04,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
044380,1.0,반도체/IT하드웨어,113,2012-06-20,2022-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2962,0.0,0.0,0.0,0.540176,0.0,0.540176,0.0,0.0
062040,1.0,반도체/IT하드웨어,360,2024-07-29,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066570,1.0,반도체/IT하드웨어,4019,2010-01-04,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
090460,1.0,반도체/IT하드웨어,91,2023-06-20,2026-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
092220,1.0,반도체/IT하드웨어,345,2010-01-04,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.423841,0.0,0.423841,0.0,0.0
093230,1.0,반도체/IT하드웨어,274,2012-05-30,2023-05-12,29.927007,29.927007,29.927007,29.927007,0.0,0.0,0.0,0.0,0.0,3207,0.0,0.0,0.0,5.862176,0.0,5.862176,0.0,0.0
097520,1.0,반도체/IT하드웨어,26,2021-07-26,2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103130,1.0,반도체/IT하드웨어,312,2010-06-30,2019-03-26,94.871795,94.871795,94.871795,94.871795,0.0,0.0,0.0,0.0,0.0,2098,0.0,0.0,0.0,9.00858,0.0,9.00858,0.0,0.0
103590,1.0,반도체/IT하드웨어,458,2010-01-18,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105840,1.0,반도체/IT하드웨어,235,2010-07-26,2026-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108320,1.0,반도체/IT하드웨어,95,2022-11-04,2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
