ticker,concept,period_type,count,lag_min,lag_median,lag_max
AMZN,Buybacks,annual,8,29,31,38
AMZN,Buybacks,other,0,,,
AMZN,Cash,quarterly,90,22,31,120
AMZN,Cash,annual,17,28,32,41
AMZN,Cash,other,0,,,
AMZN,LongTermDebt,quarterly,57,22,29,120
AMZN,LongTermDebt,annual,17,28,32,41
AMZN,LongTermDebt,other,0,,,
AMZN,TotalLiabilities,quarterly,65,22,28,120
AMZN,TotalLiabilities,annual,17,28,32,41
AMZN,TotalLiabilities,other,0,,,
AMZN,EPS_Basic,quarterly,51,22,27,35
AMZN,EPS_Basic,annual,39,28,122,225
AMZN,EPS_Basic,other,0,,,
AMZN,EPS_Diluted,quarterly,51,22,27,35
AMZN,EPS_Diluted,annual,39,28,122,225
AMZN,EPS_Diluted,other,0,,,
AMZN,CapEx,quarterly,47,22,27,35
AMZN,CapEx,annual,16,28,32,41
AMZN,CapEx,other,0,,,
AMZN,Shares,quarterly,65,22,28,120
AMZN,Shares,annual,39,28,122,225
AMZN,Shares,other,0,,,
AMZN,Dividends,quarterly,0,,,
AMZN,Dividends,annual,0,,,
AMZN,Dividends,other,0,,,
META,Revenue,quarterly,42,23,29,36
META,Revenue,annual,14,28,31,34
META,Revenue,other,0,,,
META,NetIncome,quarterly,42,23,29,36
META,NetIncome,annual,16,28,31,218
META,NetIncome,other,0,,,
META,OperatingIncome,quarterly,42,23,29,36
META,OperatingIncome,annual,14,28,31,34
META,OperatingIncome,other,0,,,
META,StockholdersEquity,quarterly,59,23,31,120
META,StockholdersEquity,annual,14,28,31,34
META,StockholdersEquity,other,0,,,
META,Assets,quarterly,52,23,30,120
META,Assets,annual,16,28,31,218
META,Assets,other,0,,,
META,CFO,quarterly,42,23,29,36
META,CFO,annual,16,28,31,218
META,CFO,other,0,,,
META,Buybacks,quarterly,28,25,29,34
META,Buybacks,annual,9,28,31,34
META,Buybacks,other,0,,,
META,Cash,quarterly,52,23,30,120
META,Cash,annual,14,28,31,34
META,Cash,other,0,,,
META,LongTermDebt,quarterly,17,25,31,120
META,LongTermDebt,annual,6,29,31,33
META,LongTermDebt,other,0,,,
META,TotalLiabilities,quarterly,52,23,30,120
META,TotalLiabilities,annual,16,28,31,218
META,TotalLiabilities,other,0,,,
META,EPS_Basic,quarterly,42,23,29,36
META,EPS_Basic,annual,16,28,31,218
META,EPS_Basic,other,0,,,
META,EPS_Diluted,quarterly,42,23,29,36
META,EPS_Diluted,annual,16,28,31,218
META,EPS_Diluted,other,0,,,
META,CapEx,quarterly,42,23,29,36
META,CapEx,annual,14,28,31,34
META,CapEx,other,0,,,
META,Shares,quarterly,42,23,29,36
META,Shares,annual,16,28,31,218
META,Shares,other,0,,,
META,Dividends,quarterly,7,25,31,32
META,Dividends,annual,4,29,75,213
META,Dividends,other,0,,,
NVDA,Revenue,quarterly,50,18,24,37
NVDA,Revenue,annual,37,24,116,235
NVDA,Revenue,other,0,,,
NVDA,NetIncome,quarterly,51,18,24,114
NVDA,NetIncome,annual,37,24,116,235
NVDA,NetIncome,other,0,,,
NVDA,OperatingIncome,quarterly,50,18,24,37
NVDA,OperatingIncome,annual,17,24,31,47
NVDA,OperatingIncome,other,0,,,
NVDA,StockholdersEquity,quarterly,75,18,25,120
NVDA,StockholdersEquity,annual,17,24,31,47
NVDA,StockholdersEquity,other,0,,,
NVDA,Assets,quarterly,64,18,24,117
NVDA,Assets,annual,17,24,31,47
NVDA,Assets,other,0,,,
NVDA,CFO,quarterly,51,18,24,114
NVDA,CFO,annual,18,24,37,213
NVDA,CFO,other,0,,,
NVDA,Buybacks,quarterly,37,18,24,115
NVDA,Buybacks,annual,15,24,31,46
NVDA,Buybacks,other,0,,,
NVDA,Cash,quarterly,64,18,24,117
NVDA,Cash,annual,17,24,31,47
NVDA,Cash,other,0,,,
NVDA,LongTermDebt,quarterly,43,18,24,117
NVDA,LongTermDebt,annual,13,24,31,47
NVDA,LongTermDebt,other,0,,,
NVDA,TotalLiabilities,quarterly,64,18,24,117
NVDA,TotalLiabilities,annual,17,24,31,47
NVDA,TotalLiabilities,other,0,,,
NVDA,EPS_Basic,quarterly,51,18,24,114
NVDA,EPS_Basic,annual,37,24,116,235
NVDA,EPS_Basic,other,0,,,
NVDA,EPS_Diluted,quarterly,51,18,24,114
NVDA,EPS_Diluted,annual,37,24,116,235
NVDA,EPS_Diluted,other,0,,,
NVDA,CapEx,quarterly,37,18,24,31
NVDA,CapEx,annual,6,24,31,47
NVDA,CapEx,other,0,,,
NVDA,Shares,quarterly,51,18,24,114
NVDA,Shares,annual,18,24,37,213
NVDA,Shares,other,0,,,
NVDA,Dividends,quarterly,42,-68,24,115
NVDA,Dividends,annual,15,24,31,144
NVDA,Dividends,other,0,,,
BRK-B,Revenue,quarterly,50,31,36,41
BRK-B,Revenue,annual,39,55,149,246
BRK-B,Revenue,other,0,,,
BRK-B,NetIncome,quarterly,50,31,36,41
BRK-B,NetIncome,annual,39,55,149,246
BRK-B,NetIncome,other,0,,,
BRK-B,OperatingIncome,quarterly,50,31,36,41
BRK-B,OperatingIncome,annual,17,55,59,62
BRK-B,OperatingIncome,other,0,,,
BRK-B,StockholdersEquity,quarterly,50,31,36,41
BRK-B,StockholdersEquity,annual,17,55,59,62
BRK-B,StockholdersEquity,other,0,,,
BRK-B,Assets,quarterly,50,31,36,41
BRK-B,Assets,annual,17,55,59,62
BRK-B,Assets,other,0,,,
BRK-B,CFO,quarterly,50,31,36,41
BRK-B,CFO,annual,17,55,59,62
BRK-B,CFO,other,0,,,
BRK-B,Buybacks,quarterly,20,32,36,41
BRK-B,Buybacks,annual,8,55,57,60
BRK-B,Buybacks,other,0,,,
BRK-B,Cash,quarterly,50,31,36,41
BRK-B,Cash,annual,17,55,59,62
BRK-B,Cash,other,0,,,
BRK-B,LongTermDebt,quarterly,0,,,
BRK-B,LongTermDebt,annual,0,,,
BRK-B,LongTermDebt,other,0,,,
BRK-B,TotalLiabilities,quarterly,50,31,36,41
BRK-B,TotalLiabilities,annual,17,55,59,62
BRK-B,TotalLiabilities,other,0,,,
BRK-B,EPS_Basic,quarterly,3,36,37,37
BRK-B,EPS_Basic,annual,12,58,151,246
BRK-B,EPS_Basic,other,0,,,
BRK-B,EPS_Diluted,quarterly,0,,,
BRK-B,EPS_Diluted,annual,0,,,
BRK-B,EPS_Diluted,other,0,,,
BRK-B,CapEx,quarterly,50,31,36,41
BRK-B,CapEx,annual,17,55,59,62
BRK-B,CapEx,other,0,,,
BRK-B,Shares,quarterly,19,31,35,38
BRK-B,Shares,annual,6,58,60,62
BRK-B,Shares,other,0,,,
BRK-B,Dividends,quarterly,0,,,
BRK-B,Dividends,annual,0,,,
BRK-B,Dividends,other,0,,,
TSLA,Revenue,quarterly,45,23,33,45
TSLA,Revenue,annual,33,29,136,250
TSLA,Revenue,other,0,,,
TSLA,NetIncome,quarterly,45,23,33,45
TSLA,NetIncome,annual,35,29,136,250
TSLA,NetIncome,other,0,,,
TSLA,OperatingIncome,quarterly,45,23,33,45
TSLA,OperatingIncome,annual,15,29,50,66
TSLA,OperatingIncome,other,0,,,
TSLA,StockholdersEquity,quarterly,65,23,38,120
TSLA,StockholdersEquity,annual,15,29,50,66
TSLA,StockholdersEquity,other,0,,,
TSLA,Assets,quarterly,52,23,34,119
TSLA,Assets,annual,15,29,50,66
TSLA,Assets,other,0,,,
TSLA,CFO,quarterly,45,23,33,45
TSLA,CFO,annual,15,29,50,66
TSLA,CFO,other,0,,,
TSLA,Buybacks,quarterly,0,,,
TSLA,Buybacks,annual,0,,,
TSLA,Buybacks,other,0,,,
TSLA,Cash,quarterly,52,23,34,119
TSLA,Cash,annual,15,29,50,66
TSLA,Cash,other,0,,,
TSLA,LongTermDebt,quarterly,46,23,33,119
TSLA,LongTermDebt,annual,14,29,47,66
TSLA,LongTermDebt,other,0,,,
TSLA,TotalLiabilities,quarterly,52,23,34,119
TSLA,TotalLiabilities,annual,15,29,50,66
TSLA,TotalLiabilities,other,0,,,
TSLA,EPS_Basic,quarterly,29,23,26,40
TSLA,EPS_Basic,annual,31,29,136,244
TSLA,EPS_Basic,other,0,,,
TSLA,EPS_Diluted,quarterly,29,23,26,40
