ticker,concept,covered,matched_aliases
BRK-B,Buybacks,1,PaymentsForRepurchaseOfCommonStock
BRK-B,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
BRK-B,LongTermDebt,0,
BRK-B,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity
BRK-B,EPS_Basic,1,EarningsPerShareBasic
BRK-B,EPS_Diluted,0,
BRK-B,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
BRK-B,Shares,1,WeightedAverageNumberOfSharesOutstandingBasic
BRK-B,Dividends,0,
TSLA,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueGoodsNet
TSLA,NetIncome,1,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic
TSLA,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
TSLA,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
TSLA,Assets,1,Assets|AssetsCurrent
TSLA,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
TSLA,Buybacks,0,
TSLA,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
TSLA,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
TSLA,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
TSLA,EPS_Basic,1,EarningsPerShareBasic|IncomeLossFromContinuingOperationsPerBasicShare
TSLA,EPS_Diluted,1,EarningsPerShareDiluted|IncomeLossFromContinuingOperationsPerDilutedShare
TSLA,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
TSLA,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
TSLA,Dividends,0,
JPM,Revenue,1,Revenues|InterestAndDividendIncomeOperating
JPM,NetIncome,1,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic
JPM,OperatingIncome,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
JPM,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
JPM,Assets,1,Assets
JPM,CFO,1,NetCashProvidedByUsedInOperatingActivities
JPM,Buybacks,1,PaymentsForRepurchaseOfCommonStock
JPM,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|CashAndDueFromBanks
JPM,LongTermDebt,1,LongTermDebt
JPM,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity
JPM,EPS_Basic,1,EarningsPerShareBasic
JPM,EPS_Diluted,1,EarningsPerShareDiluted
JPM,CapEx,0,
JPM,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
JPM,Dividends,1,PaymentsOfDividends|CommonStockDividendsPerShareDeclared
V,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues
V,NetIncome,1,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic
V,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
V,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
V,Assets,1,Assets|AssetsCurrent
V,CFO,1,NetCashProvidedByUsedInOperatingActivities
V,Buybacks,1,PaymentsForRepurchaseOfCommonStock
V,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
V,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent|DebtLongtermAndShorttermCombinedAmount
V,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
V,EPS_Basic,0,
V,EPS_Diluted,0,
V,CapEx,1,PaymentsToAcquireProductiveAssets|CapitalExpendituresIncurredButNotYetPaid
V,Shares,0,
V,Dividends,1,PaymentsOfDividends|CommonStockDividendsPerShareDeclared
MA,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueNet
MA,NetIncome,1,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic
MA,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
MA,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
MA,Assets,1,Assets|AssetsCurrent
MA,CFO,1,NetCashProvidedByUsedInOperatingActivities
MA,Buybacks,1,PaymentsForRepurchaseOfCommonStock
MA,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
MA,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent|DebtLongtermAndShorttermCombinedAmount
MA,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
MA,EPS_Basic,1,EarningsPerShareBasic
MA,EPS_Diluted,1,EarningsPerShareDiluted
MA,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
MA,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic
MA,Dividends,1,PaymentsOfDividends|CommonStockDividendsPerShareDeclared
PG,Revenue,1,Revenues|SalesRevenueNet
PG,NetIncome,1,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic
PG,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
PG,StockholdersEquity,1,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
PG,Assets,1,Assets|AssetsCurrent
PG,CFO,1,NetCashProvidedByUsedInOperatingActivities
PG,Buybacks,1,PaymentsForRepurchaseOfCommonStock
PG,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
PG,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
PG,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
PG,EPS_Basic,1,EarningsPerShareBasic|IncomeLossFromContinuingOperationsPerBasicShare
PG,EPS_Diluted,1,EarningsPerShareDiluted|IncomeLossFromContinuingOperationsPerDilutedShare
PG,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
PG,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic
PG,Dividends,1,PaymentsOfDividends|CommonStockDividendsPerShareDeclared
JNJ,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueGoodsNet
JNJ,NetIncome,1,NetIncomeLoss|ProfitLoss
JNJ,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
JNJ,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
JNJ,Assets,1,Assets|AssetsCurrent
JNJ,CFO,1,NetCashProvidedByUsedInOperatingActivities
JNJ,Buybacks,1,PaymentsForRepurchaseOfCommonStock
JNJ,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|Cash
JNJ,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
JNJ,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
JNJ,EPS_Basic,1,EarningsPerShareBasic|IncomeLossFromContinuingOperationsPerBasicShare
JNJ,EPS_Diluted,1,EarningsPerShareDiluted|IncomeLossFromContinuingOperationsPerDilutedShare
JNJ,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
JNJ,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic
JNJ,Dividends,1,PaymentsOfOrdinaryDividends|CommonStockDividendsPerShareDeclared
HD,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueNet
HD,NetIncome,1,NetIncomeLoss
HD,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
HD,StockholdersEquity,1,StockholdersEquity
HD,Assets,1,Assets|AssetsCurrent
HD,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
HD,Buybacks,1,PaymentsForRepurchaseOfCommonStock
HD,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
HD,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
HD,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
HD,EPS_Basic,1,EarningsPerShareBasic|IncomeLossFromContinuingOperationsPerBasicShare
HD,EPS_Diluted,1,EarningsPerShareDiluted|IncomeLossFromContinuingOperationsPerDilutedShare
HD,CapEx,1,PaymentsToAcquireProductiveAssets
HD,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
HD,Dividends,1,PaymentsOfDividendsCommonStock|CommonStockDividendsPerShareDeclared
UNH,Revenue,1,Revenues|SalesRevenueGoodsNet
UNH,NetIncome,1,NetIncomeLoss|ProfitLoss
UNH,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
