signal,ticker,signal_date,execution_date,exit_date,holding_days,entry_price,exit_price,signal_value,gross_return,net_return,tax_paid_return
r1d_lt_m3_hold3,097950,2023-11-22,2024-01-08,2024-04-03,3,317000.0,317000.0,0.0,0.0,-0.006,0.0
r1d_lt_m3_hold3,020150,2024-09-06,2024-09-23,2024-12-18,3,38350.0,25900.0,0.0,-0.32464146023468055,-0.33064146023468055,0.0
r1d_lt_m3_hold3,000660,2018-03-28,2018-03-29,2018-04-02,3,80800.0,81300.0,0.0,0.006188118811881083,-0.0011732673267327556,0.001361386138613838
r1d_lt_m3_hold3,465770,2025-04-01,2025-04-03,2025-04-21,3,9680.0,9390.0,0.0,-0.029958677685950397,-0.035958677685950395,0.0
r1d_lt_m3_hold3,377300,2022-06-09,2022-06-10,2022-06-14,3,87800.0,77000.0,0.0,-0.12300683371298404,-0.12900683371298405,0.0
r1d_lt_m3_hold3,004020,2018-12-24,2018-12-26,2019-01-02,3,46000.0,44000.0,0.0,-0.04347826086956519,-0.04947826086956519,0.0
r1d_lt_m3_hold3,011150,2020-02-03,2020-02-10,2020-02-13,3,2745.0,2915.0,0.0,0.06193078324225865,0.042306010928961746,0.013624772313296903
r1d_lt_m3_hold3,055550,2024-04-02,2024-04-03,2024-04-05,3,44900.0,44100.0,0.0,-0.017817371937639215,-0.023817371937639213,0.0
r1d_lt_m3_hold3,267260,2024-03-05,2024-03-06,2024-03-08,3,128600.0,129400.0,0.0,0.0062208398133747345,-0.0011477449455677073,0.0013685847589424416
r1d_lt_m3_hold3,012450,2023-12-08,2023-12-11,2023-12-13,3,134400.0,125000.0,0.0,-0.06994047619047616,-0.07594047619047617,0.0
r1d_lt_m3_hold3,009150,2018-05-24,2018-05-25,2018-05-29,3,128000.0,129000.0,0.0,0.0078125,9.374999999999987e-05,0.00171875
r1d_lt_m3_hold3,051910,2024-03-12,2024-03-13,2024-03-15,3,452000.0,431000.0,0.0,-0.04646017699115046,-0.05246017699115046,0.0
r1d_lt_m3_hold3,082740,2025-10-01,2025-10-02,2025-10-13,3,49450.0,47200.0,0.0,-0.04550050556117291,-0.05150050556117291,0.0
r1d_lt_m3_hold3,042660,2018-03-14,2018-03-15,2018-03-20,3,25000.0,26650.0,0.0,0.06600000000000006,0.04548000000000005,0.014520000000000014
r1d_lt_m3_hold3,055550,2022-04-28,2022-04-29,2022-05-03,3,41700.0,41650.0,0.0,-0.0011990407673860837,-0.007199040767386084,0.0
r1d_lt_m3_hold3,035420,2021-10-25,2021-10-26,2021-10-28,3,402500.0,413000.0,0.0,0.026086956521739202,0.014347826086956578,0.005739130434782624
r1d_lt_m3_hold3,017670,2020-04-17,2020-04-20,2020-04-22,3,200000.0,214500.0,0.0,0.07250000000000001,0.05055,0.015950000000000002
r1d_lt_m3_hold3,042700,2023-06-01,2023-06-02,2023-06-07,3,27050.0,25000.0,0.0,-0.07578558225508314,-0.08178558225508314,0.0
r1d_lt_m3_hold3,004170,2022-12-16,2022-12-20,2022-12-28,3,211000.0,229000.0,0.0,0.08530805687203791,0.06054028436018956,0.01876777251184834
r1d_lt_m3_hold3,105560,2024-04-24,2024-04-25,2024-04-29,3,68300.0,76600.0,0.0,0.12152269399707172,0.08878770131771593,0.02673499267935578
r1d_lt_m3_hold3,034220,2019-10-24,2019-10-25,2019-10-29,3,13800.0,13700.0,0.0,-0.007246376811594235,-0.013246376811594235,0.0
r1d_lt_m3_hold3,267250,2018-05-11,2018-05-15,2018-05-29,3,434500.0,397000.0,0.0,-0.08630609896432684,-0.09230609896432684,0.0
r1d_lt_m3_hold3,028050,2019-11-27,2019-11-28,2019-12-03,3,19200.0,18900.0,0.0,-0.015625,-0.021625,0.0
r1d_lt_m3_hold3,000150,2023-10-17,2023-10-18,2023-10-26,3,82600.0,74100.0,0.0,-0.10290556900726389,-0.10890556900726389,0.0
r1d_lt_m3_hold3,272210,2026-01-29,2026-01-30,2026-02-03,3,99700.0,119500.0,0.0,0.19859578736208627,0.14890471414242729,0.04369107321965898
r1d_lt_m3_hold3,001230,2021-09-10,2021-09-13,2021-10-13,3,20300.0,18300.0,0.0,-0.09852216748768472,-0.10452216748768473,0.0
r1d_lt_m3_hold3,001230,2018-04-30,2018-08-29,2018-09-03,3,8400.0,9330.0,0.0,0.11071428571428577,0.08035714285714289,0.02435714285714287
r1d_lt_m3_hold3,204320,2022-02-04,2022-02-07,2022-02-11,3,50500.0,47300.0,0.0,-0.06336633663366331,-0.06936633663366332,0.0
