sample_id,bucket,category,in_scope_for_parser,negative_control,period,rcept_no,rcept_dt,stock_code,corp_name,report_nm,is_correction
MAN_0079,resumption_related_post,resumption_related,True,False,post_2018,20250626900790,2025-06-26,057880,푸른소나무,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),False
MAN_0080,resumption_related_post,resumption_related,True,False,post_2018,20231107600256,2023-11-07,093510,엔지브이아이,주권매매거래정지해제,False
MAN_0081,delisting_pre,delisting,False,True,pre_2018,20150423900101,20150423,065180,해피드림,기타경영사항(자율공시)(상장폐지금지가처분신청 기각에 대한 항고),False
MAN_0082,delisting_pre,delisting,False,True,pre_2018,20100121900412,20100121,056850,코어비트,기타시장안내(상장폐지 실질심사위원회 심의결과),False
MAN_0083,delisting_pre,delisting,False,True,pre_2018,20130403900202,20130403,068420,엔터미디어,기타경영사항(자율공시)(상장폐지결정효력정지 가처분신청 기각 결정),False
MAN_0084,delisting_pre,delisting,False,True,pre_2018,20120413900509,20120413,064090,인크레더블버즈,기타시장안내(상장폐지 실질심사위원회 심의결과),False
MAN_0085,delisting_pre,delisting,False,True,pre_2018,20130328900903,20130328,014940,오리엔탈정공,기타시장안내(상장폐지실질심사 사유추가 관련),False
MAN_0086,delisting_pre,delisting,False,True,pre_2018,20131211800491,20131211,003410,쌍용씨앤이,기타시장안내(2우선주 상장폐지 관련),False
MAN_0087,delisting_pre,delisting,False,True,pre_2018,20170315901005,20170315,095300,엔에스브이,내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,False
MAN_0088,delisting_pre,delisting,False,True,pre_2018,20140331803959,20140331,000420,로케트전기,기타시장안내(상장폐지관련 이의신청서 제출),False
MAN_0089,delisting_pre,delisting,False,True,pre_2018,20170726600272,20170726,204690,다린,상장폐지결정,False
MAN_0090,delisting_pre,delisting,False,True,pre_2018,20160704900419,20160704,074150,엠제이비,기타시장안내(개선기간 종료에 따른 상장폐지 여부 결정 안내),False
MAN_0091,delisting_pre,delisting,False,True,pre_2018,20110401900194,20110401,040180,대양글로벌,[기재정정]기타시장안내(상장폐지 관련 이의신청서 접수),True
MAN_0092,delisting_pre,delisting,False,True,pre_2018,20120217900487,20120217,031920,조은저축은행,기타시장안내(상장폐지실질심사 대상제외 결정),False
MAN_0093,delisting_pre,delisting,False,True,pre_2018,20170705600279,20170705,189700,디피앤케이,기타시장안내(상장폐지 관련),False
MAN_0094,delisting_pre,delisting,False,True,pre_2018,20120511900256,20120511,045260,디에이치패션,기타시장안내(상장폐지실질심사 관련 ),False
MAN_0095,delisting_pre,delisting,False,True,pre_2018,20150813600827,20150813,082220,프렉코,기타시장안내(상장폐지기준 해당여부 심사대상 결정),False
