variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final,total_turnover,annualized_turnover,taxable_turnover,tax_paid_krw,tax_drag_sharpe,top_asset,top_asset_contribution,qqq_exposure,qqq_contribution,p08_proxy_sharpe_diff,p08_proxy_mdd_diff,ew13_sharpe_diff,n001_b_sharpe_diff,n002_b_sharpe_diff,random_percentile
XETF900_V20,C,vol_budget,quarterly,risk_budget,inverse_vol,252,after_cost,2011-01-04,2026-05-18,3865,2.2986262348959254,0.08075947540322548,0.8498352740057526,-0.12497889285741282,0.6461849161631089,0.09713779114809543,3.2887303561912375,5.107275016574701,0.33234138603312124,2.0536375082873506,0.0,-0.008182009761011133,QQQ,0.22024230825443006,0.06207461262155855,0.22024230825443006,-0.18580775442610298,0.02925612375275355,-0.00496226117432641,-0.3345907063294309,-0.3161442890529338,0.0
XETF900_V20,C,vol_budget,quarterly,risk_budget,inverse_vol,252,after_tax,2011-01-04,2026-05-18,3865,2.1742242689728974,0.07805927321788242,0.8231005430162891,-0.12497889285741226,0.6245796504769795,0.0972614057903903,3.1647015961659783,5.104550796242354,0.33216411514831995,2.0662987387562186,9109898.790153202,-0.034916740750474684,QQQ,0.22024230825443006,0.06207461262155855,0.22024230825443006,-0.21254248541556653,0.029256123752754104,-0.03169699216378996,-0.36132543731889444,-0.34287902004239734,0.0
XETF900_V21,C,vol_budget,monthly,risk_budget,erc,126,gross,2011-01-04,2026-05-18,3865,2.027568777404555,0.07474596671651201,0.8199337375502339,-0.1371571700382367,0.5449657986941137,0.09343080528731451,3.027568777404555,13.254112753042083,0.8624736652500661,6.127056376521037,0.0,0.0,GLD,0.18855084711787096,0.04951472052641845,0.17504118464554896,-0.21570929088162172,0.017077846571929678,-0.03486379762984515,-0.3644922427849496,-0.34604582550845253,0.0
XETF900_V21,C,vol_budget,monthly,risk_budget,erc,126,after_cost,2011-01-04,2026-05-18,3865,1.9182755902953343,0.07217770042319493,0.7943328709098004,-0.1373996348703158,0.5253121705259233,0.0934223156197653,2.909520763524448,13.254112753042083,0.8624736652500661,6.127056376521039,0.0,-0.025600866640433484,GLD,0.18855084711787096,0.04951472052641845,0.17504118464554896,-0.2413101575220552,0.016835381739850552,-0.060464664270278634,-0.3900931094253831,-0.371646692148886,0.0
XETF900_V21,C,vol_budget,monthly,risk_budget,erc,126,after_tax,2011-01-04,2026-05-18,3865,1.7842738991505382,0.06890316956819698,0.7602543350309118,-0.13739963487031603,0.5014800049012568,0.0935994859193882,2.7759210774530865,13.258560989711693,0.8627631215913408,6.147545895494277,10248840.975978415,-0.05967940251932213,GLD,0.18855084711787096,0.04951472052641845,0.17504118464554896,-0.27538869340094385,0.01683538173985033,-0.09454320014916728,-0.42417164530427176,-0.40572522802777466,0.0
XETF900_V22,C,vol_budget,quarterly,risk_budget,erc,126,gross,2011-01-04,2026-05-18,3865,2.1641845088371245,0.07783706172815918,0.8522026736867776,-0.1260224174035831,0.6176445693696564,0.09324919691553646,3.1641845088371245,8.765434619443774,0.570385710805601,3.882717309721885,0.0,0.0,GLD,0.18864538067630737,0.04952619581523953,0.17867522397780894,-0.18344035474507803,0.028212599206583255,-0.002594861493301459,-0.33222330664840594,-0.31377688937190884,0.0
XETF900_V22,C,vol_budget,quarterly,risk_budget,erc,126,after_cost,2011-01-04,2026-05-18,3865,2.0913066450847646,0.0762039987024199,0.8360897907289507,-0.12602241740358278,0.6046860572304292,0.09322607080522809,3.08203272514951,8.765434619443772,0.5703857108056009,3.8827173097218863,0.0,-0.01611288295782687,GLD,0.18864538067630737,0.04952619581523953,0.17867522397780894,-0.1995532377029049,0.02821259920658359,-0.018707744451128328,-0.3483361896062328,-0.3298897723297357,0.0
XETF900_V22,C,vol_budget,quarterly,risk_budget,erc,126,after_tax,2011-01-04,2026-05-18,3865,1.958076130763306,0.07312322147387862,0.8038265134508512,-0.126022417403583,0.5802397936845133,0.09341560454486125,2.949201902371016,8.767141757433055,0.5704967979516166,3.897901157755478,10375627.088109437,-0.04837616023592639,GLD,0.18864538067630737,0.04952619581523953,0.17867522397780894,-0.23181651498100442,0.028212599206583366,-0.05097102172922785,-0.3805994668843323,-0.36215304960783523,0.0
XETF900_V23,C,vol_budget,monthly,risk_budget,erc,252,gross,2011-01-04,2026-05-18,3865,2.1266799568684047,0.0770010957241507,0.8425136334470179,-0.13192558356330508,0.5836706849752261,0.09341809005834759,3.1266799568684047,8.754849080629128,0.5696968869944395,3.8774245403145637,0.0,0.0,GLD,0.19451789414951615,0.04936501033539129,0.17564109947064246,-0.19312939498483772,0.022309433046861282,-0.012283901733061153,-0.34191234688816563,-0.32346592961166853,100.0
XETF900_V23,C,vol_budget,monthly,risk_budget,erc,252,after_cost,2011-01-04,2026-05-18,3865,2.054772867601547,0.0753717496273445,0.8263097651425815,-0.13207171529470796,0.5706880497399325,0.09341309219255557,3.045608548998742,8.754849080629128,0.5696968869944395,3.8774245403145655,0.0,-0.01620386830443643,GLD,0.19451789414951615,0.04936501033539129,0.17564109947064246,-0.20933326328927415,0.022163301315458406,-0.028487770037497584,-0.35811621519260206,-0.33966979791610497,100.0
XETF900_V23,C,vol_budget,monthly,risk_budget,erc,252,after_tax,2011-01-04,2026-05-18,3865,1.9338433428146318,0.07254896278976752,0.7972160740764269,-0.13207171529470796,0.5493149129461978,0.09353164000875515,2.925041812786188,8.753391279111849,0.5696020247097101,3.8923375949260315,8848407.331367722,-0.04529755937059099,GLD,0.19451789414951615,0.04936501033539129,0.17564109947064246,-0.2384269543554287,0.022163301315458406,-0.05758146110365214,-0.3872099062587566,-0.3687634889822595,100.0
XETF900_V24,C,vol_budget,quarterly,risk_budget,erc,252,gross,2011-01-04,2026-05-18,3865,2.222510870598407,0.07911891161882845,0.8655203179835796,-0.11928118200382476,0.6632975150790466,0.09318305767200181,3.222510870598407,5.789964103846534,0.3767654354052996,2.394982051923268,0.0,0.0,GLD,0.19206514517790516,0.0494498068566331,0.17870913480102518,-0.17012271044827598,0.034953834606341605,0.010722782803500586,-0.3189056623516039,-0.3004592450751068,100.0
XETF900_V24,C,vol_budget,quarterly,risk_budget,erc,252,after_cost,2011-01-04,2026-05-18,3865,2.1765282524420893,0.07811017491457539,0.8555660767521671,-0.11928118200382454,0.6548407183965609,0.09317025510498948,3.166998667684763,5.789964103846534,0.3767654354052996,2.394982051923268,0.0,-0.00995424123141253,GLD,0.19206514517790516,0.0494498068566331,0.17870913480102518,-0.1800769516796885,0.03495383460634183,0.0007685415720880551,-0.3288599035830164,-0.3104134863065193,100.0
XETF900_V24,C,vol_budget,quarterly,risk_budget,erc,252,after_tax,2011-01-04,2026-05-18,3865,2.065323310270889,0.07561304299537519,0.829647385957422,-0.11928118200382443,0.6339058829325724,0.09329346602276822,3.056127340340076,5.78827307682995,0.3766553966349794,2.4080169182442615,8168061.456179801,-0.0358729320261576,GLD,0.19206514517790516,0.0494498068566331,0.17870913480102518,-0.20599564247443358,0.03495383460634194,-0.025150149222657014,-0.3547785943777615,-0.3363321771012644,100.0
