variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,window,strategy_start_date,strategy_end_date,strategy_trading_days,strategy_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_calmar,strategy_volatility,strategy_nav_final,p08_proxy_start_date,p08_proxy_end_date,p08_proxy_trading_days,p08_proxy_total_return,p08_proxy_cagr,p08_proxy_sharpe,p08_proxy_max_drawdown,p08_proxy_calmar,p08_proxy_volatility,p08_proxy_nav_final,sharpe_diff,mdd_diff,return_diff
XETF900_V11,B,ret_6m,quarterly,def_sleeve_top1,,0,after_cost,2015_2019,2015-01-02,2019-12-31,1258,0.39364655554294536,0.0687253062359956,0.6195775380089107,-0.20732215187170178,0.3314904153538076,0.11869684536229165,1.3936465555429454,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.37804779687922285,-0.12382935334588185,-0.18167228136577007
XETF900_V11,B,ret_6m,quarterly,def_sleeve_top1,,0,after_cost,2020_2026,2020-01-02,2026-05-18,1602,3.562852206020173,0.26890892929937915,1.532411692455251,-0.16992174138663851,1.582545747854043,0.16476254640788038,4.562852206020173,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,0.5110655748381014,-0.01568672477647215,2.327258338540095
XETF900_V11,B,ret_6m,quarterly,def_sleeve_top1,,0,after_tax,2011_2014,2011-01-04,2014-12-31,1005,0.1382222721137305,0.03298820074913178,0.33583783587756383,-0.138112416977766,0.23885036169081292,0.1170756981033206,1.1382222721137305,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-0.7877049392440625,-0.06650084737364514,-0.3478733623418555
XETF900_V11,B,ret_6m,quarterly,def_sleeve_top1,,0,after_tax,2015_2019,2015-01-02,2019-12-31,1258,0.3509160134973053,0.0620816302196352,0.5647163506681955,-0.2073221518717019,0.2994452337059161,0.11931038435673359,1.3509160134973053,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.43290898421993806,-0.12382935334588197,-0.22440282341141016
XETF900_V11,B,ret_6m,quarterly,def_sleeve_top1,,0,after_tax,2020_2026,2020-01-02,2026-05-18,1602,2.8391869602000575,0.23499109896438997,1.3269139652577953,-0.23600991325769372,0.9956831716124088,0.17056045224677868,3.8391869602000575,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,0.3055678476406456,-0.08177489664752735,1.6035930927199797
XETF900_V12,B,ret_6m,quarterly,def_sleeve_top2_ew,,0,gross,2011_2014,2011-01-04,2014-12-31,1005,0.31462278565374224,0.07098115007403916,0.6901071181547527,-0.08886470809396996,0.7987552268666674,0.10782171629284736,1.3146227856537422,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-0.4334356569668736,-0.017253138489849107,-0.17147284880184377
XETF900_V12,B,ret_6m,quarterly,def_sleeve_top2_ew,,0,gross,2015_2019,2015-01-02,2019-12-31,1258,0.46866415701717545,0.08000478769372221,0.780768404650421,-0.1497162370218197,0.5343761590939685,0.10579278910345036,1.4686641570171755,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.21685693023771258,-0.06622343849599976,-0.10665467989153998
XETF900_V12,B,ret_6m,quarterly,def_sleeve_top2_ew,,0,gross,2020_2026,2020-01-02,2026-05-18,1602,1.9578708669317622,0.18547927950917642,1.2376798978334616,-0.20411222952709507,0.9087122312019761,0.1465756305579608,2.957870866931762,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,0.2163337802163119,-0.049877212916928704,0.7222769994516844
XETF900_V12,B,ret_6m,quarterly,def_sleeve_top2_ew,,0,after_cost,2011_2014,2011-01-04,2014-12-31,1005,0.2917926032274958,0.06628798266319968,0.6493331620549421,-0.09173043331286401,0.7226389352932845,0.1078262900863249,1.2917926032274958,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-0.4742096130666842,-0.020118863708743162,-0.19430303122809023
XETF900_V12,B,ret_6m,quarterly,def_sleeve_top2_ew,,0,after_cost,2015_2019,2015-01-02,2019-12-31,1258,0.4364615543125736,0.07522067700256518,0.738921950115361,-0.14971623702181946,0.5024216377519735,0.10576857138472365,1.4364615543125736,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.25870338477277255,-0.06622343849599954,-0.13885728259614183
XETF900_V12,B,ret_6m,quarterly,def_sleeve_top2_ew,,0,after_cost,2020_2026,2020-01-02,2026-05-18,1602,1.8509086939277015,0.17864848221935148,1.1982538038621144,-0.20411222952709518,0.8752463418446788,0.14655796075064229,2.8509086939277015,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,0.17690768624496478,-0.049877212916928815,0.6153148264476238
