event_id,review_cycle,announcement_dt,announcement_time,effective_dt,index_name,side,ticker,company_name,source_class,source_record_type,source_id_or_url,source_file,source_file_sha256,prev_snapshot_file,prev_snapshot_sha256,prev_snapshot_cycle,tier1_status,parse_status,caveat
BX01-00269-CYCLE,,2013-05-28,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=269,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00271-SPECIAL,,2013-06-07,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=271,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00274-SPECIAL,,2013-07-08,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=274,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00280-SPECIAL,,2013-08-16,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=280,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00282-SPECIAL,,2013-08-29,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=282,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00286-SPECIAL,,2013-09-30,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=286,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00294-SPECIAL,,2014-02-10,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=294,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00300-SPECIAL,,2014-03-24,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=300,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00301-SPECIAL,,2014-04-01,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=301,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00304-CYCLE,,2014-05-29,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=304,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00314-SPECIAL,,2014-06-27,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=314,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00319-SPECIAL,,2014-08-28,,,,split_action,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=319,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00330-SPECIAL,,2014-10-22,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=330,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00362-SPECIAL,,2014-12-16,,,,addition,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=362,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00367-SPECIAL,,2014-12-26,,,,addition,,삼성에스디에스(주,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=367,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s*의\s+K; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00368-SPECIAL,,2015-01-12,,,,addition,,제일모직(주,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=368,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s*의\s+K; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00381-SPECIAL,,2015-03-26,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=381,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00397-SPECIAL,,2015-06-22,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=397,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00407-SPECIAL,,2015-07-27,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=407,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00409-SPECIAL,,2015-08-18,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=409,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00410-SPECIAL,,2015-08-19,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=410,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00436-CYCLE,,2015-12-07,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=436,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00450-SPECIAL,,2016-03-11,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=450,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00458-CYCLE,,2016-05-25,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=458,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00480-SPECIAL,,2016-10-12,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=480,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00484-SPECIAL,,2016-10-28,,,,supplemental,,대우조선해양,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=484,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+관련\s+; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00493-SPECIAL,,2016-12-14,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=493,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00505-SPECIAL,,2017-03-30,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=505,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00508-CYCLE,,2017-05-17,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=508,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00509-SPECIAL,,2017-05-23,,,,split_action,,주)오리온 및 제일약품(주)의,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=509,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+인적분할; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00519-SPECIAL,,2017-07-28,,,,addition,,카카오,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=519,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+이전상장에; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00525-SPECIAL,,2017-10-24,,,,split_action,,주)BGF리테일 및 동아타이어공업(주)의,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=525,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+인적분할; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00527-SPECIAL,,2017-11-21,,,,split_action,,SK케미칼(주) 및 쿠쿠전자(주)의,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=527,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+인적분할; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00531-CYCLE,2017-12,2017-12-07,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=531,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,title-cycle:'2017년 12월'; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00533-CYCLE,2017-12,2017-12-11,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=533,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,title-cycle:'2017년 12월'; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00544-SPECIAL,,2018-03-06,,,,addition,,셀트리온,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=544,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+이전상장에; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00547-SPECIAL,,2018-03-07,,,,addition,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=547,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00553-SPECIAL,,2018-04-20,,,,split_action,,현대산업개발의,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=553,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+인적분할; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00554-SPECIAL,,2018-05-23,,,,split_action,,효성의,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=554,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s+인적분할; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00555-CYCLE,,2018-05-24,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=555,,,,,,tier1_target,metadata_only__constituents_gated_on_attachment_download,"no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — constituents NOT in this row; attachments user-supplied as hwp/broker pdf, deferred per Referee directive (not parsed in this phase)"
BX01-00561-CYCLE,,2018-06-05,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=561,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
