event_id,review_cycle,ticker,side,source_record_type,exclusion_reason
BX01-00555-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00561-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00563-CYCLE,2018-06,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00569-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00578-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00593-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00595-CYCLE,2018-12,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00598-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00613-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00619-CYCLE,2019-06,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00622-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00641-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00667-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00696-CYCLE,2020-12,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00758-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00759-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00773-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00789-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00907-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00921-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-01020-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-DIFF-1090-0124,2026-06,000990,addition,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0125,2026-06,071970,addition,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0126,2026-06,267270,addition,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0127,2026-06,456040,addition,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0128,2026-06,483650,addition,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0129,2026-06,004490,deletion,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0130,2026-06,005250,deletion,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0131,2026-06,006360,deletion,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0132,2026-06,042670,deletion,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-1090-0133,2026-06,114090,deletion,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__effective_dt_rulebook_derived_blank_calendar_cutoff
BX01-DIFF-BRIDGE-0037,2022-12,280360,addition,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__bridge_only_not_in_tier1
BX01-DIFF-BRIDGE-0038,2022-12,000070,deletion,constituent_level_derived_from_consecutive_official_snapshot_diff,cycle_excluded__bridge_only_not_in_tier1
