entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
2022-05-04,2022-05-03,2022-05-09,207940,833000.0,795000.0,2.0850794235135014e-07,0.17368711597867467,0.00011289662538613854,0.0004392741075487069,vol_stop
2022-04-29,2022-04-28,2022-05-10,068270,175000.0,163500.0,1.024405756540567e-06,0.1792710073945992,0.00011652615480648947,0.00044384940416511415,vol_stop
2022-05-06,2022-05-04,2022-05-10,011780,155000.0,142500.0,1.106731166124927e-06,0.1715433307493637,0.00011150316498708642,0.0004179293566079256,vol_stop
2022-04-29,2022-04-28,2022-05-13,018260,146000.0,142000.0,1.2278836122917753e-06,0.1792710073945992,0.00011652615480648947,0.0004620526033053951,vol_stop
2022-05-09,2022-05-06,2022-05-20,078930,47700.0,46100.0,3.509993286509371e-06,0.167426679766497,0.00010882734184822305,0.0004287983298464173,vol_stop
2022-05-03,2022-05-02,2022-06-02,000270,83800.0,85000.0,2.0938635384844106e-06,0.1754657645249936,0.00011405274694124583,0.00047164276204361347,time_cap
2022-05-10,2022-05-09,2022-06-09,010950,106000.0,121000.0,1.5719956830774394e-06,0.1666315424062086,0.00010831050256403558,0.000504060415778781,time_cap
2022-05-10,2022-05-09,2022-06-09,259960,246000.0,276500.0,6.773639935211731e-07,0.1666315424062086,0.00010831050256403558,0.0004963215321528016,time_cap
2022-06-03,2022-06-02,2022-06-14,373220,443500.0,411000.0,3.893985791890546e-07,0.1726982698703457,0.00011225387541572472,0.00042411346252375876,vol_stop
2022-05-13,2022-05-12,2022-06-14,004170,254000.0,241000.0,6.665519992365778e-07,0.16930420780609076,0.000110047735073959,0.00042569343431244044,time_cap
2022-06-10,2022-06-09,2022-06-16,096770,242000.0,225000.0,7.249405662118291e-07,0.17543561702326263,0.00011403315106512071,0.0004322458126038031,vol_stop
2022-05-20,2022-05-19,2022-06-21,003550,74300.0,77600.0,2.225675765682149e-06,0.16536770939018366,0.0001074890111036194,0.0004576879644548771,time_cap
2022-06-15,2022-06-14,2022-06-23,011780,150000.0,138000.0,1.0966998403778261e-06,0.1645049760566739,0.00010692823443683803,0.000401063131626171,vol_stop
2022-06-22,2022-06-21,2022-07-01,032830,67100.0,63500.0,2.489516920164461e-06,0.16704658534303535,0.00010858028047297297,0.0004189234597406747,vol_stop
2022-06-10,2022-06-09,2022-07-05,005300,186000.0,171000.0,9.432022420605517e-07,0.17543561702326263,0.00011403315106512071,0.00042741209598973906,vol_stop
2022-07-01,2022-06-30,2022-07-07,000210,71800.0,65700.0,2.371212013995921e-06,0.17025302260490713,0.00011066446469318962,0.00041283986769675984,vol_stop
2022-07-05,2022-07-04,2022-07-07,028260,122500.0,113500.0,1.3747064979897043e-06,0.16840154600373877,0.0001094610049024302,0.00041347734693285336,vol_stop
2022-06-14,2022-06-13,2022-07-12,010620,81700.0,81700.0,2.0442442682362886e-06,0.1670147567149048,0.00010855959186468811,0.00044258910529449774,time_cap
2022-06-16,2022-06-15,2022-07-14,271560,101500.0,107000.0,1.643660443857973e-06,0.16683153505158427,0.00010844049778352978,0.00046605991885592825,time_cap
2022-06-23,2022-06-22,2022-07-21,068270,157000.0,182500.0,1.039873821449142e-06,0.1632601899675153,0.00010611912347888495,0.0005029089768983412,time_cap
2022-07-07,2022-07-06,2022-08-04,128940,320000.0,304500.0,5.07623283845541e-07,0.16243945083057312,0.00010558564303987253,0.00040961391831706315,time_cap
2022-07-07,2022-07-06,2022-08-04,034220,15400.0,16000.0,1.0548016287699553e-05,0.16243945083057312,0.00010558564303987253,0.00044723589059846106,time_cap
2022-07-13,2022-07-12,2022-08-10,373220,398500.0,458000.0,4.095010151354427e-07,0.16318615453147392,0.00010607100044545805,0.0004970113820698868,time_cap
2022-07-15,2022-07-14,2022-08-12,012330,211000.0,226500.0,7.664995790496441e-07,0.1617314111794749,0.00010512541726665869,0.0004600722098350726,time_cap
2022-08-05,2022-08-04,2022-08-22,035720,82000.0,75600.0,2.0636209957604446e-06,0.16921692165235647,0.00010999099907403171,0.0004134258302906474,vol_stop
2022-07-22,2022-07-21,2022-08-22,329180,123500.0,138000.0,1.2943819395569107e-06,0.15985616953527848,0.00010390651019793103,0.00047335547529596227,time_cap
2022-08-16,2022-08-12,2022-08-24,003550,85100.0,81700.0,2.0266457345530654e-06,0.17246755201046585,0.00011210390880680281,0.0004387789347594114,vol_stop
2022-08-22,2022-08-19,2022-08-25,271560,109000.0,101500.0,1.5471305464998981e-06,0.1686372295684889,0.00010961419921951778,0.00041613943874481006,vol_stop
2022-08-24,2022-08-23,2022-09-02,075580,8580.0,7780.0,1.9303559069164825e-05,0.1656245368134342,0.00010765594892873222,0.00039798147732897127,vol_stop
2022-08-11,2022-08-10,2022-09-02,051600,42000.0,39550.0,4.155875395585523e-06,0.17454676661459195,0.00011345539829948476,0.00043556691052282963,vol_stop
2022-08-05,2022-08-04,2022-09-05,161390,37950.0,39600.0,4.458943917058142e-06,0.16921692165235647,0.00010999099907403171,0.0004679215746560814,time_cap
2022-08-25,2022-08-24,2022-09-06,004370,312000.0,293000.0,5.326511953272492e-07,0.16618717294210172,0.00010802166241236613,0.0004135770206118426,vol_stop
2022-09-02,2022-09-01,2022-09-06,353200,30300.0,27800.0,5.238152032556378e-06,0.15871600658645826,0.00010316540428119787,0.0003858946602384284,vol_stop
2022-09-02,2022-09-01,2022-09-07,180640,50100.0,44500.0,3.1679841634023604e-06,0.15871600658645826,0.00010316540428119787,0.00037358453246922333,vol_stop
2022-08-23,2022-08-22,2022-09-22,028050,22650.0,23550.0,7.300885873874081e-06,0.16536506504324794,0.00010748729227811116,0.0004556300351737967,time_cap
2022-09-06,2022-09-05,2022-09-26,005380,200500.0,187000.0,7.660292973911181e-07,0.15358887412691918,9.983276818249747e-05,0.00037960581832216864,vol_stop
2022-09-07,2022-09-06,2022-09-27,373220,481500.0,447500.0,3.208032316037984e-07,0.15446675601722895,0.00010040339141119883,0.0003804325322781545,vol_stop
2022-09-06,2022-09-05,2022-09-27,000270,80800.0,75400.0,1.900852402560881e-06,0.15358887412691918,9.983276818249747e-05,0.0003798093185556897,vol_stop
2022-09-27,2022-09-26,2022-09-29,017670,53400.0,51200.0,2.761169259237485e-06,0.1474464384432817,9.58401849881331e-05,0.00037463544509334196,vol_stop
2022-09-06,2022-09-05,2022-09-29,032830,64100.0,61400.0,2.3960822796711262e-06,0.15358887412691918,9.983276818249747e-05,0.00038986654772528895,vol_stop
2022-09-29,2022-09-28,2022-10-04,302440,88100.0,81500.0,1.630488224016362e-06,0.1436460125358415,9.336990814829698e-05,0.0003521446941819338,vol_stop
2022-09-29,2022-09-28,2022-10-12,271560,107000.0,97500.0,1.3424860984658084e-06,0.1436460125358415,9.336990814829698e-05,0.00034686484569110325,vol_stop
