signal_date,sector_code,sector_name,n_stocks,n_foreign_positive,n_relative_strength_positive,n_strict_positive,sector_breadth_value,sector_breadth_strict,breadth_score,eligible_for_score
2011-03-31,09,소비재/유통,11,4,5,1,0.36363636363636365,0.09090909090909091,-0.8217820207812155,True
2011-03-31,10,음식료,3,1,2,1,0.3333333333333333,0.3333333333333333,0.3170497721871307,True
2011-03-31,11,에너지/유틸리티,1,1,0,0,1.0,,,False
2011-03-31,12,건설/부동산,3,3,2,2,1.0,0.6666666666666666,1.8829434875186069,True
2011-06-30,01,반도체/IT하드웨어,7,5,1,1,0.7142857142857143,0.14285714285714285,-1.137671956398127,True
2011-06-30,02,자동차/운송장비,9,4,5,2,0.4444444444444444,0.2222222222222222,-0.6009562501565323,True
2011-06-30,03,2차전지/화학/소재,19,7,9,6,0.3684210526315789,0.3157894736842105,0.03180331930724258,True
2011-06-30,04,철강금속,7,1,6,1,0.14285714285714285,0.14285714285714285,-1.137671956398127,True
2011-06-30,05,조선/기계/산업재,9,3,4,2,0.3333333333333333,0.2222222222222222,-0.6009562501565323,True
2011-06-30,06,금융,15,8,12,6,0.5333333333333333,0.4,0.6012869318246402,True
2011-06-30,07,헬스케어,1,0,1,0,0.0,,,False
2011-06-30,08,인터넷/게임/SW,13,8,7,5,0.6153846153846154,0.38461538461538464,0.49724665646088495,True
2011-06-30,09,소비재/유통,11,4,8,4,0.36363636363636365,0.36363636363636365,0.35537355369212764,True
2011-06-30,10,음식료,3,2,2,2,0.6666666666666666,0.6666666666666666,2.404651704796398,True
2011-06-30,11,에너지/유틸리티,2,1,1,0,0.5,,,False
2011-06-30,12,건설/부동산,4,1,4,1,0.25,0.25,-0.413105752971974,True
2011-09-30,01,반도체/IT하드웨어,6,2,4,2,0.3333333333333333,0.3333333333333333,1.2711582600087812,True
2011-09-30,02,자동차/운송장비,8,4,3,3,0.5,0.375,1.5975745410088351,True
2011-09-30,03,2차전지/화학/소재,21,6,5,2,0.2857142857142857,0.09523809523809523,-0.5940776314200977,True
2011-09-30,04,철강금속,6,3,2,1,0.5,0.16666666666666666,-0.03450686399143409,True
2011-09-30,05,조선/기계/산업재,7,4,2,2,0.5714285714285714,0.2857142857142857,0.8981110817230054,True
2011-09-30,06,금융,15,3,6,2,0.2,0.13333333333333333,-0.2956398887914771,True
2011-09-30,07,헬스케어,2,1,1,0,0.5,,,False
2011-09-30,08,인터넷/게임/SW,14,1,10,1,0.07142857142857142,0.07142857142857142,-0.7806012205629856,True
2011-09-30,09,소비재/유통,13,5,4,0,0.38461538461538464,0.0,-1.3401719879916494,True
2011-09-30,10,음식료,4,1,1,1,0.25,0.25,0.6183256980086737,True
2011-09-30,11,에너지/유틸리티,1,0,0,0,0.0,,,False
2011-09-30,12,건설/부동산,3,0,0,0,0.0,0.0,-1.3401719879916494,True
2011-12-29,01,반도체/IT하드웨어,9,2,5,1,0.2222222222222222,0.1111111111111111,-0.7700187032757123,True
2011-12-29,02,자동차/운송장비,9,5,4,3,0.5555555555555556,0.3333333333333333,0.47518361007358517,True
2011-12-29,03,2차전지/화학/소재,20,9,10,5,0.45,0.25,0.008232742567598672,True
2011-12-29,04,철강금속,4,0,2,0,0.0,0.0,-1.3926198599503612,True
2011-12-29,05,조선/기계/산업재,8,3,5,2,0.375,0.25,0.008232742567598672,True
2011-12-29,06,금융,15,5,7,3,0.3333333333333333,0.2,-0.2719377779359932,True
2011-12-29,07,헬스케어,3,0,1,0,0.0,0.0,-1.3926198599503612,True
2011-12-29,08,인터넷/게임/SW,12,8,5,3,0.6666666666666666,0.25,0.008232742567598672,True
2011-12-29,09,소비재/유통,11,4,7,3,0.36363636363636365,0.2727272727272727,0.13558297916014037,True
2011-12-29,10,음식료,5,2,4,2,0.4,0.4,0.8487443040783746,True
2011-12-29,11,에너지/유틸리티,1,0,1,0,0.0,,,False
2011-12-29,12,건설/부동산,3,3,2,2,1.0,0.6666666666666666,2.3429870800975316,True
2012-03-30,01,반도체/IT하드웨어,9,3,2,1,0.3333333333333333,0.1111111111111111,-0.7797373500087298,True
2012-03-30,02,자동차/운송장비,10,4,4,3,0.4,0.3,0.2147009685926756,True
2012-03-30,03,2차전지/화학/소재,20,8,7,3,0.4,0.15,-0.5750000491202052,True
2012-03-30,04,철강금속,6,3,2,1,0.5,0.16666666666666666,-0.4872554915965518,True
2012-03-30,05,조선/기계/산업재,9,4,3,3,0.4444444444444444,0.3333333333333333,0.3901900836399824,True
2012-03-30,06,금융,13,6,8,3,0.46153846153846156,0.23076923076923078,-0.14977642419788464,True
2012-03-30,07,헬스케어,4,3,4,3,0.75,0.75,2.5838040217313183,True
2012-03-30,08,인터넷/게임/SW,12,7,7,5,0.5833333333333334,0.4166666666666667,0.8289128712582498,True
2012-03-30,09,소비재/유통,7,2,4,1,0.2857142857142857,0.14285714285714285,-0.6126048594874852,True
2012-03-30,10,음식료,4,1,4,1,0.25,0.25,-0.048532703978284616,True
2012-03-30,11,에너지/유틸리티,2,2,1,1,1.0,,,False
2012-03-30,12,건설/부동산,4,0,2,0,0.0,0.0,-1.364701066833086,True
2012-06-29,01,반도체/IT하드웨어,8,3,4,3,0.375,0.375,0.9444051626142419,True
2012-06-29,02,자동차/운송장비,8,4,3,1,0.5,0.125,-1.0591205926188132,True
2012-06-29,03,2차전지/화학/소재,19,8,9,3,0.42105263157894735,0.15789473684210525,-0.7954987827197272,True
2012-06-29,04,철강금속,5,2,1,1,0.4,0.2,-0.4580628660488967,True
2012-06-29,05,조선/기계/산업재,10,3,8,3,0.3,0.3,0.34334743604432527,True
2012-06-29,06,금융,16,10,12,7,0.625,0.4375,1.4452866014225056,True
2012-06-29,07,헬스케어,3,2,2,1,0.6666666666666666,0.3333333333333333,0.6104842034087326,True
2012-06-29,08,인터넷/게임/SW,12,4,6,3,0.3333333333333333,0.25,-0.0573577150022857,True
2012-06-29,09,소비재/유통,8,2,3,2,0.25,0.25,-0.0573577150022857,True
2012-06-29,10,음식료,5,2,2,2,0.4,0.4,1.1447577381375476,True
2012-06-29,11,에너지/유틸리티,2,1,1,1,0.5,,,False
2012-06-29,12,건설/부동산,4,2,1,0,0.5,0.0,-2.060883470235341,True
2012-09-28,01,반도체/IT하드웨어,7,6,4,4,0.8571428571428571,0.5714285714285714,0.758394772351563,True
2012-09-28,02,자동차/운송장비,7,4,2,1,0.5714285714285714,0.14285714285714285,-0.6572028275672215,True
2012-09-28,03,2차전지/화학/소재,16,8,7,3,0.5,0.1875,-0.5097447442423481,True
2012-09-28,04,철강금속,3,3,2,2,1.0,0.6666666666666666,1.0729720167779595,True
2012-09-28,05,조선/기계/산업재,11,5,4,2,0.45454545454545453,0.18181818181818182,-0.5285121366655138,True
2012-09-28,06,금융,12,9,8,7,0.75,0.5833333333333334,0.7977169279048628,True
2012-09-28,07,헬스케어,4,2,2,1,0.5,0.25,-0.3033034275875253,True
2012-09-28,08,인터넷/게임/SW,17,9,6,3,0.5294117647058824,0.17647058823529413,-0.5461755648284932,True
2012-09-28,09,소비재/유통,13,4,5,0,0.3076923076923077,0.0,-1.1290686942068162,True
2012-09-28,10,음식료,5,2,1,0,0.4,0.0,-1.1290686942068162,True
2012-09-28,11,에너지/유틸리티,2,1,2,1,0.5,,,False
2012-09-28,12,건설/부동산,3,3,3,3,1.0,1.0,2.173992372270348,True
2012-12-28,01,반도체/IT하드웨어,9,6,1,1,0.6666666666666666,0.1111111111111111,-0.6487465867042859,True
2012-12-28,02,자동차/운송장비,8,5,5,3,0.625,0.375,0.319919104502995,True
2012-12-28,03,2차전지/화학/소재,16,8,9,6,0.5,0.375,0.319919104502995,True
2012-12-28,04,철강금속,5,2,4,1,0.4,0.2,-0.3224591959818333,True
2012-12-28,05,조선/기계/산업재,11,4,5,1,0.36363636363636365,0.09090909090909091,-0.7229028118684796,True
2012-12-28,06,금융,12,10,7,6,0.8333333333333334,0.5,0.7787607477064439,True
2012-12-28,07,헬스케어,5,1,1,0,0.2,0.0,-1.0566058251073516,True
2012-12-28,08,인터넷/게임/SW,14,9,3,3,0.6428571428571429,0.21428571428571427,-0.2700201510442964,True
2012-12-28,09,소비재/유통,10,5,5,3,0.5,0.3,0.044614118580925656,True
2012-12-28,10,음식료,5,4,0,0,0.8,0.0,-1.0566058251073516,True
2012-12-28,11,에너지/유틸리티,2,2,1,1,1.0,,,False
2012-12-28,12,건설/부동산,3,3,3,3,1.0,1.0,2.614127320520239,True
2013-03-29,01,반도체/IT하드웨어,10,4,9,4,0.4,0.4,1.0409829592992685,True
2013-03-29,02,자동차/운송장비,8,3,3,2,0.375,0.25,0.199987228560048,True
2013-03-29,03,2차전지/화학/소재,12,1,3,0,0.08333333333333333,0.0,-1.2016723226719859,True
2013-03-29,04,철강금속,4,0,0,0,0.0,0.0,-1.2016723226719859,True
2013-03-29,05,조선/기계/산업재,8,2,2,1,0.25,0.125,-0.500842547055969,True
2013-03-29,06,금융,17,3,5,1,0.17647058823529413,0.058823529411764705,-0.8718700753232721,True
2013-03-29,07,헬스케어,4,2,4,2,0.5,0.5,1.6016467797920821,True
2013-03-29,08,인터넷/게임/SW,14,7,6,5,0.5,0.35714285714285715,0.8006984648023483,True
2013-03-29,09,소비재/유통,12,6,9,5,0.5,0.4166666666666667,1.134426929381404,True
2013-03-29,10,음식료,5,1,2,0,0.2,0.0,-1.2016723226719859,True
2013-03-29,11,에너지/유틸리티,2,1,1,1,0.5,,,False
2013-03-29,12,건설/부동산,4,2,2,1,0.5,0.25,0.199987228560048,True
2013-06-28,01,반도체/IT하드웨어,9,4,4,3,0.4444444444444444,0.3333333333333333,0.8013460426646536,True
2013-06-28,02,자동차/운송장비,7,4,6,4,0.5714285714285714,0.5714285714285714,2.2191909874633824,True
2013-06-28,03,2차전지/화학/소재,16,6,7,3,0.375,0.1875,-0.0670839860245678,True
2013-06-28,04,철강금속,4,1,1,0,0.25,0.0,-1.1836368800535668,True
2013-06-28,05,조선/기계/산업재,11,3,7,3,0.2727272727272727,0.2727272727272727,0.4404400567158862,True
2013-06-28,06,금융,14,2,7,1,0.14285714285714285,0.07142857142857142,-0.7582833966139482,True
2013-06-28,07,헬스케어,3,0,3,0,0.0,0.0,-1.1836368800535668,True
2013-06-28,08,인터넷/게임/SW,16,8,9,4,0.5,0.25,0.30510031198509857,True
2013-06-28,09,소비재/유통,10,3,8,3,0.3,0.3,0.6028477503928316,True
2013-06-28,10,음식료,5,2,2,1,0.4,0.2,0.007352873577365536,True
2013-06-28,11,에너지/유틸리티,2,0,1,0,0.0,,,False
2013-06-28,12,건설/부동산,3,2,0,0,0.6666666666666666,0.0,-1.1836368800535668,True
2013-09-30,01,반도체/IT하드웨어,9,5,4,2,0.5555555555555556,0.2222222222222222,-0.6020989758665679,True
2013-09-30,02,자동차/운송장비,10,7,5,4,0.7,0.4,0.32112762003141787,True
2013-09-30,03,2차전지/화학/소재,16,13,11,9,0.8125,0.5625,1.1650144303444203,True
2013-09-30,04,철강금속,5,3,3,1,0.6,0.2,-0.717502300353816,True
2013-09-30,05,조선/기계/산업재,8,4,3,1,0.5,0.125,-1.1069885204982788,True
2013-09-30,06,금융,13,8,6,4,0.6153846153846154,0.3076923076923077,-0.15824003553099777,True
2013-09-30,07,헬스케어,3,2,2,1,0.6666666666666666,0.3333333333333333,-0.025082353430326942,True
2013-09-30,08,인터넷/게임/SW,16,13,4,4,0.8125,0.25,-0.4578448202575076,True
2013-09-30,09,소비재/유통,7,3,4,2,0.42857142857142855,0.2857142857142857,-0.27237519161728735,True
2013-09-30,10,음식료,5,3,3,1,0.6,0.2,-0.717502300353816,True
2013-09-30,11,에너지/유틸리티,2,1,1,0,0.5,,,False
2013-09-30,12,건설/부동산,6,5,5,5,0.8333333333333334,0.8333333333333334,2.571492447532758,True
2013-12-30,01,반도체/IT하드웨어,10,4,6,3,0.4,0.3,1.116516085945911,True
2013-12-30,02,자동차/운송장비,9,2,0,0,0.2222222222222222,0.0,-1.2746229946521204,True
2013-12-30,03,2차전지/화학/소재,12,2,7,2,0.16666666666666666,0.16666666666666666,0.053787605680119234,True
2013-12-30,04,철강금속,3,0,3,0,0.0,0.0,-1.2746229946521204,True
2013-12-30,05,조선/기계/산업재,9,3,5,2,0.3333333333333333,0.2222222222222222,0.4965911391241991,True
2013-12-30,06,금융,16,7,12,6,0.4375,0.375,1.714300856095419,True
2013-12-30,07,헬스케어,2,1,1,1,0.5,,,False
2013-12-30,08,인터넷/게임/SW,17,5,14,4,0.29411764705882354,0.23529411764705882,0.6007802058169238,True
2013-12-30,09,소비재/유통,10,2,5,1,0.2,0.1,-0.47757663445277654,True
2013-12-30,10,음식료,5,1,3,1,0.2,0.2,0.31946972574656735,True
2013-12-30,11,에너지/유틸리티,2,0,2,0,0.0,,,False
2013-12-30,12,건설/부동산,5,0,2,0,0.0,0.0,-1.2746229946521204,True
2014-03-31,01,반도체/IT하드웨어,8,5,5,4,0.625,0.5,1.1656949640341165,True
2014-03-31,02,자동차/운송장비,10,4,3,2,0.4,0.2,-0.5293425112076591,True
2014-03-31,03,2차전지/화학/소재,15,3,8,2,0.2,0.13333333333333333,-0.9060175057058315,True
2014-03-31,04,철강금속,3,1,2,0,0.3333333333333333,0.0,-1.6593674947021761,True
2014-03-31,05,조선/기계/산업재,10,5,8,4,0.5,0.4,0.6006824722868582,True
2014-03-31,06,금융,15,7,5,3,0.4666666666666667,0.2,-0.5293425112076591,True
2014-03-31,07,헬스케어,3,2,2,1,0.6666666666666666,0.3333333333333333,0.22400747778868557,True
2014-03-31,08,인터넷/게임/SW,18,7,9,4,0.3888888888888889,0.2222222222222222,-0.40378417970826835,True
2014-03-31,09,소비재/유통,8,5,5,3,0.625,0.375,0.4594293493500434,True
2014-03-31,10,음식료,3,2,3,2,0.6666666666666666,0.6666666666666666,2.1073824502795473,True
2014-03-31,11,에너지/유틸리티,2,2,0,0,1.0,,,False
2014-03-31,12,건설/부동산,5,2,1,1,0.4,0.2,-0.5293425112076591,True
2014-06-30,01,반도체/IT하드웨어,8,5,5,5,0.625,0.625,0.9568188222639362,True
2014-06-30,02,자동차/운송장비,9,4,2,1,0.4444444444444444,0.1111111111111111,-1.0057773568076203,True
2014-06-30,03,2차전지/화학/소재,17,6,12,5,0.35294117647058826,0.29411764705882354,-0.30685598302061123,True
2014-06-30,04,철강금속,5,2,3,2,0.4,0.4,0.097519954670444,True
2014-06-30,05,조선/기계/산업재,6,1,3,1,0.16666666666666666,0.16666666666666666,-0.7936047969079926,True
2014-06-30,06,금융,15,8,9,6,0.5333333333333333,0.4,0.097519954670444,True
2014-06-30,07,헬스케어,3,1,1,0,0.3333333333333333,0.0,-1.4301224766068756,True
2014-06-30,08,인터넷/게임/SW,18,9,9,4,0.5,0.2222222222222222,-0.5814322370083649,True
2014-06-30,09,소비재/유통,10,5,7,4,0.5,0.4,0.097519954670444,True
2014-06-30,10,음식료,3,3,3,3,1.0,1.0,2.388983601586423,True
2014-06-30,11,에너지/유틸리티,2,1,0,0,0.5,,,False
2014-06-30,12,건설/부동산,4,3,3,2,0.75,0.5,0.4794305624897738,True
2014-09-30,01,반도체/IT하드웨어,8,6,2,2,0.75,0.25,0.39089567932374514,True
2014-09-30,02,자동차/운송장비,7,0,1,0,0.0,0.0,-1.044154971044659,True
2014-09-30,03,2차전지/화학/소재,13,9,6,3,0.6923076923076923,0.23076923076923078,0.2805071677569449,True
2014-09-30,04,철강금속,3,2,0,0,0.6666666666666666,0.0,-1.044154971044659,True
2014-09-30,05,조선/기계/산업재,8,2,3,1,0.25,0.125,-0.32662964586045684,True
2014-09-30,06,금융,14,7,6,2,0.5,0.14285714285714285,-0.22412602797699946,True
2014-09-30,07,헬스케어,2,0,1,0,0.0,,,False
2014-09-30,08,인터넷/게임/SW,19,4,11,3,0.21052631578947367,0.15789473684210525,-0.13780719186461426,True
2014-09-30,09,소비재/유통,16,7,10,5,0.4375,0.3125,0.7496583419158461,True
2014-09-30,10,음식료,5,3,4,3,0.6,0.6,2.3999665898395106,True
2014-09-30,11,에너지/유틸리티,1,0,1,0,0.0,,,False
2014-09-30,12,건설/부동산,4,2,2,0,0.5,0.0,-1.044154971044659,True
2014-12-30,01,반도체/IT하드웨어,9,4,6,1,0.4444444444444444,0.1111111111111111,-0.2566063308030119,True
2014-12-30,02,자동차/운송장비,8,1,2,1,0.125,0.125,-0.18537440938957278,True
2014-12-30,03,2차전지/화학/소재,16,8,7,3,0.5,0.1875,0.13516923697090286,True
2014-12-30,04,철강금속,3,0,1,0,0.0,0.0,-0.826461702110524,True
2014-12-30,05,조선/기계/산업재,11,9,9,7,0.8181818181818182,0.6363636363636364,2.437255424468864,True
2014-12-30,06,금융,16,6,3,0,0.375,0.0,-0.826461702110524,True
2014-12-30,07,헬스케어,2,1,0,0,0.5,,,False
2014-12-30,08,인터넷/게임/SW,17,8,5,3,0.47058823529411764,0.17647058823529413,0.07860271114258367,True
2014-12-30,09,소비재/유통,8,5,4,3,0.625,0.375,1.0968001760523298,True
2014-12-30,10,음식료,4,0,1,0,0.0,0.0,-0.826461702110524,True
2014-12-30,11,에너지/유틸리티,2,1,0,0,0.5,,,False
2014-12-30,12,건설/부동산,4,2,2,0,0.5,0.0,-0.826461702110524,True
2015-03-31,01,반도체/IT하드웨어,7,6,2,2,0.8571428571428571,0.2857142857142857,0.2754484610956291,True
2015-03-31,02,자동차/운송장비,8,6,1,0,0.75,0.0,-1.3676060066207978,True
2015-03-31,03,2차전지/화학/소재,15,10,9,6,0.6666666666666666,0.4,0.9326702481822001,True
2015-03-31,04,철강금속,4,1,1,0,0.25,0.0,-1.3676060066207978,True
2015-03-31,05,조선/기계/산업재,9,7,5,4,0.7777777777777778,0.4444444444444444,1.1882564987158664,True
2015-03-31,06,금융,19,4,11,3,0.21052631578947367,0.15789473684210525,-0.4596022218301408,True
2015-03-31,07,헬스케어,4,2,2,2,0.5,0.5,1.5077393118829492,True
2015-03-31,08,인터넷/게임/SW,14,7,5,3,0.5,0.21428571428571427,-0.13531515583347764,True
2015-03-31,09,소비재/유통,11,4,7,4,0.36363636363636365,0.36363636363636365,0.7235542250182911,True
2015-03-31,10,음식료,4,0,2,0,0.0,0.0,-1.3676060066207978,True
2015-03-31,11,에너지/유틸리티,1,1,1,1,1.0,,,False
2015-03-31,12,건설/부동산,4,2,1,1,0.5,0.25,0.07006665263107581,True
2015-06-30,01,반도체/IT하드웨어,6,3,1,0,0.5,0.0,-0.9999104420050785,True
2015-06-30,02,자동차/운송장비,7,5,1,1,0.7142857142857143,0.14285714285714285,0.009559373250526583,True
2015-06-30,03,2차전지/화학/소재,16,8,13,7,0.5,0.4375,2.0915908672152126,True
2015-06-30,04,철강금속,3,2,1,0,0.6666666666666666,0.0,-0.9999104420050785,True
2015-06-30,05,조선/기계/산업재,5,1,3,0,0.2,0.0,-0.9999104420050785,True
2015-06-30,06,금융,12,5,5,1,0.4166666666666667,0.08333333333333333,-0.41105304977264223,True
2015-06-30,07,헬스케어,16,4,10,4,0.25,0.25,0.7666617346922305,True
2015-06-30,08,인터넷/게임/SW,14,5,9,2,0.35714285714285715,0.14285714285714285,0.009559373250526583,True
2015-06-30,09,소비재/유통,10,2,5,0,0.2,0.0,-0.9999104420050785,True
2015-06-30,10,음식료,3,1,1,1,0.3333333333333333,0.3333333333333333,1.3555191269246667,True
2015-06-30,11,에너지/유틸리티,2,1,0,0,0.5,,,False
2015-06-30,12,건설/부동산,6,2,3,1,0.3333333333333333,0.16666666666666666,0.1778043424597941,True
2015-09-30,01,반도체/IT하드웨어,11,5,7,2,0.45454545454545453,0.18181818181818182,0.11284041960101224,True
2015-09-30,02,자동차/운송장비,9,3,9,3,0.3333333333333333,0.3333333333333333,1.5463847702490807,True
2015-09-30,03,2차전지/화학/소재,12,5,8,3,0.4166666666666667,0.25,0.757935377392643,True
2015-09-30,04,철강금속,3,0,0,0,0.0,0.0,-1.6074128011766702,True
2015-09-30,05,조선/기계/산업재,5,4,2,1,0.8,0.2,0.28486574167878054,True
2015-09-30,06,금융,16,8,6,4,0.5,0.25,0.757935377392643,True
2015-09-30,07,헬스케어,7,5,1,1,0.7142857142857143,0.14285714285714285,-0.2557852705656341,True
2015-09-30,08,인터넷/게임/SW,16,5,11,4,0.3125,0.25,0.757935377392643,True
2015-09-30,09,소비재/유통,11,4,4,1,0.36363636363636365,0.09090909090909091,-0.747286190787829,True
2015-09-30,10,음식료,7,0,3,0,0.0,0.0,-1.6074128011766702,True
2015-09-30,11,에너지/유틸리티,1,0,0,0,0.0,,,False
2015-09-30,12,건설/부동산,2,1,1,1,0.5,,,False
2015-12-30,01,반도체/IT하드웨어,9,4,6,3,0.4444444444444444,0.3333333333333333,1.1945176475193378,True
2015-12-30,02,자동차/운송장비,6,0,1,0,0.0,0.0,-0.9863444475367144,True
2015-12-30,03,2차전지/화학/소재,18,8,15,8,0.4444444444444444,0.4444444444444444,1.9214716792046884,True
2015-12-30,04,철강금속,4,0,3,0,0.0,0.0,-0.9863444475367144,True
2015-12-30,05,조선/기계/산업재,8,1,2,1,0.125,0.125,-0.16852116189069477,True
2015-12-30,06,금융,15,2,5,1,0.13333333333333333,0.06666666666666667,-0.550172028525504,True
2015-12-30,07,헬스케어,6,1,1,0,0.16666666666666666,0.0,-0.9863444475367144,True
2015-12-30,08,인터넷/게임/SW,15,5,7,2,0.3333333333333333,0.13333333333333333,-0.11399960951429347,True
2015-12-30,09,소비재/유통,9,4,3,2,0.4444444444444444,0.2222222222222222,0.4675636158339871,True
2015-12-30,10,음식료,6,2,3,0,0.3333333333333333,0.0,-0.9863444475367144,True
2015-12-30,11,에너지/유틸리티,1,1,1,1,1.0,,,False
2015-12-30,12,건설/부동산,3,2,1,1,0.6666666666666666,0.3333333333333333,1.1945176475193378,True
2017-03-31,01,반도체/IT하드웨어,9,5,8,5,0.5555555555555556,0.5555555555555556,1.2187183467622607,True
2017-03-31,02,자동차/운송장비,8,5,2,2,0.625,0.25,-0.07137641724005178,True
2017-03-31,03,2차전지/화학/소재,15,13,9,8,0.8666666666666667,0.5333333333333333,1.1248932730166379,True
2017-03-31,04,철강금속,5,1,2,0,0.2,0.0,-1.1269084968783074,True
2017-03-31,05,조선/기계/산업재,9,4,5,2,0.4444444444444444,0.2222222222222222,-0.18865775942208024,True
2017-03-31,06,금융,14,10,3,2,0.7142857142857143,0.14285714285714285,-0.52374730851359,True
