rcept_no,parse_status,body_text_len,n_label_hits
20200221900007,no_label_match,1319,0
20200217800590,label_no_value,275,1
20200130900936,no_label_match,626,0
20250624800425,label_no_value,356,1
20250620900644,no_label_match,1654,0
20250620900638,no_label_match,1522,0
20250605900612,no_label_match,622,0
20250605900600,no_label_match,621,0
20250512800801,no_label_match,623,0
20250509800789,label_no_value,357,1
20250507800390,label_no_value,345,1
20250407901323,no_label_match,830,0
20250407800677,label_no_value,349,1
20250331904093,no_label_match,1000,0
20250331900361,no_label_match,1060,0
20250327901978,no_label_match,843,0
20250327901961,no_label_match,668,0
20250321801675,label_no_value,343,1
20250321800060,label_no_value,353,1
20250319801045,label_no_value,350,1
20250319801051,label_no_value,354,1
20250318900314,no_label_match,682,0
20250317901405,no_label_match,626,0
20250304901193,no_label_match,945,0
20250226901338,no_label_match,960,0
20250221901209,no_label_match,664,0
20250206901205,no_label_match,626,0
20250203901424,no_label_match,618,0
20250203901416,no_label_match,626,0
20250124900730,no_label_match,957,0
20190528900095,no_label_match,686,0
20190528900094,no_label_match,671,0
20221214900990,no_label_match,1808,0
20221123900452,no_label_match,1564,0
20221121900496,no_label_match,1223,0
20221103600528,no_label_match,414,0
20221102600461,no_label_match,935,0
20221027900845,no_label_match,623,0
20221024900525,no_label_match,653,0
20221013900561,no_label_match,607,0
20221005900284,no_label_match,356,0
20230512800419,label_no_value,302,1
20230510800579,label_no_value,299,1
20230425900697,no_label_match,681,0
20230407901303,no_label_match,1287,0
20230407901236,no_label_match,770,0
20230406800364,label_no_value,288,1
20230405800960,label_no_value,288,1
20230403901091,no_label_match,611,0
20251230900883,no_label_match,635,0
20251230600684,no_label_match,620,0
20251230900736,no_label_match,636,0
20251230800872,no_label_match,536,0
20251230800867,no_label_match,538,0
20251230900715,no_label_match,630,0
20251216900831,no_label_match,631,0
20251127900987,no_label_match,351,0
20251113900346,no_label_match,601,0
20251113900303,no_label_match,605,0
20251020600668,no_label_match,447,0
20251010800351,no_label_match,533,0
20180927900123,no_label_match,762,0
20180919900516,no_label_match,253,0
20180919900510,no_label_match,253,0
20180919900508,no_label_match,896,0
20180905800265,label_no_value,299,1
20180827600506,no_label_match,283,0
20180814800205,label_no_value,286,1
20180813800268,label_no_value,288,1
20180730900607,no_label_match,259,0
20260325901510,no_label_match,915,0
20260323902754,no_label_match,830,0
20260323902664,no_label_match,863,0
20260323902652,no_label_match,625,0
20260323802265,label_no_value,349,1
20260323801944,label_no_value,664,1
20260323801874,label_no_value,353,1
20260323801642,label_no_value,613,1
20260323801371,label_no_value,353,1
20260323800757,label_no_value,345,1
20260316800025,label_no_value,347,1
20260313800241,no_label_match,565,0
20260309800324,no_label_match,332,0
20260305901810,no_label_match,639,0
20260303901026,no_label_match,630,0
20260202901759,no_label_match,329,0
20260127600535,no_label_match,625,0
20260123900670,no_label_match,775,0
20260123900664,no_label_match,774,0
20260119900939,no_label_match,946,0
20260114900267,no_label_match,628,0
20260113900578,no_label_match,621,0
20260112800447,no_label_match,549,0
20260109900687,no_label_match,619,0
20260109800195,no_label_match,554,0
20260423901003,no_label_match,630,0
20260423900901,no_label_match,618,0
20260407800520,label_no_value,347,1
20210330802269,label_no_value,287,1
20210323800235,label_no_value,283,1
20210322901732,no_label_match,1169,0
20210322800146,label_no_value,277,1
20210310901410,no_label_match,1466,0
20210305800582,label_no_value,290,1
20210305800572,label_no_value,302,1
20210129901109,no_label_match,632,0
20210126900698,no_label_match,578,0
20210106900556,no_label_match,584,0
20231229800674,no_label_match,681,0
20231226900589,no_label_match,882,0
20231219900657,no_label_match,1057,0
20231023800547,no_label_match,593,0
