ticker,markets,first_snapshot,last_snapshot,n_snapshots,permanent_id,permanent_id_source,corp_code_dart,corp_name_dart,name_krx,terminal_status,terminal_date,confidence_flag
131370,KOSDAQ,2011-02-01,2026-05-04,184,,,,,,suspended_last_known,2021-02-25,delisted_with_terminal
131390,KOSDAQ,2011-10-04,2022-11-01,134,,,,,,suspended_last_known,2022-11-01,delisted_with_terminal
131400,KOSDAQ,2011-01-03,2026-05-04,185,,,,,,active,,still_listed
131760,KOSDAQ,2015-09-01,2026-05-04,129,,,,,,delisted,2021-03-11,delisted_with_terminal
131970,KOSDAQ,2013-11-01,2026-05-04,151,,,,,,suspended_last_known,2020-09-01,delisted_with_terminal
133750,KOSDAQ,2016-01-04,2026-05-04,125,,,,,,,,still_listed
133820,KOSPI,2014-08-01,2026-05-04,142,DART_00661847,dart_corp_code,661847.0,화인베스틸,화인베스틸,active,,still_listed
134000,KOSPI,2010-12-01,2012-02-01,15,,,,,,,,disappeared_no_terminal
134060,KOSDAQ,2011-05-02,2026-05-04,181,,,,,,active,,still_listed
134380,KOSPI,2011-03-02,2026-05-04,183,,,,,,active,,still_listed
134580,KOSDAQ,2013-12-02,2026-05-04,150,,,,,,suspended_last_known,2023-10-25,delisted_with_terminal
134780,KOSDAQ,2011-09-01,2020-07-01,107,,,,,,active_recovered,2020-06-19,other
134790,KOSPI,2011-02-01,2026-05-04,184,DART_00852087,dart_corp_code,852087.0,시디즈,시디즈,,,still_listed
136150,KOSDAQ,2025-06-02,2026-05-04,12,,,,,,,,still_listed
136410,KOSDAQ,2022-03-02,2026-05-04,51,,,,,,,,still_listed
136480,KOSDAQ,2011-05-02,2026-05-04,181,,,,,,active,,still_listed
136490,KOSPI,2011-03-02,2026-05-04,183,DART_00855093,dart_corp_code,855093.0,선진,선진,active,,still_listed
136510,KOSDAQ,2011-12-01,2024-07-01,152,,,,,,delisted,2024-07-12,delisted_with_terminal
136540,KOSDAQ,2011-05-02,2026-05-04,181,,,,,,,,still_listed
137080,KOSDAQ,2022-03-02,2026-05-04,51,,,,,,,,still_listed
137310,KOSPI,2021-08-02,2026-05-04,58,DART_00854997,dart_corp_code,854997.0,에스디바이오센서,에스디바이오센서,,,still_listed
137400,KOSDAQ,2012-08-01,2026-05-04,166,,,,,,suspended_last_known,2019-04-22,delisted_with_terminal
137940,KOSDAQ,2011-07-01,2026-05-04,179,,,,,,suspended_last_known,2026-04-28,delisted_with_terminal
137950,KOSDAQ,2011-09-01,2026-05-04,177,,,,,,,,still_listed
138040,KOSPI,2011-06-01,2026-05-04,180,,,,,,suspended_last_known,2022-11-21,delisted_with_terminal
138070,KOSDAQ,2011-12-01,2026-05-04,174,,,,,,suspended_last_known,2022-07-14,delisted_with_terminal
138080,KOSDAQ,2014-03-03,2026-05-04,147,,,,,,suspended_last_known,2019-10-08,delisted_with_terminal
138250,KOSPI,2015-04-01,2022-03-02,84,KRX_TICKER_138250,krx_ticker_fallback,,,엔에스쇼핑,suspended_last_known,2021-11-19,delisted_with_terminal
138360,KOSDAQ,2013-12-02,2026-05-04,150,,,,,,active_recovered,2023-01-26,still_listed
138440,KOSPI,2011-04-01,2015-09-01,54,,,,,,,,disappeared_no_terminal
138490,KOSPI,2011-07-01,2026-04-01,178,KRX_TICKER_138490,krx_ticker_fallback,,,코오롱ENP,suspended_last_known,2025-11-24,delisted_with_terminal
138580,KOSDAQ,2017-12-01,2024-11-01,84,,,,,,suspended_last_known,2024-11-01,delisted_with_terminal
138610,KOSDAQ,2011-08-01,2026-05-04,178,,,,,,suspended_last_known,2019-02-20,delisted_with_terminal
138690,KOSDAQ,2011-07-01,2023-12-01,150,,,,,,delisted,2023-11-23,delisted_with_terminal
138930,KOSPI,2011-04-01,2026-05-04,182,,,,,,active,,still_listed
139050,KOSDAQ,2011-08-01,2026-05-04,178,,,,,,delisted,2026-04-23,delisted_with_terminal
139130,KOSPI,2011-07-01,2026-05-04,179,DART_00878915,dart_corp_code,878915.0,iM금융지주,iM금융지주,,,still_listed
139200,KOSPI,2011-05-02,2017-01-02,69,,,,,,,,disappeared_no_terminal
139480,KOSPI,2011-07-01,2026-05-04,179,DART_00872984,dart_corp_code,872984.0,이마트,이마트,,,still_listed
139670,KOSDAQ,2012-01-02,2026-05-04,173,,,,,,active,,still_listed
139990,KOSPI,2021-09-01,2026-05-04,57,DART_00486705,dart_corp_code,486705.0,아주스틸,아주스틸,,,still_listed
140070,KOSDAQ,2017-02-01,2026-05-04,112,,,,,,suspended_last_known,2018-01-22,delisted_with_terminal
140410,KOSDAQ,2012-02-01,2026-05-04,172,,,,,,suspended_last_known,2022-03-22,delisted_with_terminal
140430,KOSDAQ,2024-06-03,2026-05-04,24,,,,,,suspended_last_known,2026-04-28,delisted_with_terminal
140520,KOSDAQ,2015-01-02,2026-05-04,137,,,,,,active,,still_listed
140670,KOSDAQ,2017-09-01,2026-05-04,105,,,,,,,,still_listed
140860,KOSDAQ,2016-01-04,2026-05-04,125,,,,,,,,still_listed
140890,KOSPI,2011-10-04,2019-05-02,92,,,,,,active,,other
140910,KOSPI,2011-08-01,2026-05-04,178,,,,,,delisted,2025-08-21,delisted_with_terminal
141000,KOSDAQ,2012-06-01,2026-05-04,168,,,,,,suspended_last_known,2020-07-06,delisted_with_terminal
141020,KOSDAQ,2013-02-01,2024-01-02,132,,,,,,delisted,2023-12-18,delisted_with_terminal
141070,KOSDAQ,2012-12-03,2021-09-01,106,,,,,,delisted,2021-09-06,delisted_with_terminal
141080,KOSDAQ,2013-06-03,2026-05-04,156,,,,,,suspended_last_known,2020-06-01,delisted_with_terminal
142210,KOSDAQ,2016-03-02,2026-05-04,123,,,,,,,,still_listed
142280,KOSDAQ,2015-01-02,2026-05-04,137,,,,,,,,still_listed
142760,KOSDAQ,2016-08-01,2026-05-04,118,,,,,,,,still_listed
143160,KOSDAQ,2011-10-04,2026-05-04,176,,,,,,,,still_listed
143210,KOSPI,2017-01-02,2026-05-04,113,DART_00119140,dart_corp_code,119140.0,핸즈코퍼레이션,핸즈코퍼레이션,delisted,2026-04-10,delisted_with_terminal
143240,KOSDAQ,2012-03-02,2026-05-04,171,,,,,,,,still_listed
143540,KOSDAQ,2014-11-03,2026-05-04,139,,,,,,,,still_listed
144510,KOSDAQ,2016-07-01,2026-05-04,119,,,,,,suspended_last_known,2021-07-16,delisted_with_terminal
144620,KOSPI,2012-05-02,2021-11-01,115,KRX_TICKER_144620,krx_ticker_fallback,,,코오롱머티리얼,suspended_last_known,2019-03-04,delisted_with_terminal
144960,KOSDAQ,2016-12-01,2026-05-04,114,,,,,,active,,still_listed
145020,KOSDAQ,2016-01-04,2026-05-04,125,,,,,,active,,still_listed
145170,KOSDAQ,2024-06-03,2026-05-04,24,,,,,,suspended_last_known,2024-12-04,delisted_with_terminal
