sample_id,bucket,category,period,rcept_no,rcept_dt,stock_code,corp_code,corp_name,corp_cls,report_nm,is_correction,body_format,n_findings,labels_present,classification,effective_date_value,effective_date_label,effective_date_field_type,rcept_relation,reviewer_confidence,low_confidence_reason
MAN_0025,suspension_related_post,suspension_related,post_2018,20201110900325,2020-11-10,028150,207755,지에스홈쇼핑,E,주권매매거래정지(합병),False,html_inline,4,매매거래정지|재개일|정지기간|정지일,explicit_suspension_period,2020-11-10,정지기간,explicit_suspension_period,unknown,high,
MAN_0026,suspension_related_post,suspension_related,post_2018,20191028900508,2019-10-28,008800,164362,행남사,E,주권매매거래정지기간변경(상장폐지 사유 발생),False,html_inline,2,매매거래정지|정지기간,explicit_suspension_period,2019-07-04,정지기간,explicit_suspension_period,unknown,high,
MAN_0027,suspension_related_post,suspension_related,post_2018,20240703900565,2024-07-03,317240,1353024,TS트릴리온,K,주권매매거래정지기간변경              (회생절차 개시신청),False,html_inline,3,매매거래정지|정지기간,explicit_suspension_period,2024-07-01,정지기간,explicit_suspension_period,unknown,high,
MAN_0028,suspension_related_post,suspension_related,post_2018,20240716900719,2024-07-16,299910,1259056,애닉,E,주권매매거래정지              (투자자 보호),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2024-07-17,정지기간,explicit_suspension_period,unknown,high,
MAN_0029,suspension_related_post,suspension_related,post_2018,20201207900601,2020-12-07,159910,896753,에코글로우,K,주권매매거래정지기간변경(상장폐지 사유 발생),False,html_inline,2,매매거래정지|정지기간,explicit_suspension_period,2020-07-15,정지기간,explicit_suspension_period,unknown,high,
MAN_0030,suspension_related_post,suspension_related,post_2018,20240626900610,2024-06-26,043100,220109,알파AI,K,주권매매거래정지              (자본감소),False,html_inline,4,매매거래정지|재개일|정지기간|정지일,explicit_suspension_period,2024-06-26,정지기간,explicit_suspension_period,unknown,high,
MAN_0031,suspension_related_post,suspension_related,post_2018,20240612900554,2024-06-12,106520,536329,노블엠앤비,K,기타시장안내              (기업심사위원회 심의·의결 결과 및 '23사업연도 감사의견 비적정 관련 상장폐지 사유 발생에 따른 매매거래정지 지속 안내 ),False,html_inline,3,매매거래정지,ambiguous_date,,,,unknown,medium,title_only_or_label_no_value
MAN_0032,suspension_related_post,suspension_related,post_2018,20230512900906,2023-05-12,426550,1632851,아이비케이에스제19호기업인수목적,E,주권매매거래정지(SPAC 합병(예비심사청구대상)),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2023-05-12,정지기간,explicit_suspension_period,unknown,high,
MAN_0033,suspension_related_post,suspension_related,post_2018,20220921900475,2022-09-21,337450,1414361,에스케이제5호기업인수목적,E,주권매매거래정지(SPAC 소멸합병),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2022-09-26,정지기간,explicit_suspension_period,unknown,high,
MAN_0034,suspension_related_post,suspension_related,post_2018,20200716900528,2020-07-16,196450,1031502,코아시아씨엠,K,주권매매거래정지(풍문 또는 보도 관련),False,html_inline,7,거래정지기간|매매거래정지|매매거래정지기간|정지기간|정지일,explicit_suspension_period,2020-07-17,정지기간,explicit_suspension_period,unknown,high,
MAN_0035,suspension_related_post,suspension_related,post_2018,20231114602338,2023-11-14,248020,1169498,젬,E,주권매매거래정지,False,html_inline,4,매매거래정지|정지기간|정지일,explicit_suspension_period,2023-11-14,정지기간,explicit_suspension_period,unknown,high,
MAN_0036,suspension_related_post,suspension_related,post_2018,20200615900487,2020-06-15,018700,122205,졸스,K,주권매매거래정지(관리종목지정사유발생),False,html_inline,4,매매거래정지|재개일|정지기간|정지일,explicit_suspension_period,2020-06-15,정지기간,explicit_suspension_period,unknown,high,
MAN_0037,suspension_related_post,suspension_related,post_2018,20201216900556,2020-12-16,138690,670085,엘아이에스,E,주권매매거래정지(단일판매공급계약),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2020-12-16,정지기간,explicit_suspension_period,unknown,high,
MAN_0038,suspension_related_post,suspension_related,post_2018,20231012900098,2023-10-12,264450,1203376,유비쿼스,K,주권매매거래정지(단일판매공급계약),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2023-10-12,정지기간,explicit_suspension_period,unknown,high,
MAN_0039,suspension_related_post,suspension_related,post_2018,20220415600741,2022-04-15,215050,1055317,비엔디생활건강,E,주권매매거래정지기간변경(상장폐지 사유 발생),False,html_inline,2,매매거래정지|정지기간,explicit_suspension_period,2022-03-23,정지기간,explicit_suspension_period,unknown,high,
MAN_0040,suspension_related_post,suspension_related,post_2018,20201006900686,2020-10-06,196490,660121,디에이테크놀로지,K,"주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2020-10-12,정지기간,explicit_suspension_period,unknown,high,
MAN_0041,resumption_related_pre,resumption_related,pre_2018,20130917800210,20130917,109070,00753643,주성코퍼레이션,Y,매매거래정지및정지해제(중요내용공시),False,html_inline,10,매매거래정지|해제일,explicit_resumption_date,2013-09-23,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0042,resumption_related_pre,resumption_related,pre_2018,20130215900228,20130215,074000,00447982,에스지피엠,E,주권매매거래정지해제(회생절차개시결정),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2013-02-18,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0043,resumption_related_pre,resumption_related,pre_2018,20140331800017,20140331,001300,00148328,제일모직,E,매매거래정지및정지해제(중요내용공시),False,html_inline,8,매매거래정지|해제일,explicit_resumption_date,2014-03-31,해제일,explicit_resumption_date,equal_to_rcept_dt,high,
MAN_0044,resumption_related_pre,resumption_related,pre_2018,20100121900059,20100121,018000,00144243,유니슨,K,기타경영사항(자율공시)(유체동산가압류 해제),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0045,resumption_related_pre,resumption_related,pre_2018,20161021900531,20161021,219550,01089378,디와이디,K,주권매매거래정지해제(상장예비심사결과 통지(승인)),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2016-10-24,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0046,resumption_related_pre,resumption_related,pre_2018,20150408800128,20150408,010520,00164469,현대하이스코,E,매매거래정지및정지해제(중요내용공시),False,html_inline,8,매매거래정지|해제일,explicit_resumption_date,2015-04-08,해제일,explicit_resumption_date,equal_to_rcept_dt,high,
